"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","ND","ARICD"," .79"," .92"," .9"," .9"," 1.84"," 2.08"," 2.01"," 2.07"," 2.18"," 2.58"," 3.85"," 5.46"," 4.66"," 4.85"," 5.02"," 5.17"," 4.07"," 3.74"," 3.53"," 3.13"," 3.32"," 3.36"," 2.58"," 3"," 3"," 3.29"," 3.23"," 3.46"," 3.09"," 3.14"," 4.81"," 4.32"," 4.38"," 4.93"," 4.84"," 5.23"," 7.92"," 8.52"," 9.34"," 10.93"," 12.87"," 14.08"," 15.22"," 14.85"," 15.6"
"2014F","ND","ARICV"," 7.3"," 10.4"," 7.3"," 9"," 16.3"," 14.6"," 14.6"," 12.5"," 16.6"," 15.7"," 19.2"," 27"," 23.5"," 35.1"," 33.2"," 35.9"," 23.7"," 22"," 22.4"," 19.2"," 17.9"," 17.3"," 25.1"," 18.2"," 24.9"," 17.3"," 19.5"," 28.5"," 29.6"," 43.7"," 35.4"," 38.1"," 32.3"," 21.7"," 32.9"," 47.4"," 96.2"," 32.1"," 32.6"," 68.5"," 85"," 140.2"," 106.4"," 170.2"," 173.5"
"2014F","ND","ARTCD"," .79"," .92"," .9"," .9"," 1.84"," 2.08"," 2.01"," 2.07"," 2.18"," 2.58"," 3.85"," 5.46"," 4.66"," 4.85"," 5.02"," 5.17"," 4.07"," 3.74"," 3.53"," 3.13"," 3.32"," 3.36"," 2.58"," 3"," 3"," 3.29"," 3.23"," 3.46"," 3.09"," 3.14"," 4.81"," 4.32"," 4.38"," 4.93"," 4.84"," 5.23"," 7.92"," 8.52"," 9.34"," 10.93"," 12.87"," 14.08"," 15.22"," 14.85"," 15.6"
"2014F","ND","ARTCV"," 7.3"," 10.4"," 7.3"," 9"," 16.3"," 14.6"," 14.6"," 12.5"," 16.6"," 15.7"," 19.2"," 27"," 23.5"," 35.1"," 33.2"," 35.9"," 23.7"," 22"," 22.4"," 19.2"," 17.9"," 17.3"," 25.1"," 18.2"," 24.9"," 17.3"," 19.5"," 28.5"," 29.6"," 43.7"," 35.4"," 38.1"," 32.3"," 21.7"," 32.9"," 47.4"," 96.2"," 32.1"," 32.6"," 68.5"," 85"," 140.2"," 106.4"," 170.2"," 173.5"
"2014F","ND","ARTXD"," .79"," .92"," .9"," .9"," 1.84"," 2.08"," 2.01"," 2.07"," 2.18"," 2.58"," 3.85"," 5.46"," 4.66"," 4.85"," 5.02"," 5.17"," 4.07"," 3.74"," 3.53"," 3.13"," 3.32"," 3.36"," 2.58"," 3"," 3"," 3.29"," 3.23"," 3.46"," 3.09"," 3.14"," 4.81"," 4.32"," 4.38"," 4.93"," 4.84"," 5.23"," 7.92"," 8.52"," 9.34"," 10.93"," 12.87"," 14.08"," 15.22"," 14.85"," 15.6"
"2014F","ND","ARTXV"," 7.3"," 10.4"," 7.3"," 9"," 16.3"," 14.6"," 14.6"," 12.5"," 16.6"," 15.7"," 19.2"," 27"," 23.5"," 35.1"," 33.2"," 35.9"," 23.7"," 22"," 22.4"," 19.2"," 17.9"," 17.3"," 25.1"," 18.2"," 24.9"," 17.3"," 19.5"," 28.5"," 29.6"," 43.7"," 35.4"," 38.1"," 32.3"," 21.7"," 32.9"," 47.4"," 96.2"," 32.1"," 32.6"," 68.5"," 85"," 140.2"," 106.4"," 170.2"," 173.5"
"2014F","ND","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","ND","AVACV"," 1"," 1.3"," 1.1"," 1.1"," 1.5"," 1.5"," 1.5"," 1.6"," 2.1"," 2.9"," 2.9"," 2.5"," 1.9"," 1.3"," 1.6"," .2"," 1.6"," 1.1"," 1.2"," 1.3"," 1.3"," 1.2"," 1.2"," 2.6"," 1.7"," 2.7"," 2.4"," 1.6"," 1.8"," 1.8"," 1.9"," 4.8"," 3.2"," 4.4"," 4.9"," 6.2"," 4.9"," 4.4"," 5.2"," 3.5"," 5.4"," 7.6"," 4.2"," 3.4"," 7.1"
"2014F","ND","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","ND","AVTCV"," 1"," 1.3"," 1.1"," 1.1"," 1.5"," 1.5"," 1.5"," 1.6"," 2.1"," 2.9"," 2.9"," 2.5"," 1.9"," 1.3"," 1.6"," .2"," 1.6"," 1.1"," 1.2"," 1.3"," 1.3"," 1.2"," 1.2"," 2.6"," 1.7"," 2.7"," 2.4"," 1.6"," 1.8"," 1.8"," 1.9"," 4.8"," 3.2"," 4.4"," 4.9"," 6.2"," 4.9"," 4.4"," 5.2"," 3.5"," 5.4"," 7.6"," 4.2"," 3.4"," 7.1"
"2014F","ND","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","ND","AVTXV"," 1"," 1.3"," 1.1"," 1.1"," 1.5"," 1.5"," 1.5"," 1.6"," 2.1"," 2.9"," 2.9"," 2.5"," 1.9"," 1.3"," 1.6"," .2"," 1.6"," 1.1"," 1.2"," 1.3"," 1.3"," 1.2"," 1.2"," 2.6"," 1.7"," 2.7"," 2.4"," 1.6"," 1.8"," 1.8"," 1.9"," 4.8"," 3.2"," 4.4"," 4.9"," 6.2"," 4.9"," 4.4"," 5.2"," 3.5"," 5.4"," 7.6"," 4.2"," 3.4"," 7.1"
"2014F","ND","CLACD"," .74"," .63"," .77"," .69"," 1.01"," 1.26"," 1.6"," 1.82"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
