"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","NE","ARICD"," .71"," .83"," .86"," .87"," 1.79"," 2.07"," 2.04"," 2.05"," 2.2"," 2.58"," 3.89"," 5.5"," 4.46"," 4.85"," 4.96"," 5.04"," 3.93"," 3.85"," 3.54"," 3.09"," 3.15"," 3.18"," 2.62"," 2.92"," 2.91"," 3.27"," 3.12"," 3.43"," 3.08"," 3.12"," 4.74"," 4.28"," 4.32"," 4.75"," 4.77"," 5.16"," 7.79"," 8.69"," 9.35"," 10.93"," 12.87"," 14.08"," 15.22"," 14.85"," 15.6"
"2014F","NE","ARICV"," 5.3"," 6.1"," 5.1"," 5.1"," 11.6"," 10.3"," 7.7"," 15"," 23.5"," 14"," 18.6"," 24.5"," 21.8"," 21.5"," 20.8"," 15.8"," 24.9"," 31.7"," 29.7"," 23.2"," 29"," 29.9"," 15.6"," 15.5"," 19.9"," 20.2"," 36.7"," 33"," 28.6"," 38.7"," 29.5"," 24.3"," 23"," 42.1"," 41.2"," 41.6"," 54.4"," 52.1"," 50.3"," 79.5"," 97.4"," 95"," 115"," 90.9"," 96.2"
"2014F","NE","ARTCD"," .71"," .83"," .86"," .87"," 1.79"," 2.07"," 2.04"," 2.05"," 2.2"," 2.58"," 3.89"," 5.5"," 4.46"," 4.85"," 4.96"," 5.04"," 3.93"," 3.85"," 3.54"," 3.09"," 3.15"," 3.18"," 2.62"," 2.92"," 2.91"," 3.27"," 3.12"," 3.43"," 3.08"," 3.12"," 4.74"," 4.28"," 4.32"," 4.75"," 4.77"," 5.16"," 7.79"," 8.69"," 9.35"," 10.93"," 12.87"," 14.08"," 15.22"," 14.85"," 15.6"
"2014F","NE","ARTCV"," 5.3"," 6.1"," 5.1"," 5.1"," 11.6"," 10.3"," 7.7"," 15"," 23.5"," 14"," 18.6"," 24.5"," 21.8"," 21.5"," 20.8"," 15.8"," 24.9"," 31.7"," 29.7"," 23.2"," 29"," 29.9"," 15.6"," 15.5"," 19.9"," 20.2"," 36.7"," 33"," 28.6"," 38.7"," 29.5"," 24.3"," 23"," 42.1"," 41.2"," 41.6"," 54.4"," 52.1"," 50.3"," 79.5"," 97.4"," 95"," 115"," 90.9"," 96.2"
"2014F","NE","ARTXD"," .71"," .83"," .86"," .87"," 1.79"," 2.07"," 2.04"," 2.05"," 2.2"," 2.58"," 3.89"," 5.5"," 4.46"," 4.85"," 4.96"," 5.04"," 3.93"," 3.85"," 3.54"," 3.09"," 3.15"," 3.18"," 2.62"," 2.92"," 2.91"," 3.27"," 3.12"," 3.43"," 3.08"," 3.12"," 4.74"," 4.28"," 4.32"," 4.75"," 4.77"," 5.16"," 7.79"," 8.69"," 9.35"," 10.93"," 12.87"," 14.08"," 15.22"," 14.85"," 15.6"
"2014F","NE","ARTXV"," 5.3"," 6.1"," 5.1"," 5.1"," 11.6"," 10.3"," 7.7"," 15"," 23.5"," 14"," 18.6"," 24.5"," 21.8"," 21.5"," 20.8"," 15.8"," 24.9"," 31.7"," 29.7"," 23.2"," 29"," 29.9"," 15.6"," 15.5"," 19.9"," 20.2"," 36.7"," 33"," 28.6"," 38.7"," 29.5"," 24.3"," 23"," 42.1"," 41.2"," 41.6"," 54.4"," 52.1"," 50.3"," 79.5"," 97.4"," 95"," 115"," 90.9"," 96.2"
"2014F","NE","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","NE","AVACV"," 2.2"," 2.2"," 1"," 2"," 2.8"," 2.5"," 2.5"," 3.7"," 4.5"," 5.2"," 9.7"," 11.7"," 6.8"," 6.3"," 5.5"," 4.9"," 5"," 3.4"," 3.6"," 3.9"," 3.9"," 3.7"," 3.5"," 3"," 3"," 3.2"," 3.5"," 4.2"," 2.6"," 3.2"," 3.5"," 4.8"," 5"," 5.1"," 4.3"," 7.7"," 9"," 9.5"," 9.1"," 6.5"," 6.3"," 7.4"," 7.3"," 5.7"," 6.5"
"2014F","NE","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","NE","AVTCV"," 2.2"," 2.2"," 1"," 2"," 2.8"," 2.5"," 2.5"," 3.7"," 4.5"," 5.2"," 9.7"," 11.7"," 6.8"," 6.3"," 5.5"," 4.9"," 5"," 3.4"," 3.6"," 3.9"," 3.9"," 3.7"," 3.5"," 3"," 3"," 3.2"," 3.5"," 4.2"," 2.6"," 3.2"," 3.5"," 4.8"," 5"," 5.1"," 4.3"," 7.7"," 9"," 9.5"," 9.1"," 6.5"," 6.3"," 7.4"," 7.3"," 5.7"," 6.5"
