"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","NY","ARICD"," .7"," .79"," .8"," .8"," 1.6"," 1.84"," 1.93"," 2.05"," 2.22"," 2.55"," 3.67"," 5.09"," 4.09"," 4.22"," 4.62"," 4.81"," 4.34"," 3.73"," 3.18"," 2.81"," 2.96"," 2.76"," 2.3"," 2.81"," 2.74"," 3.19"," 3.49"," 4.07"," 3.77"," 3.08"," 4.17"," 3.95"," 4.23"," 5.36"," 5.13"," 6.28"," 8.14"," 8.82"," 8.85"," 11.41"," 13.61"," 14.94"," 16.4"," 15.97"," 16.48"
"2014F","NY","ARICV"," 26"," 30.1"," 30.2"," 40.2"," 72.6"," 69.9"," 70.8"," 76"," 89.7"," 95.7"," 121.3"," 183.3"," 146.5"," 160.7"," 165.3"," 230.1"," 185.3"," 162"," 168.7"," 92.7"," 108.4"," 117"," 105.4"," 150.3"," 135.3"," 149.7"," 143.1"," 171.1"," 165.7"," 128.3"," 163.1"," 155.2"," 144.5"," 191.9"," 260.9"," 286.2"," 346.5"," 329.8"," 323.6"," 480.2"," 576.2"," 594.5"," 587.1"," 617.7"," 660.5"
"2014F","NY","ARTCD"," .7"," .79"," .8"," .8"," 1.6"," 1.84"," 1.93"," 2.05"," 2.22"," 2.55"," 3.67"," 5.09"," 4.09"," 4.22"," 4.62"," 4.81"," 4.34"," 3.73"," 3.18"," 2.81"," 2.96"," 2.76"," 2.3"," 2.81"," 2.74"," 3.19"," 3.49"," 4.07"," 3.77"," 3.08"," 4.17"," 3.95"," 4.23"," 5.36"," 5.13"," 6.28"," 8.14"," 8.82"," 8.85"," 11.41"," 13.61"," 14.94"," 16.4"," 15.97"," 16.48"
"2014F","NY","ARTCV"," 26"," 30.1"," 30.2"," 40.2"," 72.6"," 69.9"," 70.8"," 76"," 89.7"," 95.7"," 121.3"," 183.3"," 146.5"," 160.7"," 165.3"," 230.1"," 185.3"," 162"," 168.7"," 92.7"," 108.4"," 117"," 105.4"," 150.3"," 135.3"," 149.7"," 143.1"," 171.1"," 165.7"," 128.3"," 163.1"," 155.2"," 144.5"," 191.9"," 260.9"," 286.2"," 346.5"," 329.8"," 323.6"," 480.2"," 576.2"," 594.5"," 587.1"," 617.7"," 660.5"
"2014F","NY","ARTXD"," .7"," .79"," .8"," .8"," 1.6"," 1.84"," 1.93"," 2.05"," 2.22"," 2.55"," 3.67"," 5.09"," 4.09"," 4.22"," 4.62"," 4.81"," 4.34"," 3.73"," 3.18"," 2.81"," 2.96"," 2.76"," 2.3"," 2.81"," 2.74"," 3.19"," 3.49"," 4.07"," 3.77"," 3.08"," 4.17"," 3.95"," 4.23"," 5.36"," 5.13"," 6.28"," 8.14"," 8.82"," 8.85"," 11.41"," 13.61"," 14.94"," 16.4"," 15.97"," 16.48"
"2014F","NY","ARTXV"," 26"," 30.1"," 30.2"," 40.2"," 72.6"," 69.9"," 70.8"," 76"," 89.7"," 95.7"," 121.3"," 183.3"," 146.5"," 160.7"," 165.3"," 230.1"," 185.3"," 162"," 168.7"," 92.7"," 108.4"," 117"," 105.4"," 150.3"," 135.3"," 149.7"," 143.1"," 171.1"," 165.7"," 128.3"," 163.1"," 155.2"," 144.5"," 191.9"," 260.9"," 286.2"," 346.5"," 329.8"," 323.6"," 480.2"," 576.2"," 594.5"," 587.1"," 617.7"," 660.5"
"2014F","NY","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","NY","AVACV"," 2.7"," 2.4"," 2"," 1.9"," 3.5"," 4.8"," 4.6"," 5.5"," 6"," 9"," 14.6"," 14.9"," 10.9"," 11.8"," 9.8"," 11.1"," 10.9"," 4.8"," 3.9"," 3.7"," 3.6"," 2.9"," 3.2"," 2.5"," 4"," 3.2"," 3.1"," 3.2"," 9.7"," 3.7"," 4.1"," 13.8"," 9.5"," 1.2"," 17.3"," 25.8"," 2.9"," 22.2"," 21.1"," 3.1"," 5"," 6.9"," 6.9"," 6.1"," 11.5"
"2014F","NY","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","NY","AVTCV"," 2.7"," 2.4"," 2"," 1.9"," 3.5"," 4.8"," 4.6"," 5.5"," 6"," 9"," 14.6"," 14.9"," 10.9"," 11.8"," 9.8"," 11.1"," 10.9"," 4.8"," 3.9"," 3.7"," 3.6"," 2.9"," 3.2"," 2.5"," 4"," 3.2"," 3.1"," 3.2"," 9.7"," 3.7"," 4.1"," 13.8"," 9.5"," 1.2"," 17.3"," 25.8"," 2.9"," 22.2"," 21.1"," 3.1"," 5"," 6.9"," 6.9"," 6.1"," 11.5"
