"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","OK","ARICD"," .68"," .73"," .78"," .83"," 1.44"," 1.86"," 1.9"," 2.01"," 2.21"," 2.59"," 3.6"," 4.79"," 4.03"," 4.21"," 4.19"," 4.2"," 4.58"," 3.44"," 3.24"," 3.15"," 3.14"," 3.4"," 2.47"," 2.74"," 2.71"," 2.9"," 3.02"," 3.26"," 3.14"," 3.56"," 3.68"," 3.75"," 3.84"," 4.11"," 4.59"," 4.93"," 5.35"," 5.75"," 5.91"," 10.57"," 12.44"," 13.96"," 15.25"," 14.78"," 15.14"
"2014F","OK","ARICV"," 20.7"," 25.2"," 24.9"," 27.7"," 52.7"," 69.9"," 59.7"," 61.9"," 64.4"," 80.3"," 115.1"," 106.7"," 91.8"," 121.1"," 85.9"," 111.7"," 99.8"," 62.4"," 76.7"," 57.5"," 73.1"," 77.5"," 47.9"," 67.7"," 63.6"," 61.3"," 55.4"," 30.8"," 53.8"," 40.6"," 47.9"," 109.3"," 99.3"," 83.8"," 124.2"," 123"," 116.3"," 162.5"," 98.5"," 155.7"," 191.2"," 172.6"," 247.3"," 198.2"," 163.5"
"2014F","OK","ARTCD"," .68"," .73"," .78"," .83"," 1.44"," 1.86"," 1.9"," 2.01"," 2.21"," 2.59"," 3.6"," 4.79"," 4.03"," 4.21"," 4.19"," 4.2"," 4.58"," 3.44"," 3.24"," 3.15"," 3.14"," 3.4"," 2.47"," 2.74"," 2.71"," 2.9"," 3.02"," 3.26"," 3.14"," 3.56"," 3.68"," 3.75"," 3.84"," 4.11"," 4.59"," 4.93"," 5.35"," 5.75"," 5.91"," 10.57"," 12.44"," 13.96"," 15.25"," 14.78"," 15.14"
"2014F","OK","ARTCV"," 20.7"," 25.2"," 24.9"," 27.7"," 52.7"," 69.9"," 59.7"," 61.9"," 64.4"," 80.3"," 115.1"," 106.7"," 91.8"," 121.1"," 85.9"," 111.7"," 99.8"," 62.4"," 76.7"," 57.5"," 73.1"," 77.5"," 47.9"," 67.7"," 63.6"," 61.3"," 55.4"," 30.8"," 53.8"," 40.6"," 47.9"," 109.3"," 99.3"," 83.8"," 124.2"," 123"," 116.3"," 162.5"," 98.5"," 155.7"," 191.2"," 172.6"," 247.3"," 198.2"," 163.5"
"2014F","OK","ARTXD"," .68"," .73"," .78"," .83"," 1.44"," 1.86"," 1.9"," 2.01"," 2.21"," 2.59"," 3.6"," 4.79"," 4.03"," 4.21"," 4.19"," 4.2"," 4.58"," 3.44"," 3.24"," 3.15"," 3.14"," 3.4"," 2.47"," 2.74"," 2.71"," 2.9"," 3.02"," 3.26"," 3.14"," 3.56"," 3.68"," 3.75"," 3.84"," 4.11"," 4.59"," 4.93"," 5.35"," 5.75"," 5.91"," 10.57"," 12.44"," 13.96"," 15.25"," 14.78"," 15.14"
"2014F","OK","ARTXV"," 20.7"," 25.2"," 24.9"," 27.7"," 52.7"," 69.9"," 59.7"," 61.9"," 64.4"," 80.3"," 115.1"," 106.7"," 91.8"," 121.1"," 85.9"," 111.7"," 99.8"," 62.4"," 76.7"," 57.5"," 73.1"," 77.5"," 47.9"," 67.7"," 63.6"," 61.3"," 55.4"," 30.8"," 53.8"," 40.6"," 47.9"," 109.3"," 99.3"," 83.8"," 124.2"," 123"," 116.3"," 162.5"," 98.5"," 155.7"," 191.2"," 172.6"," 247.3"," 198.2"," 163.5"
"2014F","OK","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","OK","AVACV"," 4.9"," 4.7"," 4.4"," 4.6"," 6"," 5.4"," 5.4"," 6.6"," 7.6"," 8.9"," 14.9"," 14.7"," 8.6"," 6.4"," 9.8"," 11"," 10.6"," 6.8"," 6.5"," 6.9"," 6.9"," 4.9"," 5.3"," 4.3"," 3.4"," 6.5"," 5.5"," 3.8"," 5.4"," 4.5"," 5.9"," 4.5"," 6.5"," 6.6"," 10.2"," 6"," 29.5"," 6.1"," 6.2"," 25.2"," 25.2"," 29.7"," 28.9"," 21.6"," 8.9"
"2014F","OK","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","OK","AVTCV"," 4.9"," 4.7"," 4.4"," 4.6"," 6"," 5.4"," 5.4"," 6.6"," 7.6"," 8.9"," 14.9"," 14.7"," 8.6"," 6.4"," 9.8"," 11"," 10.6"," 6.8"," 6.5"," 6.9"," 6.9"," 4.9"," 5.3"," 4.3"," 3.4"," 6.5"," 5.5"," 3.8"," 5.4"," 4.5"," 5.9"," 4.5"," 6.5"," 6.6"," 10.2"," 6"," 29.5"," 6.1"," 6.2"," 25.2"," 25.2"," 29.7"," 28.9"," 21.6"," 8.9"
