"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","OR","ARICD"," .58"," .81"," .82"," .85"," 1.72"," 1.78"," 1.6"," 1.73"," 1.9"," 2.43"," 3.6"," 4.36"," 3.99"," 4.14"," 4.27"," 4.42"," 4.47"," 4.27"," 3.95"," 3.19"," 3.15"," 3.28"," 2.81"," 2.95"," 3.13"," 3.21"," 3.39"," 3.46"," 3.59"," 3.55"," 3.45"," 3.72"," 3.83"," 4.21"," 4.7"," 4.98"," 5.57"," 6.65"," 6.86"," 12.21"," 12.51"," 14.12"," 16.48"," 14.82"," 16.04"
"2014F","OR","ARICV"," 8.3"," 14.8"," 17.2"," 16.2"," 29.6"," 38"," 29.5"," 32.2"," 38.3"," 52.5"," 59.2"," 53.2"," 44.2"," 59.7"," 71.3"," 83.3"," 65.9"," 60.6"," 63.5"," 59.4"," 63.3"," 57.9"," 61.4"," 65.2"," 71"," 58.8"," 61.7"," 68"," 99.8"," 85.9"," 74.3"," 54"," 82.2"," 92.5"," 112.2"," 121"," 135.4"," 122.9"," 119"," 138.1"," 132.6"," 152.7"," 182.1"," 146.3"," 159"
"2014F","OR","ARTCD"," .58"," .81"," .82"," .85"," 1.72"," 1.78"," 1.6"," 1.73"," 1.9"," 2.43"," 3.6"," 4.36"," 3.99"," 4.14"," 4.27"," 4.42"," 4.47"," 4.27"," 3.95"," 3.19"," 3.15"," 3.28"," 2.81"," 2.95"," 3.13"," 3.21"," 3.39"," 3.46"," 3.59"," 3.55"," 3.45"," 3.72"," 3.83"," 4.21"," 4.7"," 4.98"," 5.57"," 6.65"," 6.86"," 12.21"," 12.51"," 14.12"," 16.48"," 14.82"," 16.04"
"2014F","OR","ARTCV"," 8.3"," 14.8"," 17.2"," 16.2"," 29.6"," 38"," 29.5"," 32.2"," 38.3"," 52.5"," 59.2"," 53.2"," 44.2"," 59.7"," 71.3"," 83.3"," 65.9"," 60.6"," 63.5"," 59.4"," 63.3"," 57.9"," 61.4"," 65.2"," 71"," 58.8"," 61.7"," 68"," 99.8"," 85.9"," 74.3"," 54"," 82.2"," 92.5"," 112.2"," 121"," 135.4"," 122.9"," 119"," 138.1"," 132.6"," 152.7"," 182.1"," 146.3"," 159"
"2014F","OR","ARTXD"," .58"," .81"," .82"," .85"," 1.72"," 1.78"," 1.6"," 1.73"," 1.9"," 2.43"," 3.6"," 4.36"," 3.99"," 4.14"," 4.27"," 4.42"," 4.47"," 4.27"," 3.95"," 3.19"," 3.15"," 3.28"," 2.81"," 2.95"," 3.13"," 3.21"," 3.39"," 3.46"," 3.59"," 3.55"," 3.45"," 3.72"," 3.83"," 4.21"," 4.7"," 4.98"," 5.57"," 6.65"," 6.86"," 12.21"," 12.51"," 14.12"," 16.48"," 14.82"," 16.04"
"2014F","OR","ARTXV"," 8.3"," 14.8"," 17.2"," 16.2"," 29.6"," 38"," 29.5"," 32.2"," 38.3"," 52.5"," 59.2"," 53.2"," 44.2"," 59.7"," 71.3"," 83.3"," 65.9"," 60.6"," 63.5"," 59.4"," 63.3"," 57.9"," 61.4"," 65.2"," 71"," 58.8"," 61.7"," 68"," 99.8"," 85.9"," 74.3"," 54"," 82.2"," 92.5"," 112.2"," 121"," 135.4"," 122.9"," 119"," 138.1"," 132.6"," 152.7"," 182.1"," 146.3"," 159"
"2014F","OR","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","OR","AVACV"," 3.3"," 1.8"," 2"," 2.2"," 3.3"," 3"," 3.1"," 4"," 4.2"," 6"," 11.8"," 12"," 7"," 6.6"," 6.5"," 7.1"," 8.2"," 4.8"," 3.7"," 4.2"," 5.7"," 5.5"," 5.6"," 4.6"," 6.3"," 6"," 8.9"," 8.3"," 6.1"," 7.1"," 7.6"," 12.6"," 8.4"," 8.5"," 9.7"," 13.5"," 22.9"," 24.1"," 25.5"," 13.8"," 17.5"," 20.6"," 20.6"," 16.6"," 15.3"
"2014F","OR","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","OR","AVTCV"," 3.3"," 1.8"," 2"," 2.2"," 3.3"," 3"," 3.1"," 4"," 4.2"," 6"," 11.8"," 12"," 7"," 6.6"," 6.5"," 7.1"," 8.2"," 4.8"," 3.7"," 4.2"," 5.7"," 5.5"," 5.6"," 4.6"," 6.3"," 6"," 8.9"," 8.3"," 6.1"," 7.1"," 7.6"," 12.6"," 8.4"," 8.5"," 9.7"," 13.5"," 22.9"," 24.1"," 25.5"," 13.8"," 17.5"," 20.6"," 20.6"," 16.6"," 15.3"
"2014F","OR","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","OR","AVTXV"," 3.3"," 1.8"," 2"," 2.2"," 3.3"," 3"," 3.1"," 4"," 4.2"," 6"," 11.8"," 12"," 7"," 6.6"," 6.5"," 7.1"," 8.2"," 4.8"," 3.7"," 4.2"," 5.7"," 5.5"," 5.6"," 4.6"," 6.3"," 6"," 8.9"," 8.3"," 6.1"," 7.1"," 7.6"," 12.6"," 8.4"," 8.5"," 9.7"," 13.5"," 22.9"," 24.1"," 25.5"," 13.8"," 17.5"," 20.6"," 20.6"," 16.6"," 15.3"
"2014F","OR","CLACD"," .53"," .45"," .5"," .58"," .72"," 1.04"," 1.35"," 1.52"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OR","CLACV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OR","CLCCD"," .53"," .45"," .5"," .58"," .72"," 1.04"," 1.35"," 1.52"," 1.69"," 2.04"," 2.24"," 2.35"," 2.7"," 2.55"," 2.52"," 2.52"," 2.42"," 2.42"," 2.41"," 2.37"," 2.55"," 2.65"," 2.45"," 2.33"," 2.33"," 2.42"," 0"," 2.23"," 2.33"," 2.43"," 2.51"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OR","CLCCV"," .2"," .2"," .2"," .1"," .1"," .2"," .5"," .5"," .5"," .6"," .7"," .2"," .3"," .2"," .2"," .1"," 0"," .1"," .2"," .3"," .1"," .1"," 0"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OR","CLEID"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1.41"," 1.59"," 1.72"," 1.62"," 2"," 2"," 0"," 0"," 0"," 1.56"," 1.08"," 1.08"," 1.1"," 1.12"," 1.07"," 1.06"," 1.07"," 1.14"," 1.09"," 1.08"," 1.07"," 1.11"," 1.33"," 1.25"," 1.18"," 1.28"," 1.3"," 1.38"," 1.45"," 1.76"," 1.67"," 1.79"," 1.89"," 1.96"," 2.49"
"2014F","OR","CLEIV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 11.2"," 31.5"," 15.3"," 9.6"," 16.8"," 13.9"," 0"," 0"," 0"," 7.9"," 15.3"," 33.5"," 42.3"," 39.1"," 44.7"," 18.4"," 19.6"," 16.4"," 38.5"," 41.6"," 41.3"," 48.1"," 48.7"," 54.3"," 41.5"," 45.2"," 31.5"," 59.5"," 57.5"," 54.8"," 67.8"," 59.5"," 50.2"," 72.2"," 78.9"
"2014F","OR","CLICD"," .53"," .45"," .5"," .58"," .72"," 1.04"," 1.35"," 1.52"," 1.69"," 2.04"," 2.24"," 2.35"," 2.7"," 2.55"," 2.52"," 2.52"," 2.42"," 2.42"," 2.41"," 2.37"," 2.55"," 2.65"," 2.45"," 2.33"," 2.33"," 2.42"," 2.16"," 2.23"," 2.33"," 0"," 0"," 0"," 1.68"," 1.65"," 1.79"," 1.85"," 2"," 2.2"," 2.44"," 2.45"," 2.62"," 2.82"," 3.08"," 3.11"," 3.32"
"2014F","OR","CLICV"," 1.2"," 1.1"," .8"," 1"," 2.1"," 2.5"," 7.3"," 7.3"," 7.2"," 8.8"," 8.5"," 13.9"," 7.5"," 9.8"," 8.2"," 7.6"," 7"," 8.7"," 7.2"," 3.5"," 3.6"," 5"," 5.7"," 5.2"," 6.6"," 6.8"," 4.2"," 4.3"," 1.8"," 0"," 0"," 0"," 1.9"," 2.5"," 2.5"," .4"," 5.3"," 5.1"," 4.1"," 4.7"," 4.9"," 5.2"," 5.4"," 6.2"," 8.4"
"2014F","OR","CLKCD"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OR","CLKCV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OR","CLOCD"," .53"," .45"," .5"," .58"," .72"," 1.04"," 1.35"," 1.52"," 1.69"," 2.04"," 2.24"," 2.35"," 2.7"," 2.55"," 2.52"," 2.52"," 2.42"," 2.42"," 2.41"," 2.37"," 2.55"," 2.65"," 2.45"," 2.33"," 2.33"," 2.42"," 2.16"," 2.23"," 2.33"," 0"," 0"," 0"," 1.68"," 1.65"," 1.79"," 1.85"," 2"," 2.2"," 2.44"," 2.45"," 2.62"," 2.82"," 3.08"," 3.11"," 3.32"
"2014F","OR","CLOCV"," 1.2"," 1.1"," .8"," 1"," 2.1"," 2.5"," 7.3"," 7.3"," 7.2"," 8.8"," 8.5"," 13.9"," 7.5"," 9.8"," 8.2"," 7.6"," 7"," 8.7"," 7.2"," 3.5"," 3.6"," 5"," 5.7"," 5.2"," 6.6"," 6.8"," 4.2"," 4.3"," 1.8"," 0"," 0"," 0"," 1.9"," 2.5"," 2.5"," .4"," 5.3"," 5.1"," 4.1"," 4.7"," 4.9"," 5.2"," 5.4"," 6.2"," 8.4"
"2014F","OR","CLOSB"," 2302"," 2385"," 1546"," 1769"," 2970"," 2369"," 5394"," 4777"," 4267"," 4314"," 3769"," 5903"," 2768"," 3856"," 3271"," 3038"," 2890"," 3610"," 2993"," 1483"," 1423"," 1872"," 2308"," 2223"," 2856"," 2797"," 1926"," 1949"," 752"," 0"," 0"," 0"," 1122"," 1503"," 1408"," 209"," 2667"," 2329"," 1688"," 1933"," 1860"," 1839"," 1744"," 1982"," 2534"
"2014F","OR","CLRCD"," .95"," 1.05"," 1.15"," 1.15"," 1.39"," 1.14"," 1.9"," 1.36"," 2.55"," 4"," 4.26"," 4.57"," 4.81"," 3.75"," 3.76"," 3.67"," 3.79"," 3.76"," 3.37"," 3.66"," 3.77"," 5.21"," 3.76"," 3.77"," 3.74"," 3.77"," 0"," 3.71"," 3.66"," 3.69"," 3.72"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OR","CLRCV"," .4"," .5"," .3"," .2"," .1"," .1"," .3"," .2"," .2"," .3"," .3"," .1"," .1"," 0"," .1"," .1"," 0"," .1"," .1"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OR","CLRFB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OR","CLTCD"," .59"," .53"," .59"," .62"," .74"," 1.04"," 1.36"," 1.52"," 1.71"," 2.07"," 1.71"," 1.76"," 1.96"," 1.99"," 2.15"," 2.16"," 2.42"," 2.43"," 2.42"," 1.76"," 1.22"," 1.17"," 1.18"," 1.2"," 1.15"," 1.25"," 1.17"," 1.27"," 1.11"," 1.08"," 1.07"," 1.11"," 1.34"," 1.27"," 1.21"," 1.28"," 1.37"," 1.42"," 1.49"," 1.8"," 1.71"," 1.84"," 1.97"," 2.01"," 2.55"
"2014F","OR","CLTCV"," 1.8"," 1.8"," 1.3"," 1.3"," 2.4"," 2.8"," 8"," 7.9"," 8"," 9.7"," 20.7"," 45.6"," 23.1"," 19.7"," 25.4"," 21.7"," 7.1"," 8.9"," 7.5"," 11.9"," 19.1"," 38.5"," 48.1"," 44.4"," 51.5"," 25.2"," 23.8"," 20.8"," 40.3"," 41.7"," 41.3"," 48.1"," 50.6"," 56.8"," 44"," 45.6"," 36.8"," 64.6"," 61.6"," 59.5"," 72.7"," 64.7"," 55.6"," 78.4"," 87.3"
"2014F","OR","CLTXD"," .59"," .53"," .59"," .62"," .74"," 1.04"," 1.36"," 1.52"," 1.71"," 2.07"," 2.28"," 2.36"," 2.71"," 2.55"," 2.53"," 2.52"," 2.42"," 2.43"," 2.42"," 2.4"," 2.55"," 2.66"," 2.45"," 2.34"," 2.33"," 2.42"," 2.16"," 2.23"," 2.33"," 2.58"," 0"," 0"," 1.68"," 1.65"," 1.79"," 1.85"," 2"," 2.2"," 2.44"," 2.45"," 2.62"," 2.82"," 3.08"," 3.11"," 3.32"
"2014F","OR","CLTXV"," 1.8"," 1.8"," 1.3"," 1.3"," 2.4"," 2.8"," 8"," 7.9"," 8"," 9.7"," 9.5"," 14.1"," 7.8"," 10"," 8.5"," 7.8"," 7.1"," 8.9"," 7.5"," 3.9"," 3.8"," 5"," 5.7"," 5.3"," 6.7"," 6.8"," 4.2"," 4.4"," 1.8"," 0"," 0"," 0"," 1.9"," 2.5"," 2.5"," .4"," 5.3"," 5.1"," 4.1"," 4.7"," 4.9"," 5.2"," 5.4"," 6.2"," 8.4"
"2014F","OR","CLXCD"," .59"," .53"," .59"," .62"," .74"," 1.04"," 1.36"," 1.52"," 1.71"," 2.07"," 1.71"," 1.76"," 1.96"," 1.99"," 2.15"," 2.16"," 2.42"," 2.43"," 2.42"," 1.76"," 1.22"," 1.17"," 1.18"," 1.2"," 1.15"," 1.25"," 1.17"," 1.27"," 1.11"," 1.08"," 1.07"," 1.11"," 1.34"," 1.27"," 1.21"," 1.28"," 1.37"," 1.42"," 1.49"," 1.8"," 1.71"," 1.84"," 1.97"," 2.01"," 2.55"
