"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","PA","ARICD"," .78"," .87"," .87"," .88"," 1.65"," 1.97"," 1.97"," 2.08"," 2.24"," 2.7"," 3.72"," 5.02"," 4.27"," 4.22"," 4.51"," 4.95"," 4.01"," 3.25"," 3.04"," 2.81"," 2.83"," 2.76"," 2.31"," 3.15"," 3.27"," 3.44"," 3.29"," 3.79"," 3.17"," 3.29"," 4.71"," 4.15"," 4.41"," 5.15"," 5.16"," 5.65"," 7.1"," 7.62"," 7.69"," 11.05"," 13.29"," 15.06"," 16.07"," 15.02"," 15.59"
"2014F","PA","ARICV"," 34"," 38.5"," 41.4"," 40.7"," 73.1"," 74.2"," 82.5"," 90.6"," 94.1"," 113.7"," 127.1"," 180.8"," 152.9"," 111.7"," 121.4"," 161.3"," 158.5"," 141.9"," 110.4"," 125.1"," 140.3"," 113.6"," 92.4"," 127.2"," 165.2"," 178.4"," 163.1"," 175.3"," 165.9"," 109.1"," 230.3"," 239.3"," 201.6"," 267.4"," 300.5"," 344.4"," 414.3"," 398.8"," 360.2"," 489.4"," 622.7"," 613.8"," 612.7"," 526.6"," 660"
"2014F","PA","ARTCD"," .78"," .87"," .87"," .88"," 1.65"," 1.97"," 1.97"," 2.08"," 2.24"," 2.7"," 3.72"," 5.02"," 4.27"," 4.22"," 4.51"," 4.95"," 4.01"," 3.25"," 3.04"," 2.81"," 2.83"," 2.76"," 2.31"," 3.15"," 3.27"," 3.44"," 3.29"," 3.79"," 3.17"," 3.29"," 4.71"," 4.15"," 4.41"," 5.15"," 5.16"," 5.65"," 7.1"," 7.62"," 7.69"," 11.05"," 13.29"," 15.06"," 16.07"," 15.02"," 15.59"
"2014F","PA","ARTCV"," 34"," 38.5"," 41.4"," 40.7"," 73.1"," 74.2"," 82.5"," 90.6"," 94.1"," 113.7"," 127.1"," 180.8"," 152.9"," 111.7"," 121.4"," 161.3"," 158.5"," 141.9"," 110.4"," 125.1"," 140.3"," 113.6"," 92.4"," 127.2"," 165.2"," 178.4"," 163.1"," 175.3"," 165.9"," 109.1"," 230.3"," 239.3"," 201.6"," 267.4"," 300.5"," 344.4"," 414.3"," 398.8"," 360.2"," 489.4"," 622.7"," 613.8"," 612.7"," 526.6"," 660"
"2014F","PA","ARTXD"," .78"," .87"," .87"," .88"," 1.65"," 1.97"," 1.97"," 2.08"," 2.24"," 2.7"," 3.72"," 5.02"," 4.27"," 4.22"," 4.51"," 4.95"," 4.01"," 3.25"," 3.04"," 2.81"," 2.83"," 2.76"," 2.31"," 3.15"," 3.27"," 3.44"," 3.29"," 3.79"," 3.17"," 3.29"," 4.71"," 4.15"," 4.41"," 5.15"," 5.16"," 5.65"," 7.1"," 7.62"," 7.69"," 11.05"," 13.29"," 15.06"," 16.07"," 15.02"," 15.59"
"2014F","PA","ARTXV"," 34"," 38.5"," 41.4"," 40.7"," 73.1"," 74.2"," 82.5"," 90.6"," 94.1"," 113.7"," 127.1"," 180.8"," 152.9"," 111.7"," 121.4"," 161.3"," 158.5"," 141.9"," 110.4"," 125.1"," 140.3"," 113.6"," 92.4"," 127.2"," 165.2"," 178.4"," 163.1"," 175.3"," 165.9"," 109.1"," 230.3"," 239.3"," 201.6"," 267.4"," 300.5"," 344.4"," 414.3"," 398.8"," 360.2"," 489.4"," 622.7"," 613.8"," 612.7"," 526.6"," 660"
"2014F","PA","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","PA","AVACV"," 7.3"," 7"," 6.6"," 6.8"," 8.8"," 7.4"," 7.7"," 8.7"," 8.3"," 9.9"," 15.3"," 15.2"," 10.8"," 11.1"," 9.6"," 10.5"," 10.7"," 5.6"," 7.1"," 7.4"," 6.8"," 5.1"," 7"," 6.2"," 5.5"," 5.3"," 5.7"," 5.1"," 5.1"," 9.1"," 8.5"," 6.8"," 6.5"," 5.9"," 7.2"," 9.4"," 24.5"," 11.5"," 13.7"," 7.1"," 13.5"," 18.5"," 20.3"," 17.5"," 16.4"
"2014F","PA","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","PA","AVTCV"," 7.3"," 7"," 6.6"," 6.8"," 8.8"," 7.4"," 7.7"," 8.7"," 8.3"," 9.9"," 15.3"," 15.2"," 10.8"," 11.1"," 9.6"," 10.5"," 10.7"," 5.6"," 7.1"," 7.4"," 6.8"," 5.1"," 7"," 6.2"," 5.5"," 5.3"," 5.7"," 5.1"," 5.1"," 9.1"," 8.5"," 6.8"," 6.5"," 5.9"," 7.2"," 9.4"," 24.5"," 11.5"," 13.7"," 7.1"," 13.5"," 18.5"," 20.3"," 17.5"," 16.4"
