"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","RI","ARICD"," .66"," .82"," .84"," .82"," 1.51"," 1.86"," 1.94"," 2.03"," 2.21"," 2.59"," 3.58"," 5.42"," 4.02"," 4.23"," 4.62"," 5.18"," 4.86"," 3.54"," 3.34"," 3.17"," 3.34"," 3.05"," 2.78"," 3.3"," 3.66"," 3.79"," 3.8"," 4.01"," 3.68"," 3.64"," 4.82"," 4.87"," 5.64"," 6.03"," 5.76"," 6.57"," 8.61"," 0"," 9.31"," 15.07"," 13.7"," 15.48"," 16.75"," 16.8"," 17.09"
"2014F","RI","ARICV"," 4.1"," 6"," 4.5"," 7.1"," 11.5"," 16.5"," 16.5"," 19.2"," 19"," 17.4"," 24.7"," 35.8"," 32.1"," 34"," 41"," 102.3"," 47.7"," 41.7"," 38.6"," 33.7"," 36.3"," 9.3"," 27.7"," 17.9"," 30.5"," 24.9"," 8.5"," 7.3"," 6.9"," 7.3"," 6.5"," 6.4"," 6.7"," 13.1"," 6.8"," 14.6"," 17.5"," 0"," 77.8"," 81"," 84.8"," 71.1"," 87.5"," 112.8"," 116.3"
"2014F","RI","ARTCD"," .66"," .82"," .84"," .82"," 1.51"," 1.86"," 1.94"," 2.03"," 2.21"," 2.59"," 3.58"," 5.42"," 4.02"," 4.23"," 4.62"," 5.18"," 4.86"," 3.54"," 3.34"," 3.17"," 3.34"," 3.05"," 2.78"," 3.3"," 3.66"," 3.79"," 3.8"," 4.01"," 3.68"," 3.64"," 4.82"," 4.87"," 5.64"," 6.03"," 5.76"," 6.57"," 8.61"," 0"," 9.31"," 15.07"," 13.7"," 15.48"," 16.75"," 16.8"," 17.09"
"2014F","RI","ARTCV"," 4.1"," 6"," 4.5"," 7.1"," 11.5"," 16.5"," 16.5"," 19.2"," 19"," 17.4"," 24.7"," 35.8"," 32.1"," 34"," 41"," 102.3"," 47.7"," 41.7"," 38.6"," 33.7"," 36.3"," 9.3"," 27.7"," 17.9"," 30.5"," 24.9"," 8.5"," 7.3"," 6.9"," 7.3"," 6.5"," 6.4"," 6.7"," 13.1"," 6.8"," 14.6"," 17.5"," 0"," 77.8"," 81"," 84.8"," 71.1"," 87.5"," 112.8"," 116.3"
"2014F","RI","ARTXD"," .66"," .82"," .84"," .82"," 1.51"," 1.86"," 1.94"," 2.03"," 2.21"," 2.59"," 3.58"," 5.42"," 4.02"," 4.23"," 4.62"," 5.18"," 4.86"," 3.54"," 3.34"," 3.17"," 3.34"," 3.05"," 2.78"," 3.3"," 3.66"," 3.79"," 3.8"," 4.01"," 3.68"," 3.64"," 4.82"," 4.87"," 5.64"," 6.03"," 5.76"," 6.57"," 8.61"," 0"," 9.31"," 15.07"," 13.7"," 15.48"," 16.75"," 16.8"," 17.09"
"2014F","RI","ARTXV"," 4.1"," 6"," 4.5"," 7.1"," 11.5"," 16.5"," 16.5"," 19.2"," 19"," 17.4"," 24.7"," 35.8"," 32.1"," 34"," 41"," 102.3"," 47.7"," 41.7"," 38.6"," 33.7"," 36.3"," 9.3"," 27.7"," 17.9"," 30.5"," 24.9"," 8.5"," 7.3"," 6.9"," 7.3"," 6.5"," 6.4"," 6.7"," 13.1"," 6.8"," 14.6"," 17.5"," 0"," 77.8"," 81"," 84.8"," 71.1"," 87.5"," 112.8"," 116.3"
"2014F","RI","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","RI","AVACV"," 1.6"," 1.8"," 2"," 2.6"," 2.3"," 5"," 4.1"," 3.2"," 4.3"," 7"," 12.2"," 1.2"," 1.5"," 1.2"," 1.1"," 1.5"," 1.5"," 1.6"," 1.7"," 1.9"," 2"," 1.3"," 1.3"," .3"," .4"," .9"," 1.7"," .5"," .4"," .5"," .7"," .8"," .4"," .4"," .9"," 1.1"," 2.5"," 2.6"," 1.6"," .7"," .6"," .7"," .8"," .6"," 1.4"
"2014F","RI","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","RI","AVTCV"," 1.6"," 1.8"," 2"," 2.6"," 2.3"," 5"," 4.1"," 3.2"," 4.3"," 7"," 12.2"," 1.2"," 1.5"," 1.2"," 1.1"," 1.5"," 1.5"," 1.6"," 1.7"," 1.9"," 2"," 1.3"," 1.3"," .3"," .4"," .9"," 1.7"," .5"," .4"," .5"," .7"," .8"," .4"," .4"," .9"," 1.1"," 2.5"," 2.6"," 1.6"," .7"," .6"," .7"," .8"," .6"," 1.4"
