"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","SD","ARICD"," .76"," .82"," .86"," .91"," 1.79"," 2.09"," 2.03"," 2.1"," 2.17"," 2.57"," 3.82"," 5.42"," 4.45"," 4.74"," 4.95"," 5.06"," 3.99"," 3.73"," 3.58"," 3.14"," 3.24"," 3.24"," 2.71"," 3.06"," 3.12"," 3.34"," 3.28"," 3.54"," 3.26"," 3.24"," 4.8"," 4.38"," 4.4"," 4.85"," 4.84"," 5.31"," 7.87"," 8.77"," 9.37"," 16.86"," 16.96"," 18.97"," 21.8"," 20.13"," 21.15"
"2014F","SD","ARICV"," 4.5"," 5.3"," 5.8"," 7.5"," 10.3"," 11.9"," 9.9"," 7.8"," 11.3"," 13.5"," 16.1"," 19"," 18.9"," 16.8"," 26.5"," 28.3"," 21.6"," 16.7"," 20.8"," 16.2"," 17"," 16.5"," 15.9"," 13.1"," 13"," 18.2"," 24.7"," 31.8"," 28"," 40.4"," 55.2"," 30.7"," 30.2"," 42.7"," 37.3"," 63.8"," 86.8"," 60.7"," 73.5"," 118"," 139.5"," 97.7"," 173.1"," 95.4"," 96.8"
"2014F","SD","ARTCD"," .76"," .82"," .86"," .91"," 1.79"," 2.09"," 2.03"," 2.1"," 2.17"," 2.57"," 3.82"," 5.42"," 4.45"," 4.74"," 4.95"," 5.06"," 3.99"," 3.73"," 3.58"," 3.14"," 3.24"," 3.24"," 2.71"," 3.06"," 3.12"," 3.34"," 3.28"," 3.54"," 3.26"," 3.24"," 4.8"," 4.38"," 4.4"," 4.85"," 4.84"," 5.31"," 7.87"," 8.77"," 9.37"," 16.86"," 16.96"," 18.97"," 21.8"," 20.13"," 21.15"
"2014F","SD","ARTCV"," 4.5"," 5.3"," 5.8"," 7.5"," 10.3"," 11.9"," 9.9"," 7.8"," 11.3"," 13.5"," 16.1"," 19"," 18.9"," 16.8"," 26.5"," 28.3"," 21.6"," 16.7"," 20.8"," 16.2"," 17"," 16.5"," 15.9"," 13.1"," 13"," 18.2"," 24.7"," 31.8"," 28"," 40.4"," 55.2"," 30.7"," 30.2"," 42.7"," 37.3"," 63.8"," 86.8"," 60.7"," 73.5"," 118"," 139.5"," 97.7"," 173.1"," 95.4"," 96.8"
"2014F","SD","ARTXD"," .76"," .82"," .86"," .91"," 1.79"," 2.09"," 2.03"," 2.1"," 2.17"," 2.57"," 3.82"," 5.42"," 4.45"," 4.74"," 4.95"," 5.06"," 3.99"," 3.73"," 3.58"," 3.14"," 3.24"," 3.24"," 2.71"," 3.06"," 3.12"," 3.34"," 3.28"," 3.54"," 3.26"," 3.24"," 4.8"," 4.38"," 4.4"," 4.85"," 4.84"," 5.31"," 7.87"," 8.77"," 9.37"," 16.86"," 16.96"," 18.97"," 21.8"," 20.13"," 21.15"
"2014F","SD","ARTXV"," 4.5"," 5.3"," 5.8"," 7.5"," 10.3"," 11.9"," 9.9"," 7.8"," 11.3"," 13.5"," 16.1"," 19"," 18.9"," 16.8"," 26.5"," 28.3"," 21.6"," 16.7"," 20.8"," 16.2"," 17"," 16.5"," 15.9"," 13.1"," 13"," 18.2"," 24.7"," 31.8"," 28"," 40.4"," 55.2"," 30.7"," 30.2"," 42.7"," 37.3"," 63.8"," 86.8"," 60.7"," 73.5"," 118"," 139.5"," 97.7"," 173.1"," 95.4"," 96.8"
"2014F","SD","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","SD","AVACV"," 1.1"," .9"," 1"," .9"," 1.4"," 1.3"," 1.3"," 1.6"," 1.7"," 2.4"," 4.4"," 5.6"," 5.9"," 5.2"," 4.4"," 4.4"," 3.6"," 3.1"," 3.3"," 3.7"," 4.4"," 2.7"," 2.7"," 2.2"," 1.9"," 2"," 2.5"," 2.3"," 1.4"," 2.6"," 2.8"," 2.3"," 1.6"," 2.2"," 2.9"," 2.9"," 5.7"," 6"," 4.7"," 2.2"," 3.7"," 5.1"," 5.4"," 4.8"," 5.5"
"2014F","SD","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","SD","AVTCV"," 1.1"," .9"," 1"," .9"," 1.4"," 1.3"," 1.3"," 1.6"," 1.7"," 2.4"," 4.4"," 5.6"," 5.9"," 5.2"," 4.4"," 4.4"," 3.6"," 3.1"," 3.3"," 3.7"," 4.4"," 2.7"," 2.7"," 2.2"," 1.9"," 2"," 2.5"," 2.3"," 1.4"," 2.6"," 2.8"," 2.3"," 1.6"," 2.2"," 2.9"," 2.9"," 5.7"," 6"," 4.7"," 2.2"," 3.7"," 5.1"," 5.4"," 4.8"," 5.5"
"2014F","SD","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
