"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","TN","ARICD"," .67"," .72"," .77"," .82"," 1.39"," 1.79"," 1.81"," 1.97"," 2.19"," 2.57"," 3.56"," 4.81"," 4.57"," 4.57"," 4.39"," 4.76"," 4.89"," 3.24"," 3.05"," 2.86"," 2.94"," 3.3"," 2.03"," 2.37"," 2.45"," 2.62"," 3.12"," 3.23"," 3.11"," 2.85"," 3.8"," 4.29"," 4.32"," 4.77"," 4.82"," 5.2"," 6.04"," 6.04"," 6.16"," 10.88"," 12.87"," 14.82"," 16.25"," 15.36"," 15.9"
"2014F","TN","ARICV"," 16.2"," 16.6"," 19.1"," 25.5"," 31.7"," 44.8"," 46.7"," 66.3"," 80.9"," 75.1"," 79.8"," 87.3"," 126.7"," 90.9"," 111.1"," 139.3"," 134.9"," 98.3"," 81.8"," 108.1"," 113"," 117.3"," 71.2"," 77.3"," 88.7"," 94.3"," 106.9"," 105.3"," 122.3"," 111.9"," 152.8"," 164"," 147.9"," 165.1"," 153.5"," 231.6"," 221.1"," 187.2"," 171.6"," 202.2"," 249"," 331.1"," 295.8"," 272.2"," 287.3"
"2014F","TN","ARTCD"," .67"," .72"," .77"," .82"," 1.39"," 1.79"," 1.81"," 1.97"," 2.19"," 2.57"," 3.56"," 4.81"," 4.57"," 4.57"," 4.39"," 4.76"," 4.89"," 3.24"," 3.05"," 2.86"," 2.94"," 3.3"," 2.03"," 2.37"," 2.45"," 2.62"," 3.12"," 3.23"," 3.11"," 2.85"," 3.8"," 4.29"," 4.32"," 4.77"," 4.82"," 5.2"," 6.04"," 6.04"," 6.16"," 10.88"," 12.87"," 14.82"," 16.25"," 15.36"," 15.9"
"2014F","TN","ARTCV"," 16.2"," 16.6"," 19.1"," 25.5"," 31.7"," 44.8"," 46.7"," 66.3"," 80.9"," 75.1"," 79.8"," 87.3"," 126.7"," 90.9"," 111.1"," 139.3"," 134.9"," 98.3"," 81.8"," 108.1"," 113"," 117.3"," 71.2"," 77.3"," 88.7"," 94.3"," 106.9"," 105.3"," 122.3"," 111.9"," 152.8"," 164"," 147.9"," 165.1"," 153.5"," 231.6"," 221.1"," 187.2"," 171.6"," 202.2"," 249"," 331.1"," 295.8"," 272.2"," 287.3"
"2014F","TN","ARTXD"," .67"," .72"," .77"," .82"," 1.39"," 1.79"," 1.81"," 1.97"," 2.19"," 2.57"," 3.56"," 4.81"," 4.57"," 4.57"," 4.39"," 4.76"," 4.89"," 3.24"," 3.05"," 2.86"," 2.94"," 3.3"," 2.03"," 2.37"," 2.45"," 2.62"," 3.12"," 3.23"," 3.11"," 2.85"," 3.8"," 4.29"," 4.32"," 4.77"," 4.82"," 5.2"," 6.04"," 6.04"," 6.16"," 10.88"," 12.87"," 14.82"," 16.25"," 15.36"," 15.9"
"2014F","TN","ARTXV"," 16.2"," 16.6"," 19.1"," 25.5"," 31.7"," 44.8"," 46.7"," 66.3"," 80.9"," 75.1"," 79.8"," 87.3"," 126.7"," 90.9"," 111.1"," 139.3"," 134.9"," 98.3"," 81.8"," 108.1"," 113"," 117.3"," 71.2"," 77.3"," 88.7"," 94.3"," 106.9"," 105.3"," 122.3"," 111.9"," 152.8"," 164"," 147.9"," 165.1"," 153.5"," 231.6"," 221.1"," 187.2"," 171.6"," 202.2"," 249"," 331.1"," 295.8"," 272.2"," 287.3"
"2014F","TN","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","TN","AVACV"," 1.3"," 1.3"," 1.3"," 1.3"," 1.5"," 1.2"," 1"," 1.3"," 1.2"," 20.4"," 13.2"," 12.7"," 9.4"," 9.4"," 8.5"," 7.8"," 8.5"," 7.1"," 6.8"," 7.6"," 8.2"," 6.4"," 14.8"," 16.4"," 15.8"," 16.8"," 10.8"," 14.8"," 5.6"," 4.9"," 6.8"," 3.3"," 8.1"," 8.2"," 7.1"," 9.6"," 10"," 12.4"," 16.4"," 13"," 21.3"," 18.2"," 11.4"," 10.3"," 10.5"
"2014F","TN","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","TN","AVTCV"," 1.3"," 1.3"," 1.3"," 1.3"," 1.5"," 1.2"," 1"," 1.3"," 1.2"," 20.4"," 13.2"," 12.7"," 9.4"," 9.4"," 8.5"," 7.8"," 8.5"," 7.1"," 6.8"," 7.6"," 8.2"," 6.4"," 14.8"," 16.4"," 15.8"," 16.8"," 10.8"," 14.8"," 5.6"," 4.9"," 6.8"," 3.3"," 8.1"," 8.2"," 7.1"," 9.6"," 10"," 12.4"," 16.4"," 13"," 21.3"," 18.2"," 11.4"," 10.3"," 10.5"
