"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","VT","ARICD"," .68"," .85"," .87"," .87"," 1.55"," 1.91"," 2.01"," 2.07"," 2.25"," 2.62"," 3.66"," 5.42"," 4.02"," 4.22"," 4.62"," 5.2"," 4.86"," 3.55"," 3.39"," 3.17"," 3.34"," 3.05"," 2.79"," 3.3"," 3.65"," 3.79"," 3.8"," 4.09"," 3.68"," 3.64"," 4.82"," 4.88"," 5.63"," 6.03"," 5.76"," 6.57"," 8.61"," 9.29"," 9.31"," 11.41"," 13.61"," 14.96"," 16.4"," 15.97"," 16.48"
"2014F","VT","ARICV"," 1.2"," 1.7"," .7"," .6"," 1"," .4"," .4"," .5"," .3"," 1.3"," 1"," 1.8"," 2"," 1.8"," 6.9"," 11.4"," 13.5"," 11.6"," 8.9"," 9.5"," .6"," 10.7"," 6.2"," .7"," 5.6"," 6.4"," 7.3"," 21.5"," 4"," 4.2"," 5.3"," 9.6"," 6.5"," 3.7"," 17.8"," 6.3"," 7.1"," 20"," 2.4"," 45.6"," 68"," 70.2"," 76"," 79.9"," 77.6"
"2014F","VT","ARTCD"," .68"," .85"," .87"," .87"," 1.55"," 1.91"," 2.01"," 2.07"," 2.25"," 2.62"," 3.66"," 5.42"," 4.02"," 4.22"," 4.62"," 5.2"," 4.86"," 3.55"," 3.39"," 3.17"," 3.34"," 3.05"," 2.79"," 3.3"," 3.65"," 3.79"," 3.8"," 4.09"," 3.68"," 3.64"," 4.82"," 4.88"," 5.63"," 6.03"," 5.76"," 6.57"," 8.61"," 9.29"," 9.31"," 11.41"," 13.61"," 14.96"," 16.4"," 15.97"," 16.48"
"2014F","VT","ARTCV"," 1.2"," 1.7"," .7"," .6"," 1"," .4"," .4"," .5"," .3"," 1.3"," 1"," 1.8"," 2"," 1.8"," 6.9"," 11.4"," 13.5"," 11.6"," 8.9"," 9.5"," .6"," 10.7"," 6.2"," .7"," 5.6"," 6.4"," 7.3"," 21.5"," 4"," 4.2"," 5.3"," 9.6"," 6.5"," 3.7"," 17.8"," 6.3"," 7.1"," 20"," 2.4"," 45.6"," 68"," 70.2"," 76"," 79.9"," 77.6"
"2014F","VT","ARTXD"," .68"," .85"," .87"," .87"," 1.55"," 1.91"," 2.01"," 2.07"," 2.25"," 2.62"," 3.66"," 5.42"," 4.02"," 4.22"," 4.62"," 5.2"," 4.86"," 3.55"," 3.39"," 3.17"," 3.34"," 3.05"," 2.79"," 3.3"," 3.65"," 3.79"," 3.8"," 4.09"," 3.68"," 3.64"," 4.82"," 4.88"," 5.63"," 6.03"," 5.76"," 6.57"," 8.61"," 9.29"," 9.31"," 11.41"," 13.61"," 14.96"," 16.4"," 15.97"," 16.48"
"2014F","VT","ARTXV"," 1.2"," 1.7"," .7"," .6"," 1"," .4"," .4"," .5"," .3"," 1.3"," 1"," 1.8"," 2"," 1.8"," 6.9"," 11.4"," 13.5"," 11.6"," 8.9"," 9.5"," .6"," 10.7"," 6.2"," .7"," 5.6"," 6.4"," 7.3"," 21.5"," 4"," 4.2"," 5.3"," 9.6"," 6.5"," 3.7"," 17.8"," 6.3"," 7.1"," 20"," 2.4"," 45.6"," 68"," 70.2"," 76"," 79.9"," 77.6"
"2014F","VT","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","VT","AVACV"," .2"," .1"," .1"," .1"," .1"," .2"," .2"," .2"," .1"," .1"," 1.1"," .9"," 1.1"," 1.3"," .9"," 1.1"," 1.2"," .8"," .6"," .7"," .7"," .7"," .6"," .5"," .5"," .5"," .5"," .6"," .4"," .5"," 2.2"," 2.4"," .6"," .6"," 1.6"," 2.4"," 1.8"," 1.9"," 1.4"," 1.2"," 1.1"," 1.3"," 1.4"," 1.1"," .7"
"2014F","VT","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","VT","AVTCV"," .2"," .1"," .1"," .1"," .1"," .2"," .2"," .2"," .1"," .1"," 1.1"," .9"," 1.1"," 1.3"," .9"," 1.1"," 1.2"," .8"," .6"," .7"," .7"," .7"," .6"," .5"," .5"," .5"," .5"," .6"," .4"," .5"," 2.2"," 2.4"," .6"," .6"," 1.6"," 2.4"," 1.8"," 1.9"," 1.4"," 1.2"," 1.1"," 1.3"," 1.4"," 1.1"," .7"
