"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","WI","ARICD"," .76"," .86"," .89"," .89"," 1.8"," 2.05"," 2"," 2.06"," 2.15"," 2.55"," 3.85"," 5.46"," 4.54"," 4.51"," 4.75"," 4.87"," 4.09"," 3.37"," 3.34"," 2.94"," 3.13"," 3.1"," 2.59"," 3.19"," 3.09"," 3.27"," 3.24"," 3.63"," 3.66"," 3.49"," 4.29"," 4.15"," 4.22"," 4.7"," 4.47"," 4.92"," 7.26"," 8.07"," 9.36"," 11.24"," 12.91"," 13.69"," 15.33"," 14.61"," 15.23"
"2014F","WI","ARICV"," 23.6"," 25.4"," 26"," 29.6"," 43.4"," 41.1"," 47.5"," 43.1"," 58.1"," 56.2"," 77.1"," 70.6"," 63.7"," 61"," 47.8"," 54.6"," 55.8"," 53.5"," 75.8"," 74.3"," 76.4"," 68.5"," 53.3"," 68.9"," 72.1"," 90.1"," 88.6"," 124.3"," 146.2"," 143.6"," 164.6"," 164.5"," 147.4"," 207.4"," 195.8"," 205"," 283.2"," 283.7"," 288.3"," 292.5"," 388"," 429.5"," 421"," 414.5"," 458.5"
"2014F","WI","ARTCD"," .76"," .86"," .89"," .89"," 1.8"," 2.05"," 2"," 2.06"," 2.15"," 2.55"," 3.85"," 5.46"," 4.54"," 4.51"," 4.75"," 4.87"," 4.09"," 3.37"," 3.34"," 2.94"," 3.13"," 3.1"," 2.59"," 3.19"," 3.09"," 3.27"," 3.24"," 3.63"," 3.66"," 3.49"," 4.29"," 4.15"," 4.22"," 4.7"," 4.47"," 4.92"," 7.26"," 8.07"," 9.36"," 11.24"," 12.91"," 13.69"," 15.33"," 14.61"," 15.23"
"2014F","WI","ARTCV"," 23.6"," 25.4"," 26"," 29.6"," 43.4"," 41.1"," 47.5"," 43.1"," 58.1"," 56.2"," 77.1"," 70.6"," 63.7"," 61"," 47.8"," 54.6"," 55.8"," 53.5"," 75.8"," 74.3"," 76.4"," 68.5"," 53.3"," 68.9"," 72.1"," 90.1"," 88.6"," 124.3"," 146.2"," 143.6"," 164.6"," 164.5"," 147.4"," 207.4"," 195.8"," 205"," 283.2"," 283.7"," 288.3"," 292.5"," 388"," 429.5"," 421"," 414.5"," 458.5"
"2014F","WI","ARTXD"," .76"," .86"," .89"," .89"," 1.8"," 2.05"," 2"," 2.06"," 2.15"," 2.55"," 3.85"," 5.46"," 4.54"," 4.51"," 4.75"," 4.87"," 4.09"," 3.37"," 3.34"," 2.94"," 3.13"," 3.1"," 2.59"," 3.19"," 3.09"," 3.27"," 3.24"," 3.63"," 3.66"," 3.49"," 4.29"," 4.15"," 4.22"," 4.7"," 4.47"," 4.92"," 7.26"," 8.07"," 9.36"," 11.24"," 12.91"," 13.69"," 15.33"," 14.61"," 15.23"
"2014F","WI","ARTXV"," 23.6"," 25.4"," 26"," 29.6"," 43.4"," 41.1"," 47.5"," 43.1"," 58.1"," 56.2"," 77.1"," 70.6"," 63.7"," 61"," 47.8"," 54.6"," 55.8"," 53.5"," 75.8"," 74.3"," 76.4"," 68.5"," 53.3"," 68.9"," 72.1"," 90.1"," 88.6"," 124.3"," 146.2"," 143.6"," 164.6"," 164.5"," 147.4"," 207.4"," 195.8"," 205"," 283.2"," 283.7"," 288.3"," 292.5"," 388"," 429.5"," 421"," 414.5"," 458.5"
"2014F","WI","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","WI","AVACV"," 3.6"," 3.1"," 3.1"," 2.4"," 3.2"," 3"," 3.1"," 3.7"," 2.8"," 3.3"," 5.6"," 5.9"," 1.7"," 6"," 5"," 5.1"," 4.6"," 3.2"," 3.5"," 5.4"," 5.7"," 4.6"," 5.2"," 5"," 11.4"," 15.8"," 17.2"," 23"," 18.6"," 5.9"," 6.1"," 13.1"," 6.8"," 3.4"," 12.4"," 7.8"," 8"," 7.3"," 8.7"," 4.5"," 6.9"," 9.4"," 9.5"," 8.6"," 10"
"2014F","WI","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","WI","AVTCV"," 3.6"," 3.1"," 3.1"," 2.4"," 3.2"," 3"," 3.1"," 3.7"," 2.8"," 3.3"," 5.6"," 5.9"," 1.7"," 6"," 5"," 5.1"," 4.6"," 3.2"," 3.5"," 5.4"," 5.7"," 4.6"," 5.2"," 5"," 11.4"," 15.8"," 17.2"," 23"," 18.6"," 5.9"," 6.1"," 13.1"," 6.8"," 3.4"," 12.4"," 7.8"," 8"," 7.3"," 8.7"," 4.5"," 6.9"," 9.4"," 9.5"," 8.6"," 10"
"2014F","WI","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","WI","AVTXV"," 3.6"," 3.1"," 3.1"," 2.4"," 3.2"," 3"," 3.1"," 3.7"," 2.8"," 3.3"," 5.6"," 5.9"," 1.7"," 6"," 5"," 5.1"," 4.6"," 3.2"," 3.5"," 5.4"," 5.7"," 4.6"," 5.2"," 5"," 11.4"," 15.8"," 17.2"," 23"," 18.6"," 5.9"," 6.1"," 13.1"," 6.8"," 3.4"," 12.4"," 7.8"," 8"," 7.3"," 8.7"," 4.5"," 6.9"," 9.4"," 9.5"," 8.6"," 10"
"2014F","WI","CLACD"," .66"," .55"," .74"," .75"," 1.08"," 1.51"," 1.45"," 1.52"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","WI","CLACV"," .1"," .1"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","WI","CLCCD"," .66"," .55"," .74"," .75"," 1.08"," 1.51"," 1.45"," 1.52"," 1.64"," 1.8"," 1.47"," 2.11"," 2.2"," 2.15"," 2.19"," 2.11"," 2.02"," 1.9"," 1.96"," 1.87"," 1.8"," 1.78"," 1.74"," 1.71"," 1.71"," 1.66"," 1.68"," 1.66"," 1.66"," 1.61"," 1.66"," 1.8"," 1.97"," 1.95"," 2.1"," 2.56"," 2.83"," 3"," 4.66"," 5.5"," 4.98"," 5.72"," 6.01"," 5.64"," 5.69"
"2014F","WI","CLCCV"," 7.9"," 8"," 6.6"," 4.8"," 7.5"," 11.6"," 12.8"," 10"," 7.4"," 10.8"," 1.4"," 1.7"," 1.7"," 2"," 5.4"," 1.1"," 1.3"," 3.3"," 2.9"," .7"," .2"," .4"," .2"," 1.3"," 1.9"," 4.7"," 3.9"," 6"," 5.2"," 5.9"," 6.6"," 7.4"," 5.3"," 6.5"," 7"," 18.7"," 1.8"," 3.7"," 22.5"," 16.2"," 15"," 15.3"," 4.9"," 4.9"," 4.1"
"2014F","WI","CLEID"," .39"," .43"," .46"," .49"," .73"," .86"," .89"," .97"," 1.14"," 1.27"," 1.42"," 1.55"," 1.72"," 1.72"," 1.72"," 1.71"," 1.62"," 1.47"," 1.46"," 1.45"," 1.36"," 1.36"," 1.33"," 1.21"," 1.21"," 1.14"," 1.06"," 1.09"," 1.07"," 1.02"," 1.02"," 1.05"," 1.1"," 1.1"," 1.16"," 1.26"," 1.47"," 1.67"," 1.94"," 1.99"," 2.11"," 2.5"," 2.37"," 2.32"," 2.31"
"2014F","WI","CLEIV"," 90.8"," 94.6"," 109.9"," 113.5"," 151.7"," 178.3"," 207.1"," 236.4"," 272.9"," 325.3"," 384.7"," 423.7"," 464.6"," 516.6"," 540.2"," 529.4"," 520.9"," 498.4"," 506.9"," 496.7"," 471.2"," 488.5"," 467.1"," 434.3"," 454.2"," 444"," 436.6"," 479.6"," 459.1"," 446.7"," 462.4"," 471.4"," 494.4"," 490.5"," 527.9"," 598"," 618.5"," 706.9"," 848.7"," 773.7"," 886.5"," 1027"," 807.3"," 981.3"," 885.6"
"2014F","WI","CLICD"," .65"," .57"," .73"," .76"," 1.12"," 1.55"," 1.49"," 1.56"," 1.71"," 1.82"," 1.55"," 2.14"," 2.21"," 2.15"," 2.19"," 2.11"," 2.02"," 1.9"," 1.96"," 1.87"," 1.8"," 1.78"," 1.74"," 1.71"," 1.71"," 1.66"," 1.68"," 1.66"," 1.66"," 1.61"," 1.66"," 1.8"," 1.97"," 1.95"," 2.1"," 2.56"," 2.83"," 3"," 3.23"," 3.52"," 3.57"," 3.71"," 4.02"," 3.9"," 3.99"
