"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","WY","ARICD"," .58"," .81"," .82"," .85"," 1.71"," 1.8"," 1.65"," 1.76"," 1.94"," 2.45"," 3.66"," 4.46"," 4.21"," 4.22"," 4.57"," 4.82"," 4.36"," 3.21"," 3.4"," 2.88"," 2.71"," 3.43"," 3.07"," 2.93"," 3.02"," 3.2"," 3.52"," 3.62"," 3.67"," 3.26"," 3.24"," 3.52"," 3.83"," 4.06"," 4.6"," 4.89"," 5.22"," 5.49"," 5.64"," 14.67"," 13.42"," 14.33"," 15.32"," 14.97"," 15.22"
"2014F","WY","ARICV"," 4.2"," 6.7"," 5.8"," 5.5"," 7.4"," 7.2"," 8.4"," 15.1"," 21.2"," 17"," 28.2"," 28.9"," 25.3"," 11.1"," 37.1"," 53.6"," 46.5"," 31.3"," 23.6"," 17.6"," 17.1"," 23.1"," 15.7"," 14.7"," 18.1"," 14.1"," 19.5"," 23.3"," 20.9"," 26.5"," 31.5"," 25.6"," 11.1"," 24.4"," 17.4"," 17.1"," 7.5"," 14.3"," 26"," 111.5"," 106.8"," 132.5"," 142.4"," 114.8"," 116.6"
"2014F","WY","ARTCD"," .58"," .81"," .82"," .85"," 1.71"," 1.8"," 1.65"," 1.76"," 1.94"," 2.45"," 3.66"," 4.46"," 4.21"," 4.22"," 4.57"," 4.82"," 4.36"," 3.21"," 3.4"," 2.88"," 2.71"," 3.43"," 3.07"," 2.93"," 3.02"," 3.2"," 3.52"," 3.62"," 3.67"," 3.26"," 3.24"," 3.52"," 3.83"," 4.06"," 4.6"," 4.89"," 5.22"," 5.49"," 5.64"," 14.67"," 13.42"," 14.33"," 15.32"," 14.97"," 15.22"
"2014F","WY","ARTCV"," 4.2"," 6.7"," 5.8"," 5.5"," 7.4"," 7.2"," 8.4"," 15.1"," 21.2"," 17"," 28.2"," 28.9"," 25.3"," 11.1"," 37.1"," 53.6"," 46.5"," 31.3"," 23.6"," 17.6"," 17.1"," 23.1"," 15.7"," 14.7"," 18.1"," 14.1"," 19.5"," 23.3"," 20.9"," 26.5"," 31.5"," 25.6"," 11.1"," 24.4"," 17.4"," 17.1"," 7.5"," 14.3"," 26"," 111.5"," 106.8"," 132.5"," 142.4"," 114.8"," 116.6"
"2014F","WY","ARTXD"," .58"," .81"," .82"," .85"," 1.71"," 1.8"," 1.65"," 1.76"," 1.94"," 2.45"," 3.66"," 4.46"," 4.21"," 4.22"," 4.57"," 4.82"," 4.36"," 3.21"," 3.4"," 2.88"," 2.71"," 3.43"," 3.07"," 2.93"," 3.02"," 3.2"," 3.52"," 3.62"," 3.67"," 3.26"," 3.24"," 3.52"," 3.83"," 4.06"," 4.6"," 4.89"," 5.22"," 5.49"," 5.64"," 14.67"," 13.42"," 14.33"," 15.32"," 14.97"," 15.22"
"2014F","WY","ARTXV"," 4.2"," 6.7"," 5.8"," 5.5"," 7.4"," 7.2"," 8.4"," 15.1"," 21.2"," 17"," 28.2"," 28.9"," 25.3"," 11.1"," 37.1"," 53.6"," 46.5"," 31.3"," 23.6"," 17.6"," 17.1"," 23.1"," 15.7"," 14.7"," 18.1"," 14.1"," 19.5"," 23.3"," 20.9"," 26.5"," 31.5"," 25.6"," 11.1"," 24.4"," 17.4"," 17.1"," 7.5"," 14.3"," 26"," 111.5"," 106.8"," 132.5"," 142.4"," 114.8"," 116.6"
"2014F","WY","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","WY","AVACV"," 2.8"," 2.9"," 2.9"," 3.1"," 4"," 3.8"," 4"," 5"," 6.4"," 9.2"," 4.9"," 4.6"," 3.3"," 2.9"," 3"," 2.6"," 2.1"," 1.9"," 2"," 1.6"," 1.7"," 1.2"," 1.1"," .8"," 1.3"," 7.6"," 10"," 7.2"," 6.2"," 10.4"," 15.2"," 11.6"," 13.1"," 13.5"," 16.4"," 23.2"," 28.2"," 22.8"," 33.8"," 23.7"," 3.8"," 4.4"," 4"," 3.5"," 5.2"
"2014F","WY","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"
"2014F","WY","AVTCV"," 2.8"," 2.9"," 2.9"," 3.1"," 4"," 3.8"," 4"," 5"," 6.4"," 9.2"," 4.9"," 4.6"," 3.3"," 2.9"," 3"," 2.6"," 2.1"," 1.9"," 2"," 1.6"," 1.7"," 1.2"," 1.1"," .8"," 1.3"," 7.6"," 10"," 7.2"," 6.2"," 10.4"," 15.2"," 11.6"," 13.1"," 13.5"," 16.4"," 23.2"," 28.2"," 22.8"," 33.8"," 23.7"," 3.8"," 4.4"," 4"," 3.5"," 5.2"
