"Data_Status","State","MSN","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","AK","GDPRV",25763.00,24067.00,24727.00,26932.00,28942.00,29808.00,32125.00,35510.00,40277.00,44867.00,49285.00,54737.00,49564.00,52490.00,56759.00,58485.00,57132.00,56647.00
"2014F","AL","GDPRV",104309.00,109776.00,115704.00,120428.00,124885.00,130180.00,136270.00,148769.00,157914.00,165131.00,170399.00,173754.00,169370.00,176287.00,182197.00,187534.00,193374.00,200414.00
"2014F","AR","GDPRV",60248.00,62695.00,67087.00,69111.00,71128.00,74243.00,78882.00,85315.00,90112.00,95727.00,99210.00,102383.00,100430.00,105195.00,109426.00,111950.00,116403.00,120035.00
"2014F","AZ","GDPRV",132795.00,143542.00,156118.00,166108.00,172634.00,179892.00,192663.00,204659.00,227047.00,248075.00,262214.00,258853.00,242918.00,248110.00,256514.00,267188.00,274328.00,286554.00
"2014F","CA","GDPRV",1082051.00,1158822.00,1258697.00,1377014.00,1394863.00,1449536.00,1535202.00,1643908.00,1760508.00,1868969.00,1951997.00,1997225.00,1915723.00,1964588.00,2035315.00,2124143.00,2215726.00,2305921.00
"2014F","CO","GDPRV",136296.00,149057.00,162273.00,178331.00,185264.00,189464.00,195704.00,205347.00,222415.00,233142.00,245169.00,255395.00,249975.00,257810.00,266450.00,276040.00,286812.00,305871.00
"2014F","CT","GDPRV",140127.00,147616.00,153781.00,166995.00,172336.00,174856.00,181750.00,198921.00,208154.00,220994.00,235299.00,231569.00,226572.00,231060.00,233027.00,238939.00,242878.00,250569.00
"2014F","DC","GDPRV",51682.00,53891.00,58088.00,60458.00,65400.00,69608.00,73846.00,79564.00,83968.00,88502.00,93695.00,98621.00,99234.00,104175.00,108260.00,110157.00,111891.00,116378.00
"2014F","DE","GDPRV",33911.00,35955.00,39053.00,41677.00,43314.00,43046.00,46092.00,50618.00,52901.00,55826.00,56805.00,54329.00,56155.00,57369.00,59125.00,59788.00,60260.00,63404.00
"2014F","FL","GDPRV",403677.00,431374.00,459431.00,490538.00,519024.00,550486.00,585729.00,637113.00,700222.00,748021.00,773682.00,754355.00,723187.00,731278.00,737122.00,766374.00,799616.00,838939.00
"2014F","GA","GDPRV",242669.00,264225.00,287670.00,304942.00,316351.00,323644.00,335367.00,353025.00,376626.00,393920.00,411730.00,411923.00,405469.00,409747.00,421938.00,436670.00,452897.00,474696.00
"2014F","HI","GDPRV",37915.00,37627.00,39177.00,41247.00,42789.00,45185.00,48559.00,53306.00,58123.00,61684.00,64775.00,66449.00,65004.00,67451.00,69747.00,72307.00,74156.00,76171.00
"2014F","IA","GDPRV",83743.00,85833.00,88936.00,95021.00,96093.00,100359.00,106935.00,118710.00,124021.00,128346.00,137377.00,136747.00,136744.00,141552.00,149410.00,159293.00,164409.00,169707.00
"2014F","ID","GDPRV",29686.00,31152.00,34390.00,38416.00,37812.00,39185.00,41125.00,44445.00,47990.00,51821.00,55010.00,56278.00,54015.00,55576.00,56984.00,58030.00,60641.00,63235.00
"2014F","IL","GDPRV",422741.00,443392.00,465795.00,492922.00,503969.00,514227.00,531957.00,561117.00,588847.00,623535.00,648647.00,646395.00,641143.00,653597.00,679722.00,709257.00,715239.00,736285.00
"2014F","IN","GDPRV",172949.00,187005.00,195668.00,205807.00,207104.00,214788.00,225933.00,240428.00,247048.00,258525.00,271444.00,274724.00,262854.00,282262.00,290862.00,298797.00,307614.00,318085.00
"2014F","KS","GDPRV",75239.00,79114.00,82944.00,87446.00,90269.00,92953.00,97651.00,101343.00,106864.00,113738.00,122276.00,126028.00,121975.00,127967.00,136789.00,139669.00,140428.00,144407.00
"2014F","KY","GDPRV",105103.00,109859.00,115931.00,115126.00,118975.00,123928.00,128804.00,135994.00,144174.00,152394.00,155486.00,158665.00,155911.00,165550.00,172178.00,177342.00,181811.00,187788.00
"2014F","LA","GDPRV",118073.00,121548.00,127230.00,134251.00,140264.00,141797.00,157562.00,172623.00,200436.00,207944.00,209676.00,218332.00,210591.00,232694.00,241030.00,248850.00,245000.00,251672.00
"2014F","MA","GDPRV",237390.00,249401.00,264906.00,289554.00,296348.00,302972.00,315339.00,329640.00,344145.00,359256.00,377987.00,384032.00,381866.00,398347.00,412958.00,429841.00,437424.00,455732.00
"2014F","MD","GDPRV",160965.00,171402.00,181987.00,192934.00,206296.00,218525.00,229840.00,247461.00,264729.00,278216.00,290139.00,297600.00,303140.00,314107.00,323204.00,330593.00,336365.00,346857.00
"2014F","ME","GDPRV",30675.00,32177.00,34350.00,36684.00,38317.00,40050.00,41858.00,44617.00,46052.00,48175.00,49269.00,49932.00,50263.00,51336.00,51571.00,52654.00,53244.00,54324.00
"2014F","MI","GDPRV",301805.00,315171.00,338889.00,351996.00,351014.00,365288.00,377462.00,383545.00,396268.00,397295.00,402390.00,385208.00,365191.00,385800.00,398847.00,414055.00,431680.00,448243.00
"2014F","MN","GDPRV",157206.00,167915.00,176966.00,192948.00,198343.00,206098.00,218061.00,231904.00,244800.00,251221.00,259493.00,265285.00,259482.00,271973.00,284778.00,294729.00,306593.00,317237.00
"2014F","MO","GDPRV",163749.00,169799.00,177924.00,187707.00,191750.00,196807.00,205338.00,215895.00,225268.00,234124.00,241909.00,249023.00,250059.00,256576.00,257711.00,265505.00,272810.00,279835.00
"2014F","MS","GDPRV",58657.00,61220.00,64142.00,66171.00,67662.00,69443.00,73982.00,78169.00,82274.00,87302.00,91919.00,94662.00,92234.00,95258.00,97202.00,101642.00,102822.00,104753.00
"2014F","MT","GDPRV",19196.00,20208.00,20834.00,21884.00,23063.00,23941.00,25788.00,27979.00,30425.00,32635.00,35676.00,36567.00,35314.00,37315.00,40200.00,41499.00,42722.00,44135.00
"2014F","NC","GDPRV",232815.00,244146.00,263633.00,276963.00,291540.00,301781.00,313917.00,332598.00,357711.00,386354.00,395708.00,410058.00,410015.00,419545.00,432795.00,443670.00,458282.00,481876.00
"2014F","ND","GDPRV",15815.00,16858.00,17042.00,17991.00,19002.00,20322.00,22295.00,23396.00,24709.00,26491.00,28670.00,32128.00,32008.00,35308.00,40870.00,49769.00,51866.00,55978.00
"2014F","NE","GDPRV",50719.00,52548.00,54427.00,57551.00,60217.00,62305.00,67656.00,71322.00,74415.00,78581.00,82918.00,85699.00,87084.00,91676.00,99431.00,102617.00,107088.00,111007.00
"2014F","NH","GDPRV",37992.00,40169.00,41229.00,44135.00,45163.00,47510.00,50276.00,53148.00,56123.00,58492.00,59958.00,59941.00,60638.00,62849.00,64243.00,66427.00,67485.00,70358.00
"2014F","NJ","GDPRV",308631.00,320905.00,336975.00,360703.00,373205.00,388030.00,404905.00,423953.00,444973.00,466524.00,481936.00,493847.00,484759.00,494262.00,498845.00,522248.00,533966.00,551828.00
"2014F","NM","GDPRV",52460.00,50519.00,53210.00,55597.00,56889.00,58845.00,63576.00,70121.00,74063.00,77536.00,80443.00,83969.00,80855.00,83709.00,86508.00,87747.00,89110.00,91885.00
"2014F","NV","GDPRV",59468.00,63934.00,70376.00,75777.00,80134.00,84643.00,90419.00,103446.00,116764.00,125387.00,131137.00,128807.00,119132.00,119632.00,122836.00,125537.00,128037.00,135038.00
"2014F","NY","GDPRV",714244.00,739583.00,785301.00,824386.00,864377.00,879623.00,898559.00,954249.00,1024329.00,1083194.00,1120861.00,1108128.00,1143081.00,1207647.00,1230094.00,1299460.00,1325405.00,1395488.00
"2014F","OH","GDPRV",342183.00,360273.00,374613.00,391503.00,396626.00,411997.00,426295.00,450842.00,468197.00,482227.00,494917.00,495607.00,478374.00,494792.00,521941.00,544888.00,557028.00,576056.00
"2014F","OK","GDPRV",79527.00,81533.00,85368.00,92083.00,97682.00,99532.00,106105.00,114160.00,125106.00,136804.00,144171.00,157322.00,143359.00,151804.00,162196.00,169638.00,176101.00,183174.00
"2014F","OR","GDPRV",101039.00,105525.00,107980.00,118086.00,117362.00,121998.00,128009.00,142516.00,147583.00,163033.00,170522.00,179675.00,180332.00,190844.00,199883.00,203836.00,204109.00,212807.00
"2014F","PA","GDPRV",355574.00,372396.00,389766.00,409473.00,428099.00,440514.00,458434.00,481879.00,505091.00,529969.00,553105.00,565328.00,565931.00,585805.00,604350.00,621398.00,636833.00,658290.00
"2014F","RI","GDPRV",28890.00,30529.00,32194.00,34405.00,36117.00,38231.00,40672.00,43513.00,45250.00,47659.00,47948.00,47388.00,47856.00,49279.00,49906.00,51403.00,52555.00,54492.00
"2014F","SC","GDPRV",98354.00,104676.00,111539.00,116812.00,121361.00,126044.00,132485.00,136875.00,144754.00,152802.00,160949.00,162838.00,161291.00,165045.00,171124.00,175687.00,181345.00,189278.00
"2014F","SD","GDPRV",19233.00,20445.00,21488.00,23267.00,24399.00,27334.00,28733.00,30789.00,31552.00,32455.00,34969.00,36854.00,36401.00,38210.00,42495.00,43291.00,44653.00,46169.00
"2014F","TN","GDPRV",154693.00,167243.00,176549.00,182844.00,188482.00,197724.00,206546.00,220543.00,228730.00,239425.00,243405.00,250444.00,247316.00,253237.00,263998.00,279645.00,286877.00,297159.00
"2014F","TX","GDPRV",613463.00,653512.00,691405.00,752007.00,787653.00,801155.00,844435.00,922770.00,999641.00,1094064.00,1181302.00,1244559.00,1171250.00,1249898.00,1352113.00,1449520.00,1554870.00,1641044.00
"2014F","US","GDPRV",8608500.00,9089200.00,9660600.00,10284800.00,10621800.00,10977500.00,11510700.00,12274900.00,13093700.00,13855900.00,14477600.00,14718600.00,14418700.00,14964400.00,15517900.00,16155300.00,16663200.00,17348100.00
"2014F","UT","GDPRV",57159.00,61503.00,65525.00,70550.00,74191.00,76711.00,80130.00,86495.00,94876.00,106308.00,116019.00,116219.00,113867.00,118180.00,124552.00,127751.00,133909.00,140031.00
"2014F","VA","GDPRV",218905.00,233908.00,251671.00,269194.00,284595.00,292387.00,309648.00,330412.00,358730.00,378445.00,391842.00,399772.00,409592.00,423629.00,432022.00,444387.00,451946.00,462861.00
"2014F","VT","GDPRV",15529.00,16119.00,17141.00,18265.00,19172.00,20073.00,21232.00,22538.00,23483.00,24251.00,24759.00,25308.00,25249.00,26411.00,27595.00,28333.00,28635.00,29312.00
"2014F","WA","GDPRV",194856.00,211448.00,230725.00,239942.00,240894.00,249942.00,260027.00,271676.00,296731.00,315723.00,343339.00,352907.00,350880.00,362226.00,372486.00,390707.00,402535.00,422877.00
