"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","AK","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 42"," 45"," 6"," 1"," 50"," 8"," 1","-15"," 2"," 4","-1"," 3"," 3"," 107"," 93"," 130"," 165"," 87"," 141"," 84"," 134"," 164"," 165"," 233"," 189"," 14"," 39"," 2","-14","-4"," 0"," 0","-6","-2"
"2014F","AK","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 9"," 1"," 0"," 10"," 2"," 0","-3"," 0"," 1"," 0"," 1"," 1"," 21"," 18"," 26"," 33"," 17"," 28"," 17"," 26"," 32"," 33"," 46"," 38"," 3"," 8"," 0","-3","-1"," 0"," 0","-1"," 0"
"2014F","AK","ARICB"," 312"," 555"," 489"," 589"," 791"," 878"," 1646"," 832"," 755"," 969"," 1817"," 1969"," 2168"," 1622"," 1637"," 2114"," 2107"," 2396"," 2081"," 1372"," 2053"," 1767"," 2443"," 2283"," 2910"," 3220"," 2476"," 1705"," 4635"," 1819"," 1782"," 1718"," 1750"," 282"," 439"," 548"," 175"," 367"," 431"," 867"," 2059"," 10232"," 2404"," 395"," 1778"," 1231"," 329"," 924"," 547"," 10198"," 12644"," 14931"," 14343"," 12763"," 12335"
"2014F","AK","ARICP"," 47"," 84"," 74"," 89"," 119"," 132"," 248"," 125"," 114"," 146"," 274"," 297"," 327"," 244"," 247"," 319"," 317"," 361"," 314"," 207"," 309"," 266"," 368"," 344"," 438"," 485"," 373"," 257"," 698"," 274"," 269"," 259"," 264"," 43"," 66"," 83"," 26"," 55"," 65"," 131"," 310"," 1542"," 362"," 59"," 268"," 186"," 50"," 139"," 82"," 1537"," 1905"," 2250"," 2161"," 1923"," 1859"
"2014F","AK","ARTCB"," 312"," 555"," 489"," 589"," 791"," 878"," 1646"," 832"," 755"," 969"," 1817"," 1969"," 2168"," 1622"," 1637"," 2114"," 2107"," 2396"," 2081"," 1372"," 2053"," 1767"," 2443"," 2283"," 2910"," 3220"," 2476"," 1705"," 4635"," 1819"," 1782"," 1718"," 1750"," 282"," 439"," 548"," 175"," 367"," 431"," 867"," 2059"," 10232"," 2404"," 395"," 1778"," 1231"," 329"," 924"," 547"," 10198"," 12644"," 14931"," 14343"," 12763"," 12335"
"2014F","AK","ARTCP"," 47"," 84"," 74"," 89"," 119"," 132"," 248"," 125"," 114"," 146"," 274"," 297"," 327"," 244"," 247"," 319"," 317"," 361"," 314"," 207"," 309"," 266"," 368"," 344"," 438"," 485"," 373"," 257"," 698"," 274"," 269"," 259"," 264"," 43"," 66"," 83"," 26"," 55"," 65"," 131"," 310"," 1542"," 362"," 59"," 268"," 186"," 50"," 139"," 82"," 1537"," 1905"," 2250"," 2161"," 1923"," 1859"
"2014F","AK","ARTXB"," 312"," 555"," 489"," 589"," 791"," 878"," 1646"," 832"," 755"," 969"," 1817"," 1969"," 2168"," 1622"," 1637"," 2114"," 2107"," 2396"," 2081"," 1372"," 2053"," 1767"," 2443"," 2283"," 2910"," 3220"," 2476"," 1705"," 4635"," 1819"," 1782"," 1718"," 1750"," 282"," 439"," 548"," 175"," 367"," 431"," 867"," 2059"," 10232"," 2404"," 395"," 1778"," 1231"," 329"," 924"," 547"," 10198"," 12644"," 14931"," 14343"," 12763"," 12335"
"2014F","AK","ARTXP"," 47"," 84"," 74"," 89"," 119"," 132"," 248"," 125"," 114"," 146"," 274"," 297"," 327"," 244"," 247"," 319"," 317"," 361"," 314"," 207"," 309"," 266"," 368"," 344"," 438"," 485"," 373"," 257"," 698"," 274"," 269"," 259"," 264"," 43"," 66"," 83"," 26"," 55"," 65"," 131"," 310"," 1542"," 362"," 59"," 268"," 186"," 50"," 139"," 82"," 1537"," 1905"," 2250"," 2161"," 1923"," 1859"
"2014F","AK","AVACB"," 5209"," 6441"," 5202"," 3273"," 2319"," 1478"," 1086"," 3538"," 3548"," 3467"," 2331"," 1902"," 1956"," 2013"," 2425"," 2354"," 1924"," 2179"," 2208"," 2186"," 2514"," 2544"," 1862"," 1894"," 1979"," 2476"," 3114"," 1049"," 2054"," 2480"," 2480"," 3118"," 2319"," 2070"," 865"," 1965"," 716"," 2053"," 770"," 2671"," 2632"," 1236"," 905"," 790"," 918"," 1399"," 1263"," 1250"," 1008"," 1095"," 854"," 801"," 776"," 701"," 661"
"2014F","AK","AVACP"," 1032"," 1276"," 1030"," 648"," 459"," 293"," 215"," 701"," 703"," 687"," 462"," 377"," 387"," 399"," 480"," 466"," 381"," 432"," 437"," 433"," 498"," 504"," 369"," 375"," 392"," 490"," 617"," 208"," 407"," 491"," 491"," 618"," 459"," 410"," 171"," 389"," 142"," 407"," 152"," 529"," 521"," 245"," 179"," 156"," 182"," 277"," 250"," 248"," 200"," 217"," 169"," 159"," 154"," 139"," 131"
