"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","AZ","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AZ","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AZ","ARICB"," 5726"," 6275"," 5741"," 8194"," 7749"," 7369"," 12551"," 13391"," 15229"," 18103"," 24414"," 19444"," 23661"," 22666"," 26101"," 15467"," 13486"," 14402"," 17829"," 19633"," 13677"," 10863"," 10099"," 10929"," 16489"," 17009"," 16791"," 16535"," 17806"," 15832"," 15705"," 14472"," 19801"," 15447"," 17083"," 20823"," 16324"," 17945"," 26355"," 25312"," 22752"," 17039"," 23431"," 23017"," 31934"," 30780"," 27373"," 27034"," 23059"," 19000"," 20002"," 20563"," 18436"," 16386"," 16284"
"2014F","AZ","ARICP"," 863"," 946"," 865"," 1235"," 1168"," 1110"," 1891"," 2018"," 2295"," 2728"," 3679"," 2930"," 3566"," 3416"," 3933"," 2331"," 2032"," 2170"," 2687"," 2959"," 2061"," 1637"," 1522"," 1647"," 2485"," 2563"," 2530"," 2492"," 2683"," 2386"," 2367"," 2181"," 2984"," 2328"," 2574"," 3138"," 2460"," 2704"," 3972"," 3814"," 3429"," 2568"," 3531"," 3468"," 4812"," 4638"," 4125"," 4074"," 3475"," 2863"," 3014"," 3099"," 2778"," 2469"," 2454"
"2014F","AZ","ARTCB"," 5726"," 6275"," 5741"," 8194"," 7749"," 7369"," 12551"," 13391"," 15229"," 18103"," 24414"," 19444"," 23661"," 22666"," 26101"," 15467"," 13486"," 14402"," 17829"," 19633"," 13677"," 10863"," 10099"," 10929"," 16489"," 17009"," 16791"," 16535"," 17806"," 15832"," 15705"," 14472"," 19801"," 15447"," 17083"," 20823"," 16324"," 17945"," 26355"," 25312"," 22752"," 17039"," 23431"," 23017"," 31934"," 30780"," 27373"," 27034"," 23059"," 19000"," 20002"," 20563"," 18436"," 16386"," 16284"
"2014F","AZ","ARTCP"," 863"," 946"," 865"," 1235"," 1168"," 1110"," 1891"," 2018"," 2295"," 2728"," 3679"," 2930"," 3566"," 3416"," 3933"," 2331"," 2032"," 2170"," 2687"," 2959"," 2061"," 1637"," 1522"," 1647"," 2485"," 2563"," 2530"," 2492"," 2683"," 2386"," 2367"," 2181"," 2984"," 2328"," 2574"," 3138"," 2460"," 2704"," 3972"," 3814"," 3429"," 2568"," 3531"," 3468"," 4812"," 4638"," 4125"," 4074"," 3475"," 2863"," 3014"," 3099"," 2778"," 2469"," 2454"
"2014F","AZ","ARTXB"," 5726"," 6275"," 5741"," 8194"," 7749"," 7369"," 12551"," 13391"," 15229"," 18103"," 24414"," 19444"," 23661"," 22666"," 26101"," 15467"," 13486"," 14402"," 17829"," 19633"," 13677"," 10863"," 10099"," 10929"," 16489"," 17009"," 16791"," 16535"," 17806"," 15832"," 15705"," 14472"," 19801"," 15447"," 17083"," 20823"," 16324"," 17945"," 26355"," 25312"," 22752"," 17039"," 23431"," 23017"," 31934"," 30780"," 27373"," 27034"," 23059"," 19000"," 20002"," 20563"," 18436"," 16386"," 16284"
"2014F","AZ","ARTXP"," 863"," 946"," 865"," 1235"," 1168"," 1110"," 1891"," 2018"," 2295"," 2728"," 3679"," 2930"," 3566"," 3416"," 3933"," 2331"," 2032"," 2170"," 2687"," 2959"," 2061"," 1637"," 1522"," 1647"," 2485"," 2563"," 2530"," 2492"," 2683"," 2386"," 2367"," 2181"," 2984"," 2328"," 2574"," 3138"," 2460"," 2704"," 3972"," 3814"," 3429"," 2568"," 3531"," 3468"," 4812"," 4638"," 4125"," 4074"," 3475"," 2863"," 3014"," 3099"," 2778"," 2469"," 2454"
"2014F","AZ","AVACB"," 3531"," 2324"," 3777"," 3399"," 3006"," 2411"," 2635"," 2721"," 2403"," 2168"," 2158"," 2113"," 2071"," 1814"," 2047"," 1807"," 1701"," 1891"," 1724"," 1864"," 1416"," 1136"," 791"," 788"," 958"," 929"," 1139"," 1047"," 938"," 1061"," 979"," 950"," 798"," 646"," 717"," 703"," 780"," 761"," 965"," 792"," 1028"," 966"," 925"," 1177"," 827"," 947"," 893"," 732"," 789"," 640"," 940"," 1034"," 842"," 701"," 1041"
"2014F","AZ","AVACP"," 699"," 460"," 748"," 673"," 595"," 478"," 522"," 539"," 476"," 430"," 427"," 419"," 410"," 359"," 405"," 358"," 337"," 375"," 342"," 369"," 281"," 225"," 157"," 156"," 190"," 184"," 226"," 207"," 186"," 210"," 194"," 188"," 158"," 128"," 142"," 139"," 155"," 151"," 191"," 157"," 204"," 191"," 183"," 233"," 164"," 188"," 177"," 145"," 156"," 127"," 186"," 205"," 167"," 139"," 206"
