"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","CA","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 717"," 766"," 108"," 12"," 586"," 81"," 7","-157"," 15"," 33","-10"," 20"," 19"," 769"," 642"," 848"," 1092"," 475"," 747"," 449"," 739"," 907"," 885"," 1251"," 1016"," 76"," 208"," 11","-87","-27"," 1"," 0","-41","-16"
"2014F","CA","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 142"," 152"," 21"," 2"," 116"," 16"," 1","-31"," 3"," 7","-2"," 4"," 4"," 152"," 127"," 168"," 216"," 94"," 148"," 89"," 146"," 180"," 175"," 248"," 201"," 15"," 41"," 2","-17","-5"," 0"," 0","-8","-3"
"2014F","CA","ARICB"," 70774"," 76145"," 78080"," 80479"," 83422"," 78915"," 80100"," 73535"," 78732"," 86849"," 80190"," 80855"," 81143"," 87352"," 79024"," 87239"," 93449"," 99519"," 101860"," 142558"," 122309"," 65242"," 65154"," 73769"," 101279"," 91894"," 102017"," 109216"," 101815"," 99514"," 98621"," 94570"," 89971"," 82504"," 81208"," 81036"," 82280"," 76391"," 103334"," 135150"," 135104"," 125555"," 118493"," 90544"," 91630"," 87110"," 80492"," 99922"," 82941"," 52437"," 33127"," 60093"," 53841"," 60091"," 57377"
"2014F","CA","ARICP"," 10665"," 11474"," 11766"," 12128"," 12571"," 11892"," 12071"," 11081"," 11864"," 13087"," 12084"," 12184"," 12228"," 13163"," 11908"," 13146"," 14082"," 14997"," 15350"," 21482"," 18431"," 9831"," 9818"," 11117"," 15262"," 13848"," 15373"," 16458"," 15343"," 14996"," 14862"," 14251"," 13558"," 12433"," 12237"," 12212"," 12399"," 11512"," 15572"," 20366"," 20359"," 18920"," 17856"," 13644"," 13808"," 13127"," 12130"," 15058"," 12499"," 7902"," 4992"," 9056"," 8113"," 9055"," 8646"
"2014F","CA","ARTCB"," 70774"," 76145"," 78080"," 80479"," 83422"," 78915"," 80100"," 73535"," 78732"," 86849"," 80190"," 80855"," 81143"," 87352"," 79024"," 87239"," 93449"," 99519"," 101860"," 142558"," 122309"," 65242"," 65154"," 73769"," 101279"," 91894"," 102017"," 109216"," 101815"," 99514"," 98621"," 94570"," 89971"," 82504"," 81208"," 81036"," 82280"," 76391"," 103334"," 135150"," 135104"," 125555"," 118493"," 90544"," 91630"," 87110"," 80492"," 99922"," 82941"," 52437"," 33127"," 60093"," 53841"," 60091"," 57377"
"2014F","CA","ARTCP"," 10665"," 11474"," 11766"," 12128"," 12571"," 11892"," 12071"," 11081"," 11864"," 13087"," 12084"," 12184"," 12228"," 13163"," 11908"," 13146"," 14082"," 14997"," 15350"," 21482"," 18431"," 9831"," 9818"," 11117"," 15262"," 13848"," 15373"," 16458"," 15343"," 14996"," 14862"," 14251"," 13558"," 12433"," 12237"," 12212"," 12399"," 11512"," 15572"," 20366"," 20359"," 18920"," 17856"," 13644"," 13808"," 13127"," 12130"," 15058"," 12499"," 7902"," 4992"," 9056"," 8113"," 9055"," 8646"
"2014F","CA","ARTXB"," 70774"," 76145"," 78080"," 80479"," 83422"," 78915"," 80100"," 73535"," 78732"," 86849"," 80190"," 80855"," 81143"," 87352"," 79024"," 87239"," 93449"," 99519"," 101860"," 142558"," 122309"," 65242"," 65154"," 73769"," 101279"," 91894"," 102017"," 109216"," 101815"," 99514"," 98621"," 94570"," 89971"," 82504"," 81208"," 81036"," 82280"," 76391"," 103334"," 135150"," 135104"," 125555"," 118493"," 90544"," 91630"," 87110"," 80492"," 99922"," 82941"," 52437"," 33127"," 60093"," 53841"," 60091"," 57377"
"2014F","CA","ARTXP"," 10665"," 11474"," 11766"," 12128"," 12571"," 11892"," 12071"," 11081"," 11864"," 13087"," 12084"," 12184"," 12228"," 13163"," 11908"," 13146"," 14082"," 14997"," 15350"," 21482"," 18431"," 9831"," 9818"," 11117"," 15262"," 13848"," 15373"," 16458"," 15343"," 14996"," 14862"," 14251"," 13558"," 12433"," 12237"," 12212"," 12399"," 11512"," 15572"," 20366"," 20359"," 18920"," 17856"," 13644"," 13808"," 13127"," 12130"," 15058"," 12499"," 7902"," 4992"," 9056"," 8113"," 9055"," 8646"
"2014F","CA","AVACB"," 27173"," 17355"," 24955"," 22040"," 19461"," 16870"," 16101"," 14298"," 14376"," 11905"," 11024"," 10278"," 10477"," 10289"," 9988"," 8280"," 7926"," 8314"," 8852"," 8489"," 1440"," 666"," 5779"," 5891"," 5286"," 6837"," 6754"," 5470"," 6621"," 6575"," 5581"," 5506"," 5345"," 4134"," 4003"," 4073"," 3881"," 4222"," 2899"," 4167"," 3651"," 2706"," 3025"," 3033"," 2795"," 2676"," 2326"," 2234"," 2057"," 1439"," 1757"," 1911"," 1911"," 1726"," 2382"
"2014F","CA","AVACP"," 5383"," 3438"," 4943"," 4366"," 3855"," 3342"," 3190"," 2832"," 2848"," 2358"," 2184"," 2036"," 2075"," 2038"," 1979"," 1640"," 1570"," 1647"," 1754"," 1682"," 285"," 132"," 1145"," 1167"," 1047"," 1354"," 1338"," 1084"," 1312"," 1303"," 1106"," 1091"," 1059"," 819"," 793"," 807"," 769"," 836"," 574"," 825"," 723"," 536"," 599"," 601"," 554"," 530"," 461"," 443"," 407"," 285"," 348"," 379"," 379"," 342"," 472"
"2014F","CA","AVTCB"," 27173"," 17355"," 24955"," 22040"," 19461"," 16870"," 16101"," 14298"," 14376"," 11905"," 11024"," 10278"," 10477"," 10289"," 9988"," 8280"," 7926"," 8314"," 8852"," 8489"," 1440"," 666"," 5779"," 5891"," 5286"," 6837"," 6754"," 5470"," 6621"," 6575"," 5581"," 5506"," 5345"," 4134"," 4003"," 4073"," 3881"," 4222"," 2899"," 4167"," 3651"," 2706"," 3025"," 3033"," 2795"," 2676"," 2326"," 2234"," 2057"," 1439"," 1757"," 1911"," 1911"," 1726"," 2382"
"2014F","CA","AVTCP"," 5383"," 3438"," 4943"," 4366"," 3855"," 3342"," 3190"," 2832"," 2848"," 2358"," 2184"," 2036"," 2075"," 2038"," 1979"," 1640"," 1570"," 1647"," 1754"," 1682"," 285"," 132"," 1145"," 1167"," 1047"," 1354"," 1338"," 1084"," 1312"," 1303"," 1106"," 1091"," 1059"," 819"," 793"," 807"," 769"," 836"," 574"," 825"," 723"," 536"," 599"," 601"," 554"," 530"," 461"," 443"," 407"," 285"," 348"," 379"," 379"," 342"," 472"
"2014F","CA","AVTXB"," 27173"," 17355"," 24955"," 22040"," 19461"," 16870"," 16101"," 14298"," 14376"," 11905"," 11024"," 10278"," 10477"," 10289"," 9988"," 8280"," 7926"," 8314"," 8852"," 8489"," 1440"," 666"," 5779"," 5891"," 5286"," 6837"," 6754"," 5470"," 6621"," 6575"," 5581"," 5506"," 5345"," 4134"," 4003"," 4073"," 3881"," 4222"," 2899"," 4167"," 3651"," 2706"," 3025"," 3033"," 2795"," 2676"," 2326"," 2234"," 2057"," 1439"," 1757"," 1911"," 1911"," 1726"," 2382"
"2014F","CA","AVTXP"," 5383"," 3438"," 4943"," 4366"," 3855"," 3342"," 3190"," 2832"," 2848"," 2358"," 2184"," 2036"," 2075"," 2038"," 1979"," 1640"," 1570"," 1647"," 1754"," 1682"," 285"," 132"," 1145"," 1167"," 1047"," 1354"," 1338"," 1084"," 1312"," 1303"," 1106"," 1091"," 1059"," 819"," 793"," 807"," 769"," 836"," 574"," 825"," 723"," 536"," 599"," 601"," 554"," 530"," 461"," 443"," 407"," 285"," 348"," 379"," 379"," 342"," 472"
"2014F","CA","BMTCB"," 82098"," 83506"," 86898"," 93022"," 98436"," 97488"," 100673"," 101885"," 110274"," 116253"," 116839"," 119221"," 127646"," 130122"," 134723"," 127489"," 144760"," 151984"," 160261"," 168373"," 115610"," 133092"," 127114"," 148644"," 165871"," 167092"," 129117"," 157927"," 169036"," 235903"," 222587"," 219221"," 226570"," 193993"," 195852"," 181972"," 175098"," 158854"," 146909"," 155665"," 164105"," 164118"," 171469"," 205789"," 228393"," 225462"," 219073"," 224673"," 229209"," 236484"," 280124"," 282581"," 280963"," 294412"," 298473"
"2014F","CA","CLACB"," 587"," 258"," 153"," 166"," 191"," 199"," 145"," 122"," 117"," 91"," 86"," 59"," 43"," 43"," 28"," 8"," 5"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CA","CLACP"," 23"," 10"," 6"," 6"," 7"," 8"," 6"," 5"," 5"," 4"," 4"," 2"," 2"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CA","CLCCB"," 64"," 55"," 57"," 36"," 68"," 111"," 137"," 128"," 98"," 993"," 1055"," 35"," 48"," 0"," 20"," 0"," 0"," 0"," 68"," 67"," 73"," 38"," 39"," 39"," 637"," 974"," 0"," 11"," 113"," 194"," 465"," 841"," 4"," 2700"," 3282"," 2693"," 3628"," 2232"," 2426"," 576"," 500"," 1"," 1"," 5"," 168"," 410"," 30"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CA","CLCCP"," 3"," 2"," 2"," 2"," 3"," 5"," 6"," 6"," 4"," 44"," 48"," 2"," 2"," 0"," 1"," 0"," 0"," 0"," 3"," 3"," 3"," 2"," 2"," 2"," 28"," 41"," 0"," 0"," 5"," 9"," 20"," 36"," 0"," 116"," 141"," 116"," 156"," 97"," 103"," 24"," 21"," 0"," 0"," 0"," 8"," 18"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CA","CLEIB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8508"," 18840"," 25499"," 26710"," 27751"," 26581"," 23328"," 20000"," 17965"," 20082"," 22121"," 22070"," 21112"," 22896"," 21715"," 22535"," 20692"," 21921"," 23358"," 23630"," 21085"," 21776"," 19692"," 13153"," 6214"," 6866"
"2014F","CA","CLEIP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 501"," 910"," 1187"," 1241"," 1363"," 1205"," 1057"," 853"," 822"," 903"," 943"," 939"," 897"," 970"," 890"," 924"," 873"," 899"," 961"," 993"," 879"," 892"," 812"," 539"," 259"," 278"
"2014F","CA","CLICB"," 35160"," 58714"," 39389"," 45876"," 53370"," 63237"," 51052"," 53530"," 56671"," 57683"," 59327"," 50886"," 47326"," 66913"," 60613"," 56397"," 66625"," 75105"," 67804"," 68481"," 66077"," 78354"," 69368"," 31976"," 36456"," 44016"," 42519"," 44937"," 50679"," 57673"," 64738"," 62994"," 64801"," 53625"," 54174"," 57900"," 56202"," 62178"," 43348"," 46772"," 47380"," 46727"," 47113"," 47749"," 46188"," 46284"," 45062"," 43136"," 39420"," 31318"," 33196"," 35572"," 30679"," 31938"," 32620"
"2014F","CA","CLICP"," 1313"," 2192"," 1471"," 1713"," 1992"," 2361"," 1907"," 1998"," 2115"," 2153"," 2215"," 1900"," 1767"," 2498"," 2266"," 2151"," 2611"," 2984"," 2728"," 2730"," 2665"," 3229"," 2862"," 1454"," 1635"," 1889"," 1865"," 1933"," 2203"," 2540"," 2874"," 2771"," 2821"," 2311"," 2332"," 2485"," 2414"," 2697"," 1885"," 2034"," 1992"," 1937"," 1973"," 1976"," 1914"," 1956"," 1870"," 1818"," 1688"," 1330"," 1419"," 1536"," 1323"," 1383"," 1399"
