"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","CO","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 27"," 24"," 3"," 0"," 18"," 3"," 0","-5"," 1"," 1"," 0"," 1"," 1"," 35"," 30"," 39"," 50"," 21"," 33"," 20"," 33"," 40"," 39"," 54"," 48"," 4"," 10"," 1","-5","-1"," 0"," 0","-2","-1"
"2014F","CO","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 5"," 1"," 0"," 4"," 1"," 0","-1"," 0"," 0"," 0"," 0"," 0"," 7"," 6"," 8"," 10"," 4"," 7"," 4"," 7"," 8"," 8"," 11"," 9"," 1"," 2"," 0","-1"," 0"," 0"," 0"," 0"," 0"
"2014F","CO","ARICB"," 10733"," 10185"," 10315"," 10891"," 10396"," 9444"," 10930"," 11630"," 16127"," 18343"," 21367"," 19730"," 20484"," 22604"," 17695"," 14807"," 16863"," 17436"," 14748"," 18275"," 15154"," 12139"," 10750"," 12478"," 20501"," 20592"," 20511"," 20641"," 23572"," 19433"," 21614"," 20620"," 21172"," 22647"," 27794"," 24689"," 25906"," 17078"," 31518"," 14179"," 25681"," 17030"," 8093"," 32680"," 25650"," 17548"," 17518"," 21964"," 13881"," 18220"," 25153"," 14259"," 13146"," 14188"," 15914"
"2014F","CO","ARICP"," 1617"," 1535"," 1554"," 1641"," 1567"," 1423"," 1647"," 1753"," 2430"," 2764"," 3220"," 2973"," 3087"," 3406"," 2666"," 2231"," 2541"," 2628"," 2222"," 2754"," 2284"," 1829"," 1620"," 1880"," 3089"," 3103"," 3091"," 3110"," 3552"," 2928"," 3257"," 3107"," 3190"," 3413"," 4188"," 3720"," 3904"," 2574"," 4749"," 2137"," 3870"," 2566"," 1219"," 4925"," 3865"," 2644"," 2640"," 3310"," 2092"," 2746"," 3790"," 2149"," 1981"," 2138"," 2398"
"2014F","CO","ARTCB"," 10733"," 10185"," 10315"," 10891"," 10396"," 9444"," 10930"," 11630"," 16127"," 18343"," 21367"," 19730"," 20484"," 22604"," 17695"," 14807"," 16863"," 17436"," 14748"," 18275"," 15154"," 12139"," 10750"," 12478"," 20501"," 20592"," 20511"," 20641"," 23572"," 19433"," 21614"," 20620"," 21172"," 22647"," 27794"," 24689"," 25906"," 17078"," 31518"," 14179"," 25681"," 17030"," 8093"," 32680"," 25650"," 17548"," 17518"," 21964"," 13881"," 18220"," 25153"," 14259"," 13146"," 14188"," 15914"
"2014F","CO","ARTCP"," 1617"," 1535"," 1554"," 1641"," 1567"," 1423"," 1647"," 1753"," 2430"," 2764"," 3220"," 2973"," 3087"," 3406"," 2666"," 2231"," 2541"," 2628"," 2222"," 2754"," 2284"," 1829"," 1620"," 1880"," 3089"," 3103"," 3091"," 3110"," 3552"," 2928"," 3257"," 3107"," 3190"," 3413"," 4188"," 3720"," 3904"," 2574"," 4749"," 2137"," 3870"," 2566"," 1219"," 4925"," 3865"," 2644"," 2640"," 3310"," 2092"," 2746"," 3790"," 2149"," 1981"," 2138"," 2398"
"2014F","CO","ARTXB"," 10733"," 10185"," 10315"," 10891"," 10396"," 9444"," 10930"," 11630"," 16127"," 18343"," 21367"," 19730"," 20484"," 22604"," 17695"," 14807"," 16863"," 17436"," 14748"," 18275"," 15154"," 12139"," 10750"," 12478"," 20501"," 20592"," 20511"," 20641"," 23572"," 19433"," 21614"," 20620"," 21172"," 22647"," 27794"," 24689"," 25906"," 17078"," 31518"," 14179"," 25681"," 17030"," 8093"," 32680"," 25650"," 17548"," 17518"," 21964"," 13881"," 18220"," 25153"," 14259"," 13146"," 14188"," 15914"
"2014F","CO","ARTXP"," 1617"," 1535"," 1554"," 1641"," 1567"," 1423"," 1647"," 1753"," 2430"," 2764"," 3220"," 2973"," 3087"," 3406"," 2666"," 2231"," 2541"," 2628"," 2222"," 2754"," 2284"," 1829"," 1620"," 1880"," 3089"," 3103"," 3091"," 3110"," 3552"," 2928"," 3257"," 3107"," 3190"," 3413"," 4188"," 3720"," 3904"," 2574"," 4749"," 2137"," 3870"," 2566"," 1219"," 4925"," 3865"," 2644"," 2640"," 3310"," 2092"," 2746"," 3790"," 2149"," 1981"," 2138"," 2398"
"2014F","CO","AVACB"," 5681"," 4023"," 7356"," 6739"," 6881"," 5606"," 5044"," 3363"," 2394"," 1759"," 1701"," 1602"," 1637"," 1687"," 1638"," 1348"," 1325"," 1451"," 1499"," 1360"," 1338"," 1297"," 950"," 904"," 723"," 714"," 887"," 770"," 841"," 913"," 841"," 781"," 686"," 625"," 644"," 624"," 625"," 720"," 726"," 984"," 790"," 1365"," 799"," 698"," 612"," 655"," 773"," 518"," 492"," 418"," 581"," 644"," 442"," 459"," 415"
"2014F","CO","AVACP"," 1125"," 797"," 1457"," 1335"," 1363"," 1111"," 999"," 666"," 474"," 349"," 337"," 317"," 324"," 334"," 324"," 267"," 262"," 287"," 297"," 270"," 265"," 257"," 188"," 179"," 143"," 142"," 176"," 153"," 167"," 181"," 167"," 155"," 136"," 124"," 128"," 124"," 124"," 143"," 144"," 195"," 156"," 270"," 158"," 138"," 121"," 130"," 153"," 103"," 97"," 83"," 115"," 128"," 88"," 91"," 82"
"2014F","CO","AVTCB"," 5681"," 4023"," 7356"," 6739"," 6881"," 5606"," 5044"," 3363"," 2394"," 1759"," 1701"," 1602"," 1637"," 1687"," 1638"," 1348"," 1325"," 1451"," 1499"," 1360"," 1338"," 1297"," 950"," 904"," 723"," 714"," 887"," 770"," 841"," 913"," 841"," 781"," 686"," 625"," 644"," 624"," 625"," 720"," 726"," 984"," 790"," 1365"," 799"," 698"," 612"," 655"," 773"," 518"," 492"," 418"," 581"," 644"," 442"," 459"," 415"
"2014F","CO","AVTCP"," 1125"," 797"," 1457"," 1335"," 1363"," 1111"," 999"," 666"," 474"," 349"," 337"," 317"," 324"," 334"," 324"," 267"," 262"," 287"," 297"," 270"," 265"," 257"," 188"," 179"," 143"," 142"," 176"," 153"," 167"," 181"," 167"," 155"," 136"," 124"," 128"," 124"," 124"," 143"," 144"," 195"," 156"," 270"," 158"," 138"," 121"," 130"," 153"," 103"," 97"," 83"," 115"," 128"," 88"," 91"," 82"
