"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","CT","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CT","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","CT","ARICB"," 7220"," 6455"," 8002"," 6674"," 5944"," 8802"," 7903"," 7016"," 8038"," 8494"," 6760"," 8119"," 9674"," 10416"," 7293"," 8374"," 7426"," 6074"," 7552"," 5615"," 4179"," 5202"," 5212"," 4893"," 6201"," 13902"," 14096"," 14194"," 12298"," 11924"," 10521"," 13116"," 11137"," 10467"," 11125"," 12679"," 10430"," 8078"," 3666"," 4420"," 4456"," 4665"," 4490"," 11025"," 11619"," 13822"," 11060"," 6502"," 430"," 12290"," 12337"," 10870"," 8955"," 11061"," 10486"
"2014F","CT","ARICP"," 1088"," 973"," 1206"," 1006"," 896"," 1326"," 1191"," 1057"," 1211"," 1280"," 1019"," 1223"," 1458"," 1570"," 1099"," 1262"," 1119"," 915"," 1138"," 846"," 630"," 784"," 785"," 737"," 934"," 2095"," 2124"," 2139"," 1853"," 1797"," 1585"," 1976"," 1678"," 1577"," 1676"," 1911"," 1572"," 1217"," 552"," 666"," 671"," 703"," 677"," 1661"," 1751"," 2083"," 1667"," 980"," 65"," 1852"," 1859"," 1638"," 1349"," 1667"," 1580"
"2014F","CT","ARTCB"," 7220"," 6455"," 8002"," 6674"," 5944"," 8802"," 7903"," 7016"," 8038"," 8494"," 6760"," 8119"," 9674"," 10416"," 7293"," 8374"," 7426"," 6074"," 7552"," 5615"," 4179"," 5202"," 5212"," 4893"," 6201"," 13902"," 14096"," 14194"," 12298"," 11924"," 10521"," 13116"," 11137"," 10467"," 11125"," 12679"," 10430"," 8078"," 3666"," 4420"," 4456"," 4665"," 4490"," 11025"," 11619"," 13822"," 11060"," 6502"," 430"," 12290"," 12337"," 10870"," 8955"," 11061"," 10486"
"2014F","CT","ARTCP"," 1088"," 973"," 1206"," 1006"," 896"," 1326"," 1191"," 1057"," 1211"," 1280"," 1019"," 1223"," 1458"," 1570"," 1099"," 1262"," 1119"," 915"," 1138"," 846"," 630"," 784"," 785"," 737"," 934"," 2095"," 2124"," 2139"," 1853"," 1797"," 1585"," 1976"," 1678"," 1577"," 1676"," 1911"," 1572"," 1217"," 552"," 666"," 671"," 703"," 677"," 1661"," 1751"," 2083"," 1667"," 980"," 65"," 1852"," 1859"," 1638"," 1349"," 1667"," 1580"
"2014F","CT","ARTXB"," 7220"," 6455"," 8002"," 6674"," 5944"," 8802"," 7903"," 7016"," 8038"," 8494"," 6760"," 8119"," 9674"," 10416"," 7293"," 8374"," 7426"," 6074"," 7552"," 5615"," 4179"," 5202"," 5212"," 4893"," 6201"," 13902"," 14096"," 14194"," 12298"," 11924"," 10521"," 13116"," 11137"," 10467"," 11125"," 12679"," 10430"," 8078"," 3666"," 4420"," 4456"," 4665"," 4490"," 11025"," 11619"," 13822"," 11060"," 6502"," 430"," 12290"," 12337"," 10870"," 8955"," 11061"," 10486"
"2014F","CT","ARTXP"," 1088"," 973"," 1206"," 1006"," 896"," 1326"," 1191"," 1057"," 1211"," 1280"," 1019"," 1223"," 1458"," 1570"," 1099"," 1262"," 1119"," 915"," 1138"," 846"," 630"," 784"," 785"," 737"," 934"," 2095"," 2124"," 2139"," 1853"," 1797"," 1585"," 1976"," 1678"," 1577"," 1676"," 1911"," 1572"," 1217"," 552"," 666"," 671"," 703"," 677"," 1661"," 1751"," 2083"," 1667"," 980"," 65"," 1852"," 1859"," 1638"," 1349"," 1667"," 1580"
"2014F","CT","AVACB"," 527"," 521"," 628"," 868"," 840"," 867"," 831"," 681"," 768"," 708"," 628"," 561"," 564"," 569"," 539"," 455"," 399"," 559"," 506"," 438"," 449"," 391"," 303"," 335"," 316"," 357"," 363"," 278"," 243"," 203"," 474"," 143"," 142"," 151"," 140"," 206"," 187"," 115"," 261"," 163"," 150"," 392"," 261"," 228"," 300"," 944"," 643"," 637"," 494"," 700"," 444"," 417"," 389"," 330"," 133"
"2014F","CT","AVACP"," 104"," 103"," 124"," 172"," 166"," 172"," 165"," 135"," 152"," 140"," 124"," 111"," 112"," 113"," 107"," 90"," 79"," 111"," 100"," 87"," 89"," 77"," 60"," 66"," 63"," 71"," 72"," 55"," 48"," 40"," 94"," 28"," 28"," 30"," 28"," 41"," 37"," 23"," 52"," 32"," 30"," 78"," 52"," 45"," 59"," 187"," 127"," 126"," 98"," 139"," 88"," 83"," 77"," 65"," 26"
"2014F","CT","AVTCB"," 527"," 521"," 628"," 868"," 840"," 867"," 831"," 681"," 768"," 708"," 628"," 561"," 564"," 569"," 539"," 455"," 399"," 559"," 506"," 438"," 449"," 391"," 303"," 335"," 316"," 357"," 363"," 278"," 243"," 203"," 474"," 143"," 142"," 151"," 140"," 206"," 187"," 115"," 261"," 163"," 150"," 392"," 261"," 228"," 300"," 944"," 643"," 637"," 494"," 700"," 444"," 417"," 389"," 330"," 133"
