"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","FL","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","FL","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","FL","ARICB"," 21924"," 20133"," 20861"," 23116"," 24347"," 23263"," 26659"," 27623"," 26965"," 27312"," 27048"," 32636"," 33940"," 38984"," 38980"," 24280"," 22857"," 29155"," 33145"," 32246"," 29775"," 33275"," 33228"," 37984"," 46134"," 44237"," 54680"," 50321"," 52630"," 43009"," 45148"," 48510"," 46006"," 55359"," 48467"," 43998"," 39286"," 23340"," 25391"," 24364"," 26697"," 35533"," 37485"," 33275"," 44488"," 39224"," 50899"," 48821"," 43322"," 32481"," 29382"," 27344"," 25747"," 23091"," 25576"
"2014F","FL","ARICP"," 3304"," 3034"," 3144"," 3483"," 3669"," 3506"," 4017"," 4163"," 4063"," 4116"," 4076"," 4918"," 5114"," 5875"," 5874"," 3659"," 3444"," 4393"," 4995"," 4859"," 4487"," 5014"," 5007"," 5724"," 6952"," 6666"," 8240"," 7583"," 7931"," 6481"," 6804"," 7310"," 6933"," 8342"," 7304"," 6630"," 5920"," 3517"," 3826"," 3672"," 4023"," 5355"," 5649"," 5014"," 6704"," 5911"," 7670"," 7357"," 6528"," 4895"," 4428"," 4121"," 3880"," 3480"," 3854"
"2014F","FL","ARTCB"," 21924"," 20133"," 20861"," 23116"," 24347"," 23263"," 26659"," 27623"," 26965"," 27312"," 27048"," 32636"," 33940"," 38984"," 38980"," 24280"," 22857"," 29155"," 33145"," 32246"," 29775"," 33275"," 33228"," 37984"," 46134"," 44237"," 54680"," 50321"," 52630"," 43009"," 45148"," 48510"," 46006"," 55359"," 48467"," 43998"," 39286"," 23340"," 25391"," 24364"," 26697"," 35533"," 37485"," 33275"," 44488"," 39224"," 50899"," 48821"," 43322"," 32481"," 29382"," 27344"," 25747"," 23091"," 25576"
"2014F","FL","ARTCP"," 3304"," 3034"," 3144"," 3483"," 3669"," 3506"," 4017"," 4163"," 4063"," 4116"," 4076"," 4918"," 5114"," 5875"," 5874"," 3659"," 3444"," 4393"," 4995"," 4859"," 4487"," 5014"," 5007"," 5724"," 6952"," 6666"," 8240"," 7583"," 7931"," 6481"," 6804"," 7310"," 6933"," 8342"," 7304"," 6630"," 5920"," 3517"," 3826"," 3672"," 4023"," 5355"," 5649"," 5014"," 6704"," 5911"," 7670"," 7357"," 6528"," 4895"," 4428"," 4121"," 3880"," 3480"," 3854"
"2014F","FL","ARTXB"," 21924"," 20133"," 20861"," 23116"," 24347"," 23263"," 26659"," 27623"," 26965"," 27312"," 27048"," 32636"," 33940"," 38984"," 38980"," 24280"," 22857"," 29155"," 33145"," 32246"," 29775"," 33275"," 33228"," 37984"," 46134"," 44237"," 54680"," 50321"," 52630"," 43009"," 45148"," 48510"," 46006"," 55359"," 48467"," 43998"," 39286"," 23340"," 25391"," 24364"," 26697"," 35533"," 37485"," 33275"," 44488"," 39224"," 50899"," 48821"," 43322"," 32481"," 29382"," 27344"," 25747"," 23091"," 25576"
"2014F","FL","ARTXP"," 3304"," 3034"," 3144"," 3483"," 3669"," 3506"," 4017"," 4163"," 4063"," 4116"," 4076"," 4918"," 5114"," 5875"," 5874"," 3659"," 3444"," 4393"," 4995"," 4859"," 4487"," 5014"," 5007"," 5724"," 6952"," 6666"," 8240"," 7583"," 7931"," 6481"," 6804"," 7310"," 6933"," 8342"," 7304"," 6630"," 5920"," 3517"," 3826"," 3672"," 4023"," 5355"," 5649"," 5014"," 6704"," 5911"," 7670"," 7357"," 6528"," 4895"," 4428"," 4121"," 3880"," 3480"," 3854"
"2014F","FL","AVACB"," 22801"," 19816"," 27555"," 28170"," 23808"," 21569"," 19363"," 18171"," 17264"," 13163"," 15841"," 13111"," 10565"," 10253"," 10688"," 9699"," 8506"," 7444"," 7622"," 6414"," 6761"," 5745"," 4447"," 4452"," 3553"," 4246"," 5165"," 3929"," 4453"," 4928"," 4081"," 3595"," 2994"," 2659"," 2656"," 3023"," 2620"," 2860"," 2174"," 2984"," 3087"," 2438"," 2484"," 2011"," 1986"," 2235"," 2109"," 1868"," 1897"," 1469"," 2042"," 2283"," 2255"," 2300"," 2190"
"2014F","FL","AVACP"," 4517"," 3926"," 5459"," 5580"," 4716"," 4273"," 3836"," 3600"," 3420"," 2608"," 3138"," 2597"," 2093"," 2031"," 2117"," 1921"," 1685"," 1475"," 1510"," 1271"," 1339"," 1138"," 881"," 882"," 704"," 841"," 1023"," 778"," 882"," 976"," 808"," 712"," 593"," 527"," 526"," 599"," 519"," 567"," 431"," 591"," 612"," 483"," 492"," 398"," 393"," 443"," 418"," 370"," 376"," 291"," 404"," 452"," 447"," 456"," 434"
