"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","GA","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 9"," 9"," 1"," 0"," 9"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 2"," 3"," 3"," 1"," 8"," 1"," 2"," 2"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","-1"," 0"
"2014F","GA","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 2"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","GA","ARICB"," 16468"," 19646"," 29874"," 30215"," 26415"," 26592"," 25910"," 26874"," 25701"," 22039"," 25985"," 26555"," 30107"," 32351"," 30373"," 27855"," 29574"," 35378"," 41256"," 34183"," 31820"," 24932"," 26061"," 34702"," 37420"," 30393"," 37431"," 39660"," 40136"," 32901"," 42459"," 34451"," 32496"," 35332"," 34848"," 36671"," 36020"," 32447"," 36477"," 49295"," 37447"," 39444"," 37339"," 35913"," 43956"," 42612"," 44366"," 44422"," 33034"," 30494"," 26982"," 21183"," 17445"," 14327"," 10231"
"2014F","GA","ARICP"," 2482"," 2961"," 4502"," 4553"," 3980"," 4007"," 3904"," 4050"," 3873"," 3321"," 3916"," 4002"," 4537"," 4875"," 4577"," 4198"," 4457"," 5331"," 6217"," 5151"," 4795"," 3757"," 3927"," 5229"," 5639"," 4580"," 5641"," 5977"," 6048"," 4958"," 6398"," 5192"," 4897"," 5324"," 5251"," 5526"," 5428"," 4890"," 5497"," 7428"," 5643"," 5944"," 5627"," 5412"," 6624"," 6421"," 6686"," 6694"," 4978"," 4595"," 4066"," 3192"," 2629"," 2159"," 1542"
"2014F","GA","ARTCB"," 16468"," 19646"," 29874"," 30215"," 26415"," 26592"," 25910"," 26874"," 25701"," 22039"," 25985"," 26555"," 30107"," 32351"," 30373"," 27855"," 29574"," 35378"," 41256"," 34183"," 31820"," 24932"," 26061"," 34702"," 37420"," 30393"," 37431"," 39660"," 40136"," 32901"," 42459"," 34451"," 32496"," 35332"," 34848"," 36671"," 36020"," 32447"," 36477"," 49295"," 37447"," 39444"," 37339"," 35913"," 43956"," 42612"," 44366"," 44422"," 33034"," 30494"," 26982"," 21183"," 17445"," 14327"," 10231"
"2014F","GA","ARTCP"," 2482"," 2961"," 4502"," 4553"," 3980"," 4007"," 3904"," 4050"," 3873"," 3321"," 3916"," 4002"," 4537"," 4875"," 4577"," 4198"," 4457"," 5331"," 6217"," 5151"," 4795"," 3757"," 3927"," 5229"," 5639"," 4580"," 5641"," 5977"," 6048"," 4958"," 6398"," 5192"," 4897"," 5324"," 5251"," 5526"," 5428"," 4890"," 5497"," 7428"," 5643"," 5944"," 5627"," 5412"," 6624"," 6421"," 6686"," 6694"," 4978"," 4595"," 4066"," 3192"," 2629"," 2159"," 1542"
"2014F","GA","ARTXB"," 16468"," 19646"," 29874"," 30215"," 26415"," 26592"," 25910"," 26874"," 25701"," 22039"," 25985"," 26555"," 30107"," 32351"," 30373"," 27855"," 29574"," 35378"," 41256"," 34183"," 31820"," 24932"," 26061"," 34702"," 37420"," 30393"," 37431"," 39660"," 40136"," 32901"," 42459"," 34451"," 32496"," 35332"," 34848"," 36671"," 36020"," 32447"," 36477"," 49295"," 37447"," 39444"," 37339"," 35913"," 43956"," 42612"," 44366"," 44422"," 33034"," 30494"," 26982"," 21183"," 17445"," 14327"," 10231"
"2014F","GA","ARTXP"," 2482"," 2961"," 4502"," 4553"," 3980"," 4007"," 3904"," 4050"," 3873"," 3321"," 3916"," 4002"," 4537"," 4875"," 4577"," 4198"," 4457"," 5331"," 6217"," 5151"," 4795"," 3757"," 3927"," 5229"," 5639"," 4580"," 5641"," 5977"," 6048"," 4958"," 6398"," 5192"," 4897"," 5324"," 5251"," 5526"," 5428"," 4890"," 5497"," 7428"," 5643"," 5944"," 5627"," 5412"," 6624"," 6421"," 6686"," 6694"," 4978"," 4595"," 4066"," 3192"," 2629"," 2159"," 1542"
"2014F","GA","AVACB"," 1324"," 1117"," 2142"," 2494"," 2326"," 4686"," 4581"," 5078"," 4545"," 3188"," 3028"," 3201"," 2638"," 2469"," 2312"," 2016"," 1953"," 1997"," 2001"," 1902"," 1948"," 1664"," 1233"," 1112"," 1106"," 1072"," 1278"," 1102"," 1144"," 1060"," 989"," 917"," 838"," 844"," 809"," 790"," 847"," 793"," 695"," 753"," 537"," 467"," 577"," 708"," 1055"," 1124"," 929"," 819"," 508"," 473"," 720"," 609"," 754"," 587"," 706"
"2014F","GA","AVACP"," 262"," 221"," 424"," 494"," 461"," 928"," 908"," 1006"," 900"," 632"," 600"," 634"," 522"," 489"," 458"," 399"," 387"," 396"," 396"," 377"," 386"," 330"," 244"," 220"," 219"," 212"," 253"," 218"," 227"," 210"," 196"," 182"," 166"," 167"," 160"," 156"," 168"," 157"," 138"," 149"," 106"," 92"," 114"," 140"," 209"," 223"," 184"," 162"," 101"," 94"," 143"," 121"," 149"," 116"," 140"
