"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","HI","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 15"," 16"," 2"," 0"," 13"," 4"," 0","-9"," 1"," 2","-1"," 2"," 1"," 60"," 52"," 68"," 86"," 37"," 58"," 34"," 55"," 67"," 66"," 92"," 75"," 6"," 15"," 1","-7","-2"," 0"," 0","-3","-1"
"2014F","HI","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 3"," 0"," 0"," 3"," 1"," 0","-2"," 0"," 0"," 0"," 0"," 0"," 12"," 10"," 13"," 17"," 7"," 11"," 7"," 11"," 13"," 13"," 18"," 15"," 1"," 3"," 0","-1"," 0"," 0"," 0","-1"," 0"
"2014F","HI","ARICB"," 193"," 1394"," 1215"," 1124"," 1464"," 2033"," 1722"," 1402"," 1727"," 1843"," 2503"," 1913"," 2156"," 2202"," 1703"," 2513"," 2656"," 2200"," 1937"," 1753"," 1892"," 1243"," 1140"," 1720"," 1359"," 2045"," 1808"," 2636"," 2332"," 1966"," 2530"," 2543"," 2858"," 2946"," 2699"," 2907"," 2663"," 2630"," 2138"," 2340"," 4009"," 2271"," 710"," 732"," 799"," 1319"," 21"," 19"," 16"," 4545"," 5127"," 4659"," 2927"," 4781"," 4495"
"2014F","HI","ARICP"," 29"," 210"," 183"," 169"," 221"," 306"," 259"," 211"," 260"," 278"," 377"," 288"," 325"," 332"," 257"," 379"," 400"," 332"," 292"," 264"," 285"," 187"," 172"," 259"," 205"," 308"," 272"," 397"," 351"," 296"," 381"," 383"," 431"," 444"," 407"," 438"," 401"," 396"," 322"," 353"," 604"," 342"," 107"," 110"," 120"," 199"," 3"," 3"," 2"," 685"," 773"," 702"," 441"," 721"," 677"
"2014F","HI","ARTCB"," 193"," 1394"," 1215"," 1124"," 1464"," 2033"," 1722"," 1402"," 1727"," 1843"," 2503"," 1913"," 2156"," 2202"," 1703"," 2513"," 2656"," 2200"," 1937"," 1753"," 1892"," 1243"," 1140"," 1720"," 1359"," 2045"," 1808"," 2636"," 2332"," 1966"," 2530"," 2543"," 2858"," 2946"," 2699"," 2907"," 2663"," 2630"," 2138"," 2340"," 4009"," 2271"," 710"," 732"," 799"," 1319"," 21"," 19"," 16"," 4545"," 5127"," 4659"," 2927"," 4781"," 4495"
"2014F","HI","ARTCP"," 29"," 210"," 183"," 169"," 221"," 306"," 259"," 211"," 260"," 278"," 377"," 288"," 325"," 332"," 257"," 379"," 400"," 332"," 292"," 264"," 285"," 187"," 172"," 259"," 205"," 308"," 272"," 397"," 351"," 296"," 381"," 383"," 431"," 444"," 407"," 438"," 401"," 396"," 322"," 353"," 604"," 342"," 107"," 110"," 120"," 199"," 3"," 3"," 2"," 685"," 773"," 702"," 441"," 721"," 677"
"2014F","HI","ARTXB"," 193"," 1394"," 1215"," 1124"," 1464"," 2033"," 1722"," 1402"," 1727"," 1843"," 2503"," 1913"," 2156"," 2202"," 1703"," 2513"," 2656"," 2200"," 1937"," 1753"," 1892"," 1243"," 1140"," 1720"," 1359"," 2045"," 1808"," 2636"," 2332"," 1966"," 2530"," 2543"," 2858"," 2946"," 2699"," 2907"," 2663"," 2630"," 2138"," 2340"," 4009"," 2271"," 710"," 732"," 799"," 1319"," 21"," 19"," 16"," 4545"," 5127"," 4659"," 2927"," 4781"," 4495"
"2014F","HI","ARTXP"," 29"," 210"," 183"," 169"," 221"," 306"," 259"," 211"," 260"," 278"," 377"," 288"," 325"," 332"," 257"," 379"," 400"," 332"," 292"," 264"," 285"," 187"," 172"," 259"," 205"," 308"," 272"," 397"," 351"," 296"," 381"," 383"," 431"," 444"," 407"," 438"," 401"," 396"," 322"," 353"," 604"," 342"," 107"," 110"," 120"," 199"," 3"," 3"," 2"," 685"," 773"," 702"," 441"," 721"," 677"
"2014F","HI","AVACB"," 13326"," 15489"," 9351"," 5554"," 2721"," 3094"," 4485"," 2353"," 1203"," 817"," 672"," 709"," 722"," 666"," 622"," 583"," 655"," 743"," 710"," 770"," 1004"," 921"," 691"," 787"," 735"," 784"," 1408"," 1259"," 1420"," 1449"," 1375"," 1320"," 1229"," 1002"," 1061"," 1100"," 833"," 609"," 540"," 294"," 226"," 244"," 89"," 77"," 197"," 224"," 208"," 206"," 140"," 149"," 188"," 176"," 155"," 136"," 141"
"2014F","HI","AVACP"," 2640"," 3068"," 1852"," 1100"," 539"," 613"," 889"," 466"," 238"," 162"," 133"," 141"," 143"," 132"," 123"," 116"," 130"," 147"," 141"," 152"," 199"," 183"," 137"," 156"," 146"," 155"," 279"," 249"," 281"," 287"," 272"," 261"," 243"," 198"," 210"," 218"," 165"," 121"," 107"," 58"," 45"," 48"," 18"," 15"," 39"," 44"," 41"," 41"," 28"," 30"," 37"," 35"," 31"," 27"," 28"
"2014F","HI","AVTCB"," 13326"," 15489"," 9351"," 5554"," 2721"," 3094"," 4485"," 2353"," 1203"," 817"," 672"," 709"," 722"," 666"," 622"," 583"," 655"," 743"," 710"," 770"," 1004"," 921"," 691"," 787"," 735"," 784"," 1408"," 1259"," 1420"," 1449"," 1375"," 1320"," 1229"," 1002"," 1061"," 1100"," 833"," 609"," 540"," 294"," 226"," 244"," 89"," 77"," 197"," 224"," 208"," 206"," 140"," 149"," 188"," 176"," 155"," 136"," 141"
"2014F","HI","AVTCP"," 2640"," 3068"," 1852"," 1100"," 539"," 613"," 889"," 466"," 238"," 162"," 133"," 141"," 143"," 132"," 123"," 116"," 130"," 147"," 141"," 152"," 199"," 183"," 137"," 156"," 146"," 155"," 279"," 249"," 281"," 287"," 272"," 261"," 243"," 198"," 210"," 218"," 165"," 121"," 107"," 58"," 45"," 48"," 18"," 15"," 39"," 44"," 41"," 41"," 28"," 30"," 37"," 35"," 31"," 27"," 28"
"2014F","HI","AVTXB"," 13326"," 15489"," 9351"," 5554"," 2721"," 3094"," 4485"," 2353"," 1203"," 817"," 672"," 709"," 722"," 666"," 622"," 583"," 655"," 743"," 710"," 770"," 1004"," 921"," 691"," 787"," 735"," 784"," 1408"," 1259"," 1420"," 1449"," 1375"," 1320"," 1229"," 1002"," 1061"," 1100"," 833"," 609"," 540"," 294"," 226"," 244"," 89"," 77"," 197"," 224"," 208"," 206"," 140"," 149"," 188"," 176"," 155"," 136"," 141"
"2014F","HI","AVTXP"," 2640"," 3068"," 1852"," 1100"," 539"," 613"," 889"," 466"," 238"," 162"," 133"," 141"," 143"," 132"," 123"," 116"," 130"," 147"," 141"," 152"," 199"," 183"," 137"," 156"," 146"," 155"," 279"," 249"," 281"," 287"," 272"," 261"," 243"," 198"," 210"," 218"," 165"," 121"," 107"," 58"," 45"," 48"," 18"," 15"," 39"," 44"," 41"," 41"," 28"," 30"," 37"," 35"," 31"," 27"," 28"
"2014F","HI","BMTCB"," 0"," 0"," 0"," 206"," 224"," 172"," 144"," 258"," 678"," 729"," 429"," 347"," 550"," 543"," 591"," 569"," 701"," 460"," 275"," 327"," 11910"," 12745"," 12440"," 14035"," 14301"," 14217"," 16314"," 17846"," 19426"," 26984"," 25924"," 25446"," 24901"," 24388"," 20724"," 19803"," 19066"," 17433"," 16548"," 16981"," 15194"," 7947"," 7480"," 9305"," 9336"," 9565"," 9875"," 9693"," 11795"," 12225"," 10448"," 10550"," 9604"," 11179"," 10950"
"2014F","HI","CLACB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
