"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","IA","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","IA","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","IA","ARICB"," 17112"," 16925"," 16740"," 15406"," 16765"," 17045"," 17507"," 16701"," 16808"," 18042"," 19340"," 20707"," 19711"," 17305"," 17034"," 15225"," 16183"," 16945"," 18864"," 20930"," 11274"," 13088"," 12705"," 10637"," 12218"," 13427"," 13521"," 11868"," 14688"," 11346"," 10197"," 10374"," 9328"," 8986"," 13034"," 10857"," 13620"," 17407"," 14316"," 19524"," 16396"," 12780"," 15945"," 15280"," 20041"," 21202"," 17273"," 13787"," 13808"," 12181"," 8452"," 8186"," 10249"," 9681"," 8810"
"2014F","IA","ARICP"," 2579"," 2551"," 2523"," 2322"," 2526"," 2569"," 2638"," 2517"," 2533"," 2719"," 2914"," 3120"," 2970"," 2608"," 2567"," 2294"," 2439"," 2553"," 2843"," 3154"," 1699"," 1972"," 1915"," 1603"," 1841"," 2023"," 2038"," 1788"," 2213"," 1710"," 1537"," 1563"," 1406"," 1354"," 1964"," 1636"," 2052"," 2623"," 2157"," 2942"," 2471"," 1926"," 2403"," 2303"," 3020"," 3195"," 2603"," 2078"," 2081"," 1836"," 1274"," 1234"," 1545"," 1459"," 1328"
"2014F","IA","ARTCB"," 17112"," 16925"," 16740"," 15406"," 16765"," 17045"," 17507"," 16701"," 16808"," 18042"," 19340"," 20707"," 19711"," 17305"," 17034"," 15225"," 16183"," 16945"," 18864"," 20930"," 11274"," 13088"," 12705"," 10637"," 12218"," 13427"," 13521"," 11868"," 14688"," 11346"," 10197"," 10374"," 9328"," 8986"," 13034"," 10857"," 13620"," 17407"," 14316"," 19524"," 16396"," 12780"," 15945"," 15280"," 20041"," 21202"," 17273"," 13787"," 13808"," 12181"," 8452"," 8186"," 10249"," 9681"," 8810"
"2014F","IA","ARTCP"," 2579"," 2551"," 2523"," 2322"," 2526"," 2569"," 2638"," 2517"," 2533"," 2719"," 2914"," 3120"," 2970"," 2608"," 2567"," 2294"," 2439"," 2553"," 2843"," 3154"," 1699"," 1972"," 1915"," 1603"," 1841"," 2023"," 2038"," 1788"," 2213"," 1710"," 1537"," 1563"," 1406"," 1354"," 1964"," 1636"," 2052"," 2623"," 2157"," 2942"," 2471"," 1926"," 2403"," 2303"," 3020"," 3195"," 2603"," 2078"," 2081"," 1836"," 1274"," 1234"," 1545"," 1459"," 1328"
"2014F","IA","ARTXB"," 17112"," 16925"," 16740"," 15406"," 16765"," 17045"," 17507"," 16701"," 16808"," 18042"," 19340"," 20707"," 19711"," 17305"," 17034"," 15225"," 16183"," 16945"," 18864"," 20930"," 11274"," 13088"," 12705"," 10637"," 12218"," 13427"," 13521"," 11868"," 14688"," 11346"," 10197"," 10374"," 9328"," 8986"," 13034"," 10857"," 13620"," 17407"," 14316"," 19524"," 16396"," 12780"," 15945"," 15280"," 20041"," 21202"," 17273"," 13787"," 13808"," 12181"," 8452"," 8186"," 10249"," 9681"," 8810"
"2014F","IA","ARTXP"," 2579"," 2551"," 2523"," 2322"," 2526"," 2569"," 2638"," 2517"," 2533"," 2719"," 2914"," 3120"," 2970"," 2608"," 2567"," 2294"," 2439"," 2553"," 2843"," 3154"," 1699"," 1972"," 1915"," 1603"," 1841"," 2023"," 2038"," 1788"," 2213"," 1710"," 1537"," 1563"," 1406"," 1354"," 1964"," 1636"," 2052"," 2623"," 2157"," 2942"," 2471"," 1926"," 2403"," 2303"," 3020"," 3195"," 2603"," 2078"," 2081"," 1836"," 1274"," 1234"," 1545"," 1459"," 1328"
"2014F","IA","AVACB"," 1846"," 1134"," 1656"," 1592"," 1807"," 1807"," 2376"," 1869"," 1489"," 1367"," 1290"," 1316"," 1206"," 494"," 1170"," 965"," 1039"," 1032"," 1079"," 962"," 927"," 815"," 563"," 553"," 448"," 419"," 764"," 554"," 734"," 560"," 501"," 415"," 378"," 352"," 349"," 362"," 361"," 395"," 365"," 406"," 396"," 289"," 549"," 480"," 437"," 699"," 261"," 226"," 388"," 465"," 353"," 331"," 294"," 243"," 252"
"2014F","IA","AVACP"," 366"," 225"," 328"," 315"," 358"," 358"," 471"," 370"," 295"," 271"," 256"," 261"," 239"," 98"," 232"," 191"," 206"," 204"," 214"," 191"," 184"," 161"," 111"," 109"," 89"," 83"," 151"," 110"," 145"," 111"," 99"," 82"," 75"," 70"," 69"," 72"," 71"," 78"," 72"," 81"," 78"," 57"," 109"," 95"," 87"," 139"," 52"," 45"," 77"," 92"," 70"," 66"," 58"," 48"," 50"
