"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","ID","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ID","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ID","ARICB"," 3260"," 3287"," 5739"," 4167"," 3560"," 4715"," 4516"," 4250"," 4598"," 8056"," 7614"," 6885"," 8150"," 7377"," 6213"," 5843"," 5753"," 5909"," 6337"," 5528"," 5287"," 3566"," 3583"," 4391"," 3148"," 4192"," 3609"," 3314"," 2665"," 5514"," 8503"," 6556"," 9723"," 10176"," 11933"," 13364"," 13499"," 13803"," 20234"," 20251"," 20446"," 12270"," 17560"," 4999"," 11539"," 11422"," 13453"," 10208"," 13315"," 8161"," 8182"," 7663"," 7138"," 6343"," 6423"
"2014F","ID","ARICP"," 491"," 495"," 865"," 628"," 537"," 710"," 681"," 640"," 693"," 1214"," 1147"," 1038"," 1228"," 1112"," 936"," 880"," 867"," 890"," 955"," 833"," 797"," 537"," 540"," 662"," 474"," 632"," 544"," 499"," 402"," 831"," 1281"," 988"," 1465"," 1533"," 1798"," 2014"," 2034"," 2080"," 3049"," 3052"," 3081"," 1849"," 2646"," 753"," 1739"," 1721"," 2027"," 1538"," 2006"," 1230"," 1233"," 1155"," 1076"," 956"," 968"
"2014F","ID","ARTCB"," 3260"," 3287"," 5739"," 4167"," 3560"," 4715"," 4516"," 4250"," 4598"," 8056"," 7614"," 6885"," 8150"," 7377"," 6213"," 5843"," 5753"," 5909"," 6337"," 5528"," 5287"," 3566"," 3583"," 4391"," 3148"," 4192"," 3609"," 3314"," 2665"," 5514"," 8503"," 6556"," 9723"," 10176"," 11933"," 13364"," 13499"," 13803"," 20234"," 20251"," 20446"," 12270"," 17560"," 4999"," 11539"," 11422"," 13453"," 10208"," 13315"," 8161"," 8182"," 7663"," 7138"," 6343"," 6423"
"2014F","ID","ARTCP"," 491"," 495"," 865"," 628"," 537"," 710"," 681"," 640"," 693"," 1214"," 1147"," 1038"," 1228"," 1112"," 936"," 880"," 867"," 890"," 955"," 833"," 797"," 537"," 540"," 662"," 474"," 632"," 544"," 499"," 402"," 831"," 1281"," 988"," 1465"," 1533"," 1798"," 2014"," 2034"," 2080"," 3049"," 3052"," 3081"," 1849"," 2646"," 753"," 1739"," 1721"," 2027"," 1538"," 2006"," 1230"," 1233"," 1155"," 1076"," 956"," 968"
"2014F","ID","ARTXB"," 3260"," 3287"," 5739"," 4167"," 3560"," 4715"," 4516"," 4250"," 4598"," 8056"," 7614"," 6885"," 8150"," 7377"," 6213"," 5843"," 5753"," 5909"," 6337"," 5528"," 5287"," 3566"," 3583"," 4391"," 3148"," 4192"," 3609"," 3314"," 2665"," 5514"," 8503"," 6556"," 9723"," 10176"," 11933"," 13364"," 13499"," 13803"," 20234"," 20251"," 20446"," 12270"," 17560"," 4999"," 11539"," 11422"," 13453"," 10208"," 13315"," 8161"," 8182"," 7663"," 7138"," 6343"," 6423"
"2014F","ID","ARTXP"," 491"," 495"," 865"," 628"," 537"," 710"," 681"," 640"," 693"," 1214"," 1147"," 1038"," 1228"," 1112"," 936"," 880"," 867"," 890"," 955"," 833"," 797"," 537"," 540"," 662"," 474"," 632"," 544"," 499"," 402"," 831"," 1281"," 988"," 1465"," 1533"," 1798"," 2014"," 2034"," 2080"," 3049"," 3052"," 3081"," 1849"," 2646"," 753"," 1739"," 1721"," 2027"," 1538"," 2006"," 1230"," 1233"," 1155"," 1076"," 956"," 968"
"2014F","ID","AVACB"," 672"," 627"," 1064"," 1178"," 1217"," 892"," 878"," 866"," 760"," 765"," 780"," 724"," 768"," 814"," 765"," 604"," 660"," 672"," 821"," 784"," 818"," 611"," 421"," 371"," 279"," 402"," 439"," 384"," 262"," 278"," 199"," 199"," 3"," 316"," 275"," 241"," 277"," 364"," 310"," 337"," 138"," 285"," 340"," 288"," 443"," 391"," 388"," 384"," 191"," 371"," 377"," 353"," 326"," 290"," 319"
"2014F","ID","AVACP"," 133"," 124"," 211"," 233"," 241"," 177"," 174"," 172"," 151"," 151"," 154"," 143"," 152"," 161"," 152"," 120"," 131"," 133"," 163"," 155"," 162"," 121"," 83"," 73"," 55"," 80"," 87"," 76"," 52"," 55"," 39"," 39"," 1"," 63"," 54"," 48"," 55"," 72"," 61"," 67"," 27"," 56"," 67"," 57"," 88"," 78"," 77"," 76"," 38"," 73"," 75"," 70"," 65"," 57"," 63"
"2014F","ID","AVTCB"," 672"," 627"," 1064"," 1178"," 1217"," 892"," 878"," 866"," 760"," 765"," 780"," 724"," 768"," 814"," 765"," 604"," 660"," 672"," 821"," 784"," 818"," 611"," 421"," 371"," 279"," 402"," 439"," 384"," 262"," 278"," 199"," 199"," 3"," 316"," 275"," 241"," 277"," 364"," 310"," 337"," 138"," 285"," 340"," 288"," 443"," 391"," 388"," 384"," 191"," 371"," 377"," 353"," 326"," 290"," 319"
"2014F","ID","AVTCP"," 133"," 124"," 211"," 233"," 241"," 177"," 174"," 172"," 151"," 151"," 154"," 143"," 152"," 161"," 152"," 120"," 131"," 133"," 163"," 155"," 162"," 121"," 83"," 73"," 55"," 80"," 87"," 76"," 52"," 55"," 39"," 39"," 1"," 63"," 54"," 48"," 55"," 72"," 61"," 67"," 27"," 56"," 67"," 57"," 88"," 78"," 77"," 76"," 38"," 73"," 75"," 70"," 65"," 57"," 63"
"2014F","ID","AVTXB"," 672"," 627"," 1064"," 1178"," 1217"," 892"," 878"," 866"," 760"," 765"," 780"," 724"," 768"," 814"," 765"," 604"," 660"," 672"," 821"," 784"," 818"," 611"," 421"," 371"," 279"," 402"," 439"," 384"," 262"," 278"," 199"," 199"," 3"," 316"," 275"," 241"," 277"," 364"," 310"," 337"," 138"," 285"," 340"," 288"," 443"," 391"," 388"," 384"," 191"," 371"," 377"," 353"," 326"," 290"," 319"
"2014F","ID","AVTXP"," 133"," 124"," 211"," 233"," 241"," 177"," 174"," 172"," 151"," 151"," 154"," 143"," 152"," 161"," 152"," 120"," 131"," 133"," 163"," 155"," 162"," 121"," 83"," 73"," 55"," 80"," 87"," 76"," 52"," 55"," 39"," 39"," 1"," 63"," 54"," 48"," 55"," 72"," 61"," 67"," 27"," 56"," 67"," 57"," 88"," 78"," 77"," 76"," 38"," 73"," 75"," 70"," 65"," 57"," 63"
"2014F","ID","BMTCB"," 11354"," 10813"," 10825"," 10560"," 11059"," 10361"," 10269"," 10300"," 10659"," 10620"," 11476"," 11181"," 11368"," 11209"," 10332"," 11103"," 13792"," 15540"," 17065"," 18844"," 14646"," 16321"," 16085"," 17969"," 18432"," 18744"," 19410"," 17002"," 17771"," 26775"," 24350"," 24416"," 25784"," 25189"," 24060"," 25630"," 26166"," 28607"," 27359"," 28093"," 27857"," 28445"," 22444"," 22967"," 25924"," 35308"," 32916"," 34932"," 36166"," 29184"," 33561"," 31192"," 31038"," 33286"," 40040"
"2014F","ID","CLACB"," 86"," 28"," 27"," 23"," 31"," 23"," 18"," 10"," 9"," 5"," 6"," 7"," 6"," 4"," 4"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ID","CLACP"," 4"," 1"," 1"," 1"," 1"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ID","CLCCB"," 4815"," 4430"," 4624"," 4382"," 4103"," 3730"," 3734"," 3948"," 3166"," 2892"," 1904"," 3573"," 2534"," 3135"," 2920"," 2991"," 3170"," 3458"," 3424"," 2404"," 1990"," 1478"," 1302"," 1530"," 1518"," 830"," 651"," 409"," 1340"," 1378"," 1089"," 1262"," 935"," 789"," 767"," 733"," 538"," 609"," 1010"," 1017"," 383"," 376"," 360"," 255"," 112"," 245"," 237"," 927"," 211"," 182"," 199"," 159"," 120"," 84"," 45"
"2014F","ID","CLCCP"," 194"," 179"," 186"," 177"," 166"," 151"," 152"," 161"," 129"," 119"," 80"," 151"," 107"," 133"," 126"," 132"," 149"," 160"," 170"," 126"," 89"," 68"," 60"," 69"," 68"," 36"," 28"," 18"," 59"," 64"," 48"," 56"," 42"," 35"," 34"," 34"," 25"," 27"," 51"," 48"," 17"," 17"," 16"," 12"," 6"," 12"," 11"," 40"," 9"," 8"," 9"," 7"," 5"," 4"," 2"
"2014F","ID","CLEIB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ID","CLEIP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
