"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","IN","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 150"," 152"," 22"," 3"," 113"," 16"," 1","-31"," 3"," 7","-2"," 5"," 4"," 176"," 146"," 198"," 252"," 108"," 170"," 101"," 162"," 197"," 193"," 270"," 219"," 16"," 45"," 2","-20","-6"," 0"," 0","-9","-3"
"2014F","IN","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 30"," 30"," 4"," 1"," 22"," 3"," 0","-6"," 1"," 1"," 0"," 1"," 1"," 35"," 29"," 39"," 50"," 21"," 34"," 20"," 32"," 39"," 38"," 54"," 43"," 3"," 9"," 0","-4","-1"," 0"," 0","-2","-1"
"2014F","IN","ARICB"," 21746"," 23581"," 23745"," 28899"," 28826"," 28425"," 28481"," 30428"," 35368"," 27586"," 40486"," 52478"," 46561"," 57154"," 54797"," 40260"," 35604"," 40874"," 55929"," 50957"," 34273"," 38510"," 35835"," 38394"," 39820"," 35408"," 40236"," 50431"," 46060"," 42441"," 56749"," 46835"," 41207"," 63052"," 67811"," 47017"," 56593"," 61271"," 47692"," 49504"," 40132"," 36577"," 40065"," 43518"," 46661"," 43055"," 35517"," 31464"," 23388"," 21503"," 17749"," 20321"," 21974"," 18361"," 18472"
"2014F","IN","ARICP"," 3277"," 3553"," 3578"," 4355"," 4344"," 4283"," 4292"," 4585"," 5330"," 4157"," 6101"," 7908"," 7016"," 8613"," 8258"," 6067"," 5365"," 6159"," 8428"," 7679"," 5165"," 5803"," 5400"," 5786"," 6001"," 5336"," 6063"," 7600"," 6941"," 6396"," 8552"," 7058"," 6210"," 9501"," 10219"," 7085"," 8528"," 9233"," 7187"," 7460"," 6048"," 5512"," 6038"," 6558"," 7031"," 6488"," 5352"," 4741"," 3524"," 3240"," 2675"," 3062"," 3311"," 2767"," 2784"
"2014F","IN","ARTCB"," 21746"," 23581"," 23745"," 28899"," 28826"," 28425"," 28481"," 30428"," 35368"," 27586"," 40486"," 52478"," 46561"," 57154"," 54797"," 40260"," 35604"," 40874"," 55929"," 50957"," 34273"," 38510"," 35835"," 38394"," 39820"," 35408"," 40236"," 50431"," 46060"," 42441"," 56749"," 46835"," 41207"," 63052"," 67811"," 47017"," 56593"," 61271"," 47692"," 49504"," 40132"," 36577"," 40065"," 43518"," 46661"," 43055"," 35517"," 31464"," 23388"," 21503"," 17749"," 20321"," 21974"," 18361"," 18472"
"2014F","IN","ARTCP"," 3277"," 3553"," 3578"," 4355"," 4344"," 4283"," 4292"," 4585"," 5330"," 4157"," 6101"," 7908"," 7016"," 8613"," 8258"," 6067"," 5365"," 6159"," 8428"," 7679"," 5165"," 5803"," 5400"," 5786"," 6001"," 5336"," 6063"," 7600"," 6941"," 6396"," 8552"," 7058"," 6210"," 9501"," 10219"," 7085"," 8528"," 9233"," 7187"," 7460"," 6048"," 5512"," 6038"," 6558"," 7031"," 6488"," 5352"," 4741"," 3524"," 3240"," 2675"," 3062"," 3311"," 2767"," 2784"
"2014F","IN","ARTXB"," 21746"," 23581"," 23745"," 28899"," 28826"," 28425"," 28481"," 30428"," 35368"," 27586"," 40486"," 52478"," 46561"," 57154"," 54797"," 40260"," 35604"," 40874"," 55929"," 50957"," 34273"," 38510"," 35835"," 38394"," 39820"," 35408"," 40236"," 50431"," 46060"," 42441"," 56749"," 46835"," 41207"," 63052"," 67811"," 47017"," 56593"," 61271"," 47692"," 49504"," 40132"," 36577"," 40065"," 43518"," 46661"," 43055"," 35517"," 31464"," 23388"," 21503"," 17749"," 20321"," 21974"," 18361"," 18472"
"2014F","IN","ARTXP"," 3277"," 3553"," 3578"," 4355"," 4344"," 4283"," 4292"," 4585"," 5330"," 4157"," 6101"," 7908"," 7016"," 8613"," 8258"," 6067"," 5365"," 6159"," 8428"," 7679"," 5165"," 5803"," 5400"," 5786"," 6001"," 5336"," 6063"," 7600"," 6941"," 6396"," 8552"," 7058"," 6210"," 9501"," 10219"," 7085"," 8528"," 9233"," 7187"," 7460"," 6048"," 5512"," 6038"," 6558"," 7031"," 6488"," 5352"," 4741"," 3524"," 3240"," 2675"," 3062"," 3311"," 2767"," 2784"
"2014F","IN","AVACB"," 2286"," 2153"," 3871"," 3952"," 4004"," 5602"," 4556"," 3097"," 2990"," 2279"," 1850"," 1778"," 1450"," 1391"," 1527"," 1094"," 1282"," 1324"," 1628"," 1298"," 1313"," 948"," 649"," 761"," 1262"," 1985"," 2189"," 1906"," 2182"," 1452"," 1526"," 1525"," 1274"," 1016"," 750"," 728"," 863"," 685"," 571"," 600"," 572"," 338"," 614"," 536"," 521"," 819"," 587"," 581"," 466"," 465"," 515"," 483"," 448"," 372"," 339"
"2014F","IN","AVACP"," 453"," 427"," 767"," 783"," 793"," 1110"," 903"," 614"," 592"," 451"," 367"," 352"," 287"," 276"," 302"," 217"," 254"," 262"," 322"," 257"," 260"," 188"," 129"," 151"," 250"," 393"," 434"," 378"," 432"," 288"," 302"," 302"," 252"," 201"," 149"," 144"," 171"," 136"," 113"," 119"," 113"," 67"," 122"," 106"," 103"," 162"," 116"," 115"," 92"," 92"," 102"," 96"," 89"," 74"," 67"
