"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","LA","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 734"," 698"," 100"," 13"," 588"," 82"," 7","-163"," 16"," 36","-12"," 25"," 23"," 953"," 843"," 1114"," 1419"," 648"," 1050"," 625"," 993"," 1240"," 1227"," 1731"," 1284"," 112"," 305"," 16","-142","-45"," 2","-1","-69","-26"
"2014F","LA","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 145"," 138"," 20"," 3"," 117"," 16"," 1","-32"," 3"," 7","-2"," 5"," 5"," 189"," 167"," 221"," 281"," 128"," 208"," 124"," 197"," 246"," 243"," 343"," 254"," 22"," 60"," 3","-28","-9"," 0"," 0","-14","-5"
"2014F","LA","ARICB"," 14607"," 12564"," 14347"," 14906"," 14534"," 16848"," 15294"," 15631"," 14123"," 14212"," 14666"," 15081"," 15379"," 16519"," 21690"," 18660"," 15034"," 14380"," 17624"," 18082"," 12914"," 18224"," 19709"," 17362"," 13401"," 12178"," 11889"," 15097"," 15914"," 15359"," 11094"," 9938"," 11208"," 12341"," 11161"," 10962"," 11412"," 35096"," 11260"," 10087"," 9226"," 10300"," 11986"," 13016"," 7818"," 15428"," 17110"," 16910"," 16092"," 14377"," 14604"," 14101"," 12754"," 13632"," 13739"
"2014F","LA","ARICP"," 2201"," 1893"," 2162"," 2246"," 2190"," 2539"," 2305"," 2355"," 2128"," 2142"," 2210"," 2273"," 2318"," 2489"," 3269"," 2812"," 2266"," 2167"," 2656"," 2725"," 1946"," 2746"," 2970"," 2616"," 2019"," 1835"," 1792"," 2275"," 2398"," 2315"," 1672"," 1498"," 1689"," 1860"," 1682"," 1652"," 1720"," 5289"," 1697"," 1520"," 1390"," 1552"," 1806"," 1961"," 1178"," 2325"," 2578"," 2548"," 2425"," 2166"," 2201"," 2125"," 1922"," 2054"," 2070"
"2014F","LA","ARTCB"," 14607"," 12564"," 14347"," 14906"," 14534"," 16848"," 15294"," 15631"," 14123"," 14212"," 14666"," 15081"," 15379"," 16519"," 21690"," 18660"," 15034"," 14380"," 17624"," 18082"," 12914"," 18224"," 19709"," 17362"," 13401"," 12178"," 11889"," 15097"," 15914"," 15359"," 11094"," 9938"," 11208"," 12341"," 11161"," 10962"," 11412"," 35096"," 11260"," 10087"," 9226"," 10300"," 11986"," 13016"," 7818"," 15428"," 17110"," 16910"," 16092"," 14377"," 14604"," 14101"," 12754"," 13632"," 13739"
"2014F","LA","ARTCP"," 2201"," 1893"," 2162"," 2246"," 2190"," 2539"," 2305"," 2355"," 2128"," 2142"," 2210"," 2273"," 2318"," 2489"," 3269"," 2812"," 2266"," 2167"," 2656"," 2725"," 1946"," 2746"," 2970"," 2616"," 2019"," 1835"," 1792"," 2275"," 2398"," 2315"," 1672"," 1498"," 1689"," 1860"," 1682"," 1652"," 1720"," 5289"," 1697"," 1520"," 1390"," 1552"," 1806"," 1961"," 1178"," 2325"," 2578"," 2548"," 2425"," 2166"," 2201"," 2125"," 1922"," 2054"," 2070"
"2014F","LA","ARTXB"," 14607"," 12564"," 14347"," 14906"," 14534"," 16848"," 15294"," 15631"," 14123"," 14212"," 14666"," 15081"," 15379"," 16519"," 21690"," 18660"," 15034"," 14380"," 17624"," 18082"," 12914"," 18224"," 19709"," 17362"," 13401"," 12178"," 11889"," 15097"," 15914"," 15359"," 11094"," 9938"," 11208"," 12341"," 11161"," 10962"," 11412"," 35096"," 11260"," 10087"," 9226"," 10300"," 11986"," 13016"," 7818"," 15428"," 17110"," 16910"," 16092"," 14377"," 14604"," 14101"," 12754"," 13632"," 13739"
"2014F","LA","ARTXP"," 2201"," 1893"," 2162"," 2246"," 2190"," 2539"," 2305"," 2355"," 2128"," 2142"," 2210"," 2273"," 2318"," 2489"," 3269"," 2812"," 2266"," 2167"," 2656"," 2725"," 1946"," 2746"," 2970"," 2616"," 2019"," 1835"," 1792"," 2275"," 2398"," 2315"," 1672"," 1498"," 1689"," 1860"," 1682"," 1652"," 1720"," 5289"," 1697"," 1520"," 1390"," 1552"," 1806"," 1961"," 1178"," 2325"," 2578"," 2548"," 2425"," 2166"," 2201"," 2125"," 1922"," 2054"," 2070"
"2014F","LA","AVACB"," 4277"," 3412"," 4980"," 4996"," 4977"," 5327"," 4423"," 3719"," 3395"," 2768"," 2256"," 2289"," 2100"," 1859"," 1851"," 1487"," 1317"," 1400"," 1107"," 1228"," 1287"," 1911"," 1286"," 1131"," 945"," 865"," 837"," 666"," 615"," 581"," 547"," 467"," 440"," 1106"," 666"," 441"," 407"," 494"," 394"," 440"," 423"," 1444"," 313"," 513"," 278"," 302"," 304"," 127"," 336"," 312"," 446"," 485"," 503"," 449"," 334"
"2014F","LA","AVACP"," 847"," 676"," 987"," 990"," 986"," 1055"," 876"," 737"," 672"," 548"," 447"," 454"," 416"," 368"," 367"," 295"," 261"," 277"," 219"," 243"," 255"," 379"," 255"," 224"," 187"," 171"," 166"," 132"," 122"," 115"," 108"," 93"," 87"," 219"," 132"," 87"," 81"," 98"," 78"," 87"," 84"," 286"," 62"," 102"," 55"," 60"," 60"," 25"," 67"," 62"," 88"," 96"," 100"," 89"," 66"
"2014F","LA","AVTCB"," 4277"," 3412"," 4980"," 4996"," 4977"," 5327"," 4423"," 3719"," 3395"," 2768"," 2256"," 2289"," 2100"," 1859"," 1851"," 1487"," 1317"," 1400"," 1107"," 1228"," 1287"," 1911"," 1286"," 1131"," 945"," 865"," 837"," 666"," 615"," 581"," 547"," 467"," 440"," 1106"," 666"," 441"," 407"," 494"," 394"," 440"," 423"," 1444"," 313"," 513"," 278"," 302"," 304"," 127"," 336"," 312"," 446"," 485"," 503"," 449"," 334"
"2014F","LA","AVTCP"," 847"," 676"," 987"," 990"," 986"," 1055"," 876"," 737"," 672"," 548"," 447"," 454"," 416"," 368"," 367"," 295"," 261"," 277"," 219"," 243"," 255"," 379"," 255"," 224"," 187"," 171"," 166"," 132"," 122"," 115"," 108"," 93"," 87"," 219"," 132"," 87"," 81"," 98"," 78"," 87"," 84"," 286"," 62"," 102"," 55"," 60"," 60"," 25"," 67"," 62"," 88"," 96"," 100"," 89"," 66"
