"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","MD","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","MD","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","MD","ARICB"," 12033"," 15723"," 16069"," 17760"," 18597"," 21825"," 19535"," 19742"," 17949"," 17025"," 18568"," 19612"," 20506"," 25508"," 25191"," 21543"," 22466"," 23089"," 25847"," 23358"," 17507"," 20001"," 20724"," 28613"," 33287"," 29996"," 34581"," 32005"," 28863"," 29865"," 33233"," 24573"," 23288"," 31086"," 28950"," 28109"," 23953"," 37285"," 31053"," 29030"," 31195"," 28631"," 30265"," 22929"," 21005"," 19765"," 19576"," 28066"," 25417"," 16941"," 15112"," 14193"," 14485"," 12519"," 15346"
"2014F","MD","ARICP"," 1813"," 2369"," 2421"," 2676"," 2802"," 3289"," 2944"," 2975"," 2705"," 2565"," 2798"," 2955"," 3090"," 3844"," 3796"," 3246"," 3385"," 3479"," 3895"," 3520"," 2638"," 3014"," 3123"," 4312"," 5016"," 4520"," 5211"," 4823"," 4350"," 4500"," 5008"," 3703"," 3509"," 4684"," 4363"," 4236"," 3610"," 5619"," 4679"," 4375"," 4701"," 4315"," 4561"," 3455"," 3165"," 2979"," 2950"," 4229"," 3830"," 2553"," 2277"," 2139"," 2183"," 1887"," 2313"
"2014F","MD","ARTCB"," 12033"," 15723"," 16069"," 17760"," 18597"," 21825"," 19535"," 19742"," 17949"," 17025"," 18568"," 19612"," 20506"," 25508"," 25191"," 21543"," 22466"," 23089"," 25847"," 23358"," 17507"," 20001"," 20724"," 28613"," 33287"," 29996"," 34581"," 32005"," 28863"," 29865"," 33233"," 24573"," 23288"," 31086"," 28950"," 28109"," 23953"," 37285"," 31053"," 29030"," 31195"," 28631"," 30265"," 22929"," 21005"," 19765"," 19576"," 28066"," 25417"," 16941"," 15112"," 14193"," 14485"," 12519"," 15346"
"2014F","MD","ARTCP"," 1813"," 2369"," 2421"," 2676"," 2802"," 3289"," 2944"," 2975"," 2705"," 2565"," 2798"," 2955"," 3090"," 3844"," 3796"," 3246"," 3385"," 3479"," 3895"," 3520"," 2638"," 3014"," 3123"," 4312"," 5016"," 4520"," 5211"," 4823"," 4350"," 4500"," 5008"," 3703"," 3509"," 4684"," 4363"," 4236"," 3610"," 5619"," 4679"," 4375"," 4701"," 4315"," 4561"," 3455"," 3165"," 2979"," 2950"," 4229"," 3830"," 2553"," 2277"," 2139"," 2183"," 1887"," 2313"
"2014F","MD","ARTXB"," 12033"," 15723"," 16069"," 17760"," 18597"," 21825"," 19535"," 19742"," 17949"," 17025"," 18568"," 19612"," 20506"," 25508"," 25191"," 21543"," 22466"," 23089"," 25847"," 23358"," 17507"," 20001"," 20724"," 28613"," 33287"," 29996"," 34581"," 32005"," 28863"," 29865"," 33233"," 24573"," 23288"," 31086"," 28950"," 28109"," 23953"," 37285"," 31053"," 29030"," 31195"," 28631"," 30265"," 22929"," 21005"," 19765"," 19576"," 28066"," 25417"," 16941"," 15112"," 14193"," 14485"," 12519"," 15346"
"2014F","MD","ARTXP"," 1813"," 2369"," 2421"," 2676"," 2802"," 3289"," 2944"," 2975"," 2705"," 2565"," 2798"," 2955"," 3090"," 3844"," 3796"," 3246"," 3385"," 3479"," 3895"," 3520"," 2638"," 3014"," 3123"," 4312"," 5016"," 4520"," 5211"," 4823"," 4350"," 4500"," 5008"," 3703"," 3509"," 4684"," 4363"," 4236"," 3610"," 5619"," 4679"," 4375"," 4701"," 4315"," 4561"," 3455"," 3165"," 2979"," 2950"," 4229"," 3830"," 2553"," 2277"," 2139"," 2183"," 1887"," 2313"
"2014F","MD","AVACB"," 1406"," 1352"," 2277"," 2820"," 2549"," 2391"," 2450"," 2341"," 2390"," 1826"," 1562"," 1471"," 1345"," 1308"," 1363"," 1037"," 1010"," 1031"," 898"," 730"," 874"," 645"," 376"," 365"," 337"," 384"," 509"," 437"," 477"," 420"," 375"," 379"," 485"," 513"," 357"," 240"," 177"," 219"," 281"," 196"," 204"," 529"," 504"," 442"," 415"," 622"," 544"," 538"," 406"," 394"," 225"," 210"," 203"," 175"," 247"
"2014F","MD","AVACP"," 279"," 268"," 451"," 559"," 505"," 474"," 485"," 464"," 473"," 362"," 309"," 291"," 266"," 259"," 270"," 205"," 200"," 204"," 178"," 145"," 173"," 128"," 74"," 72"," 67"," 76"," 101"," 87"," 94"," 83"," 74"," 75"," 96"," 102"," 71"," 48"," 35"," 43"," 56"," 39"," 40"," 105"," 100"," 88"," 82"," 123"," 108"," 107"," 80"," 78"," 45"," 42"," 40"," 35"," 49"
"2014F","MD","AVTCB"," 1406"," 1352"," 2277"," 2820"," 2549"," 2391"," 2450"," 2341"," 2390"," 1826"," 1562"," 1471"," 1345"," 1308"," 1363"," 1037"," 1010"," 1031"," 898"," 730"," 874"," 645"," 376"," 365"," 337"," 384"," 509"," 437"," 477"," 420"," 375"," 379"," 485"," 513"," 357"," 240"," 177"," 219"," 281"," 196"," 204"," 529"," 504"," 442"," 415"," 622"," 544"," 538"," 406"," 394"," 225"," 210"," 203"," 175"," 247"
"2014F","MD","AVTCP"," 279"," 268"," 451"," 559"," 505"," 474"," 485"," 464"," 473"," 362"," 309"," 291"," 266"," 259"," 270"," 205"," 200"," 204"," 178"," 145"," 173"," 128"," 74"," 72"," 67"," 76"," 101"," 87"," 94"," 83"," 74"," 75"," 96"," 102"," 71"," 48"," 35"," 43"," 56"," 39"," 40"," 105"," 100"," 88"," 82"," 123"," 108"," 107"," 80"," 78"," 45"," 42"," 40"," 35"," 49"
"2014F","MD","AVTXB"," 1406"," 1352"," 2277"," 2820"," 2549"," 2391"," 2450"," 2341"," 2390"," 1826"," 1562"," 1471"," 1345"," 1308"," 1363"," 1037"," 1010"," 1031"," 898"," 730"," 874"," 645"," 376"," 365"," 337"," 384"," 509"," 437"," 477"," 420"," 375"," 379"," 485"," 513"," 357"," 240"," 177"," 219"," 281"," 196"," 204"," 529"," 504"," 442"," 415"," 622"," 544"," 538"," 406"," 394"," 225"," 210"," 203"," 175"," 247"
"2014F","MD","AVTXP"," 279"," 268"," 451"," 559"," 505"," 474"," 485"," 464"," 473"," 362"," 309"," 291"," 266"," 259"," 270"," 205"," 200"," 204"," 178"," 145"," 173"," 128"," 74"," 72"," 67"," 76"," 101"," 87"," 94"," 83"," 74"," 75"," 96"," 102"," 71"," 48"," 35"," 43"," 56"," 39"," 40"," 105"," 100"," 88"," 82"," 123"," 108"," 107"," 80"," 78"," 45"," 42"," 40"," 35"," 49"
"2014F","MD","BMTCB"," 23838"," 23591"," 23878"," 25283"," 25807"," 27094"," 28335"," 29439"," 31024"," 31321"," 31772"," 30687"," 32430"," 32570"," 31819"," 31785"," 34710"," 38515"," 41272"," 43645"," 32634"," 30545"," 37581"," 33512"," 38974"," 39233"," 35052"," 30957"," 32536"," 36827"," 26519"," 26869"," 27672"," 32028"," 32125"," 37066"," 40674"," 36802"," 34768"," 36161"," 36287"," 20870"," 24037"," 27129"," 28068"," 31193"," 38102"," 41266"," 40104"," 47471"," 51683"," 49917"," 49822"," 54874"," 53814"
"2014F","MD","CLACB"," 2254"," 597"," 568"," 549"," 588"," 511"," 455"," 368"," 341"," 280"," 238"," 165"," 104"," 102"," 55"," 15"," 9"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","MD","CLACP"," 87"," 23"," 22"," 21"," 23"," 20"," 18"," 15"," 13"," 11"," 10"," 7"," 4"," 4"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","MD","CLCCB"," 2935"," 2710"," 2975"," 3792"," 3724"," 2490"," 1529"," 1226"," 1161"," 1084"," 867"," 800"," 623"," 758"," 877"," 540"," 451"," 786"," 611"," 3779"," 703"," 789"," 2076"," 2066"," 1605"," 2336"," 2410"," 3393"," 2399"," 1067"," 963"," 867"," 274"," 307"," 773"," 6418"," 905"," 1231"," 1194"," 1026"," 1864"," 1676"," 67"," 122"," 1249"," 718"," 951"," 809"," 900"," 704"," 474"," 617"," 519"," 238"," 198"
"2014F","MD","CLCCP"," 117"," 108"," 119"," 152"," 149"," 100"," 62"," 50"," 48"," 45"," 36"," 34"," 26"," 32"," 38"," 24"," 19"," 33"," 26"," 155"," 29"," 33"," 85"," 84"," 65"," 94"," 97"," 136"," 96"," 43"," 38"," 34"," 11"," 12"," 31"," 258"," 36"," 49"," 47"," 41"," 74"," 67"," 3"," 5"," 51"," 29"," 38"," 33"," 34"," 27"," 18"," 23"," 19"," 9"," 7"
"2014F","MD","CLEIB"," 82193"," 87146"," 98109"," 113816"," 127068"," 158708"," 175317"," 186373"," 195425"," 176221"," 146431"," 132078"," 111771"," 97092"," 97128"," 94196"," 124751"," 107943"," 118215"," 129851"," 146260"," 127391"," 143119"," 157645"," 189300"," 178439"," 202016"," 208585"," 229559"," 231157"," 227902"," 220903"," 229356"," 242866"," 249201"," 262939"," 271711"," 269025"," 283308"," 284088"," 289747"," 283345"," 291706"," 297613"," 291315"," 295546"," 293181"," 297200"," 279847"," 243998"," 242944"," 218918"," 171407"," 167590"," 185394"
"2014F","MD","CLEIP"," 3088"," 3277"," 3696"," 4275"," 4774"," 6018"," 6701"," 7162"," 7530"," 6829"," 5950"," 5373"," 4450"," 3901"," 4210"," 3873"," 5083"," 4423"," 4844"," 5285"," 5908"," 5197"," 5766"," 6221"," 7501"," 7046"," 7961"," 8228"," 9020"," 9074"," 8945"," 8632"," 8993"," 9521"," 9717"," 10141"," 10540"," 10417"," 10968"," 10980"," 11327"," 11158"," 11245"," 11780"," 11576"," 11710"," 11638"," 11884"," 11065"," 9805"," 9846"," 8917"," 6930"," 6789"," 7411"
"2014F","MD","CLICB"," 134960"," 135860"," 146377"," 151935"," 164107"," 162383"," 159718"," 161123"," 164392"," 176432"," 162652"," 140141"," 113453"," 158363"," 119037"," 102178"," 119922"," 80688"," 90711"," 106135"," 88560"," 82016"," 71635"," 72495"," 78876"," 74777"," 69896"," 75909"," 68583"," 63278"," 57377"," 52801"," 17802"," 18490"," 18752"," 19246"," 19737"," 19278"," 19246"," 19933"," 20320"," 33623"," 34051"," 31837"," 34536"," 32978"," 30431"," 29880"," 28547"," 22157"," 22649"," 21655"," 20407"," 15363"," 15627"
"2014F","MD","CLICP"," 5067"," 5102"," 5492"," 5714"," 6168"," 6101"," 6006"," 6054"," 6194"," 6667"," 6174"," 5319"," 4320"," 6018"," 4527"," 3854"," 4496"," 3041"," 3445"," 4021"," 3367"," 3139"," 2729"," 2762"," 3013"," 2846"," 2664"," 2906"," 2614"," 2414"," 2200"," 2034"," 706"," 732"," 738"," 760"," 785"," 768"," 769"," 798"," 810"," 1286"," 1323"," 1254"," 1375"," 1349"," 1259"," 1221"," 1175"," 909"," 945"," 951"," 906"," 705"," 705"
"2014F","MD","CLKCB"," 111183"," 111977"," 124092"," 119973"," 133502"," 136739"," 135214"," 141705"," 137065"," 145540"," 136540"," 120623"," 95414"," 135391"," 102077"," 93888"," 114940"," 73663"," 75164"," 91192"," 70857"," 61935"," 55716"," 54647"," 56974"," 57031"," 51938"," 51831"," 51444"," 46337"," 33634"," 26639"," 0"," 27"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","MD","CLKCP"," 4149"," 4178"," 4630"," 4477"," 4981"," 5102"," 5045"," 5288"," 5114"," 5431"," 5095"," 4501"," 3560"," 5052"," 3809"," 3503"," 4289"," 2749"," 2805"," 3403"," 2644"," 2311"," 2079"," 2039"," 2126"," 2128"," 1938"," 1934"," 1920"," 1729"," 1255"," 994"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
