"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","MI","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 38"," 38"," 6"," 1"," 29"," 4"," 0","-8"," 1"," 2","-1"," 1"," 1"," 47"," 42"," 55"," 71"," 31"," 29"," 17"," 28"," 34"," 33"," 46"," 51"," 4"," 11"," 1","-5","-2"," 0"," 0","-3","-1"
"2014F","MI","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 7"," 1"," 0"," 6"," 1"," 0","-2"," 0"," 0"," 0"," 0"," 0"," 9"," 8"," 11"," 14"," 6"," 6"," 3"," 5"," 7"," 7"," 9"," 10"," 1"," 2"," 0","-1"," 0"," 0"," 0","-1"," 0"
"2014F","MI","ARICB"," 19483"," 17005"," 18915"," 17349"," 13891"," 15022"," 20815"," 20965"," 23842"," 21612"," 25751"," 24992"," 30775"," 35610"," 32322"," 25786"," 23137"," 27486"," 29036"," 27624"," 23276"," 23558"," 17266"," 18173"," 18515"," 18444"," 22456"," 23266"," 19088"," 25634"," 26212"," 22989"," 23530"," 29553"," 23864"," 32883"," 24572"," 51610"," 43057"," 44258"," 38925"," 37351"," 35254"," 35591"," 40163"," 40216"," 34407"," 30291"," 22279"," 24435"," 22364"," 18528"," 18924"," 19474"," 21882"
"2014F","MI","ARICP"," 2936"," 2562"," 2850"," 2614"," 2093"," 2264"," 3137"," 3159"," 3593"," 3257"," 3881"," 3766"," 4638"," 5366"," 4871"," 3886"," 3487"," 4142"," 4376"," 4163"," 3507"," 3550"," 2602"," 2739"," 2790"," 2779"," 3384"," 3506"," 2876"," 3863"," 3950"," 3464"," 3546"," 4453"," 3596"," 4955"," 3703"," 7777"," 6488"," 6669"," 5866"," 5629"," 5313"," 5363"," 6052"," 6060"," 5185"," 4565"," 3357"," 3682"," 3370"," 2792"," 2852"," 2935"," 3297"
"2014F","MI","ARTCB"," 19483"," 17005"," 18915"," 17349"," 13891"," 15022"," 20815"," 20965"," 23842"," 21612"," 25751"," 24992"," 30775"," 35610"," 32322"," 25786"," 23137"," 27486"," 29036"," 27624"," 23276"," 23558"," 17266"," 18173"," 18515"," 18444"," 22456"," 23266"," 19088"," 25634"," 26212"," 22989"," 23530"," 29553"," 23864"," 32883"," 24572"," 51610"," 43057"," 44258"," 38925"," 37351"," 35254"," 35591"," 40163"," 40216"," 34407"," 30291"," 22279"," 24435"," 22364"," 18528"," 18924"," 19474"," 21882"
"2014F","MI","ARTCP"," 2936"," 2562"," 2850"," 2614"," 2093"," 2264"," 3137"," 3159"," 3593"," 3257"," 3881"," 3766"," 4638"," 5366"," 4871"," 3886"," 3487"," 4142"," 4376"," 4163"," 3507"," 3550"," 2602"," 2739"," 2790"," 2779"," 3384"," 3506"," 2876"," 3863"," 3950"," 3464"," 3546"," 4453"," 3596"," 4955"," 3703"," 7777"," 6488"," 6669"," 5866"," 5629"," 5313"," 5363"," 6052"," 6060"," 5185"," 4565"," 3357"," 3682"," 3370"," 2792"," 2852"," 2935"," 3297"
"2014F","MI","ARTXB"," 19483"," 17005"," 18915"," 17349"," 13891"," 15022"," 20815"," 20965"," 23842"," 21612"," 25751"," 24992"," 30775"," 35610"," 32322"," 25786"," 23137"," 27486"," 29036"," 27624"," 23276"," 23558"," 17266"," 18173"," 18515"," 18444"," 22456"," 23266"," 19088"," 25634"," 26212"," 22989"," 23530"," 29553"," 23864"," 32883"," 24572"," 51610"," 43057"," 44258"," 38925"," 37351"," 35254"," 35591"," 40163"," 40216"," 34407"," 30291"," 22279"," 24435"," 22364"," 18528"," 18924"," 19474"," 21882"
"2014F","MI","ARTXP"," 2936"," 2562"," 2850"," 2614"," 2093"," 2264"," 3137"," 3159"," 3593"," 3257"," 3881"," 3766"," 4638"," 5366"," 4871"," 3886"," 3487"," 4142"," 4376"," 4163"," 3507"," 3550"," 2602"," 2739"," 2790"," 2779"," 3384"," 3506"," 2876"," 3863"," 3950"," 3464"," 3546"," 4453"," 3596"," 4955"," 3703"," 7777"," 6488"," 6669"," 5866"," 5629"," 5313"," 5363"," 6052"," 6060"," 5185"," 4565"," 3357"," 3682"," 3370"," 2792"," 2852"," 2935"," 3297"
"2014F","MI","AVACB"," 6621"," 6376"," 8957"," 9804"," 11120"," 13221"," 16569"," 18129"," 23974"," 24667"," 3623"," 1299"," 2510"," 2943"," 1030"," 1750"," 1920"," 2212"," 2367"," 1940"," 2463"," 1262"," 793"," 1638"," 912"," 1015"," 1264"," 1223"," 1219"," 1354"," 1085"," 1037"," 917"," 997"," 1199"," 1167"," 1083"," 993"," 841"," 1442"," 1035"," 401"," 843"," 451"," 405"," 423"," 340"," 381"," 372"," 315"," 595"," 558"," 517"," 466"," 335"
"2014F","MI","AVACP"," 1312"," 1263"," 1774"," 1942"," 2203"," 2619"," 3282"," 3591"," 4749"," 4886"," 718"," 257"," 497"," 583"," 204"," 347"," 380"," 438"," 469"," 384"," 488"," 250"," 157"," 324"," 181"," 201"," 250"," 242"," 241"," 268"," 215"," 206"," 182"," 198"," 237"," 231"," 215"," 197"," 167"," 286"," 205"," 79"," 167"," 89"," 80"," 84"," 67"," 76"," 74"," 62"," 118"," 111"," 102"," 92"," 66"
"2014F","MI","AVTCB"," 6621"," 6376"," 8957"," 9804"," 11120"," 13221"," 16569"," 18129"," 23974"," 24667"," 3623"," 1299"," 2510"," 2943"," 1030"," 1750"," 1920"," 2212"," 2367"," 1940"," 2463"," 1262"," 793"," 1638"," 912"," 1015"," 1264"," 1223"," 1219"," 1354"," 1085"," 1037"," 917"," 997"," 1199"," 1167"," 1083"," 993"," 841"," 1442"," 1035"," 401"," 843"," 451"," 405"," 423"," 340"," 381"," 372"," 315"," 595"," 558"," 517"," 466"," 335"
"2014F","MI","AVTCP"," 1312"," 1263"," 1774"," 1942"," 2203"," 2619"," 3282"," 3591"," 4749"," 4886"," 718"," 257"," 497"," 583"," 204"," 347"," 380"," 438"," 469"," 384"," 488"," 250"," 157"," 324"," 181"," 201"," 250"," 242"," 241"," 268"," 215"," 206"," 182"," 198"," 237"," 231"," 215"," 197"," 167"," 286"," 205"," 79"," 167"," 89"," 80"," 84"," 67"," 76"," 74"," 62"," 118"," 111"," 102"," 92"," 66"
"2014F","MI","AVTXB"," 6621"," 6376"," 8957"," 9804"," 11120"," 13221"," 16569"," 18129"," 23974"," 24667"," 3623"," 1299"," 2510"," 2943"," 1030"," 1750"," 1920"," 2212"," 2367"," 1940"," 2463"," 1262"," 793"," 1638"," 912"," 1015"," 1264"," 1223"," 1219"," 1354"," 1085"," 1037"," 917"," 997"," 1199"," 1167"," 1083"," 993"," 841"," 1442"," 1035"," 401"," 843"," 451"," 405"," 423"," 340"," 381"," 372"," 315"," 595"," 558"," 517"," 466"," 335"
"2014F","MI","AVTXP"," 1312"," 1263"," 1774"," 1942"," 2203"," 2619"," 3282"," 3591"," 4749"," 4886"," 718"," 257"," 497"," 583"," 204"," 347"," 380"," 438"," 469"," 384"," 488"," 250"," 157"," 324"," 181"," 201"," 250"," 242"," 241"," 268"," 215"," 206"," 182"," 198"," 237"," 231"," 215"," 197"," 167"," 286"," 205"," 79"," 167"," 89"," 80"," 84"," 67"," 76"," 74"," 62"," 118"," 111"," 102"," 92"," 66"
"2014F","MI","BMTCB"," 37260"," 36172"," 35748"," 37021"," 36600"," 36904"," 37874"," 35984"," 36433"," 36866"," 36432"," 35346"," 37595"," 36277"," 38241"," 35906"," 41591"," 45003"," 55027"," 60353"," 90575"," 95908"," 96472"," 109405"," 103580"," 103801"," 108475"," 111149"," 116374"," 107299"," 84428"," 91714"," 93884"," 86947"," 90764"," 92386"," 104636"," 97296"," 93330"," 94942"," 102421"," 81392"," 80903"," 96560"," 100463"," 113482"," 111228"," 123588"," 138695"," 127657"," 129422"," 140472"," 140729"," 148084"," 150125"
"2014F","MI","CLACB"," 5547"," 1412"," 1313"," 1370"," 1369"," 1220"," 1133"," 831"," 803"," 545"," 484"," 392"," 314"," 188"," 100"," 37"," 17"," 11"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
