"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","MO","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 33"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","MO","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","MO","ARICB"," 24719"," 26847"," 27354"," 27816"," 27104"," 29208"," 31351"," 31493"," 32473"," 36359"," 37542"," 38514"," 37246"," 45020"," 43475"," 35840"," 30525"," 33025"," 38410"," 33289"," 26559"," 21071"," 21827"," 22690"," 26279"," 28504"," 30688"," 28874"," 37538"," 30163"," 29647"," 26953"," 25428"," 26909"," 37843"," 35142"," 35737"," 27481"," 25922"," 33027"," 27651"," 35861"," 31452"," 32066"," 39633"," 38083"," 34546"," 27136"," 19086"," 18291"," 12210"," 18702"," 14299"," 13910"," 13925"
"2014F","MO","ARICP"," 3725"," 4046"," 4122"," 4192"," 4084"," 4401"," 4724"," 4746"," 4893"," 5479"," 5657"," 5804"," 5613"," 6784"," 6551"," 5401"," 4600"," 4977"," 5788"," 5016"," 4002"," 3175"," 3289"," 3419"," 3960"," 4295"," 4624"," 4351"," 5657"," 4545"," 4468"," 4062"," 3832"," 4055"," 5703"," 5296"," 5385"," 4141"," 3906"," 4977"," 4167"," 5404"," 4740"," 4832"," 5972"," 5739"," 5206"," 4089"," 2876"," 2756"," 1840"," 2818"," 2155"," 2096"," 2098"
"2014F","MO","ARTCB"," 24719"," 26847"," 27354"," 27816"," 27104"," 29208"," 31351"," 31493"," 32473"," 36359"," 37542"," 38514"," 37246"," 45020"," 43475"," 35840"," 30525"," 33025"," 38410"," 33289"," 26559"," 21071"," 21827"," 22690"," 26279"," 28504"," 30688"," 28874"," 37538"," 30163"," 29647"," 26953"," 25428"," 26909"," 37843"," 35142"," 35737"," 27481"," 25922"," 33027"," 27651"," 35861"," 31452"," 32066"," 39633"," 38083"," 34546"," 27136"," 19086"," 18291"," 12210"," 18702"," 14299"," 13910"," 13925"
"2014F","MO","ARTCP"," 3725"," 4046"," 4122"," 4192"," 4084"," 4401"," 4724"," 4746"," 4893"," 5479"," 5657"," 5804"," 5613"," 6784"," 6551"," 5401"," 4600"," 4977"," 5788"," 5016"," 4002"," 3175"," 3289"," 3419"," 3960"," 4295"," 4624"," 4351"," 5657"," 4545"," 4468"," 4062"," 3832"," 4055"," 5703"," 5296"," 5385"," 4141"," 3906"," 4977"," 4167"," 5404"," 4740"," 4832"," 5972"," 5739"," 5206"," 4089"," 2876"," 2756"," 1840"," 2818"," 2155"," 2096"," 2098"
"2014F","MO","ARTXB"," 24719"," 26847"," 27354"," 27816"," 27104"," 29208"," 31351"," 31493"," 32473"," 36359"," 37542"," 38514"," 37246"," 45020"," 43475"," 35840"," 30525"," 33025"," 38410"," 33289"," 26559"," 21071"," 21827"," 22690"," 26279"," 28504"," 30688"," 28874"," 37538"," 30163"," 29647"," 26953"," 25428"," 26909"," 37843"," 35142"," 35737"," 27481"," 25922"," 33027"," 27651"," 35861"," 31452"," 32066"," 39633"," 38083"," 34546"," 27136"," 19086"," 18291"," 12210"," 18702"," 14299"," 13910"," 13925"
"2014F","MO","ARTXP"," 3725"," 4046"," 4122"," 4192"," 4084"," 4401"," 4724"," 4746"," 4893"," 5479"," 5657"," 5804"," 5613"," 6784"," 6551"," 5401"," 4600"," 4977"," 5788"," 5016"," 4002"," 3175"," 3289"," 3419"," 3960"," 4295"," 4624"," 4351"," 5657"," 4545"," 4468"," 4062"," 3832"," 4055"," 5703"," 5296"," 5385"," 4141"," 3906"," 4977"," 4167"," 5404"," 4740"," 4832"," 5972"," 5739"," 5206"," 4089"," 2876"," 2756"," 1840"," 2818"," 2155"," 2096"," 2098"
"2014F","MO","AVACB"," 9306"," 7373"," 12210"," 12575"," 13142"," 11724"," 4633"," 2711"," 1851"," 1177"," 906"," 1047"," 930"," 1624"," 1511"," 927"," 831"," 892"," 1066"," 952"," 818"," 1056"," 734"," 715"," 670"," 684"," 826"," 674"," 817"," 1010"," 638"," 590"," 579"," 471"," 568"," 548"," 547"," 806"," 687"," 378"," 496"," 737"," 601"," 525"," 625"," 949"," 644"," 638"," 489"," 430"," 515"," 483"," 439"," 398"," 344"
"2014F","MO","AVACP"," 1844"," 1461"," 2419"," 2491"," 2603"," 2323"," 918"," 537"," 367"," 233"," 179"," 207"," 184"," 322"," 299"," 184"," 165"," 177"," 211"," 189"," 162"," 209"," 145"," 142"," 133"," 135"," 164"," 134"," 162"," 200"," 126"," 117"," 115"," 93"," 113"," 109"," 108"," 160"," 136"," 75"," 98"," 146"," 119"," 104"," 124"," 188"," 128"," 126"," 97"," 85"," 102"," 96"," 87"," 79"," 68"
"2014F","MO","AVTCB"," 9306"," 7373"," 12210"," 12575"," 13142"," 11724"," 4633"," 2711"," 1851"," 1177"," 906"," 1047"," 930"," 1624"," 1511"," 927"," 831"," 892"," 1066"," 952"," 818"," 1056"," 734"," 715"," 670"," 684"," 826"," 674"," 817"," 1010"," 638"," 590"," 579"," 471"," 568"," 548"," 547"," 806"," 687"," 378"," 496"," 737"," 601"," 525"," 625"," 949"," 644"," 638"," 489"," 430"," 515"," 483"," 439"," 398"," 344"
