"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","MT","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 47"," 47"," 6"," 1"," 34"," 5"," 0","-9"," 1"," 2","-1"," 1"," 1"," 57"," 50"," 67"," 86"," 38"," 64"," 39"," 67"," 82"," 81"," 113"," 92"," 7"," 19"," 1","-9","-3"," 0"," 0","-4","-1"
"2014F","MT","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 9"," 9"," 1"," 0"," 7"," 1"," 0","-2"," 0"," 0"," 0"," 0"," 0"," 11"," 10"," 13"," 17"," 8"," 13"," 8"," 13"," 16"," 16"," 22"," 18"," 1"," 4"," 0","-2","-1"," 0"," 0","-1"," 0"
"2014F","MT","ARICB"," 5742"," 5463"," 5217"," 5971"," 8816"," 6656"," 6461"," 7073"," 8105"," 7892"," 8938"," 8874"," 9878"," 9273"," 8108"," 6134"," 8513"," 7516"," 6253"," 6996"," 6767"," 6871"," 5864"," 7497"," 8065"," 9708"," 13200"," 10898"," 9775"," 11609"," 9869"," 8955"," 8685"," 11327"," 13035"," 8580"," 11292"," 9606"," 10577"," 17422"," 14271"," 5992"," 6900"," 2117"," 6164"," 4842"," 9862"," 6217"," 5429"," 10204"," 10888"," 12937"," 12375"," 10210"," 10119"
"2014F","MT","ARICP"," 865"," 823"," 786"," 900"," 1328"," 1003"," 974"," 1066"," 1221"," 1189"," 1347"," 1337"," 1489"," 1397"," 1222"," 924"," 1283"," 1133"," 942"," 1054"," 1020"," 1035"," 884"," 1130"," 1215"," 1463"," 1989"," 1642"," 1473"," 1749"," 1487"," 1350"," 1309"," 1707"," 1964"," 1293"," 1702"," 1448"," 1594"," 2625"," 2151"," 903"," 1040"," 319"," 929"," 730"," 1486"," 937"," 818"," 1538"," 1641"," 1950"," 1865"," 1539"," 1525"
"2014F","MT","ARTCB"," 5742"," 5463"," 5217"," 5971"," 8816"," 6656"," 6461"," 7073"," 8105"," 7892"," 8938"," 8874"," 9878"," 9273"," 8108"," 6134"," 8513"," 7516"," 6253"," 6996"," 6767"," 6871"," 5864"," 7497"," 8065"," 9708"," 13200"," 10898"," 9775"," 11609"," 9869"," 8955"," 8685"," 11327"," 13035"," 8580"," 11292"," 9606"," 10577"," 17422"," 14271"," 5992"," 6900"," 2117"," 6164"," 4842"," 9862"," 6217"," 5429"," 10204"," 10888"," 12937"," 12375"," 10210"," 10119"
"2014F","MT","ARTCP"," 865"," 823"," 786"," 900"," 1328"," 1003"," 974"," 1066"," 1221"," 1189"," 1347"," 1337"," 1489"," 1397"," 1222"," 924"," 1283"," 1133"," 942"," 1054"," 1020"," 1035"," 884"," 1130"," 1215"," 1463"," 1989"," 1642"," 1473"," 1749"," 1487"," 1350"," 1309"," 1707"," 1964"," 1293"," 1702"," 1448"," 1594"," 2625"," 2151"," 903"," 1040"," 319"," 929"," 730"," 1486"," 937"," 818"," 1538"," 1641"," 1950"," 1865"," 1539"," 1525"
"2014F","MT","ARTXB"," 5742"," 5463"," 5217"," 5971"," 8816"," 6656"," 6461"," 7073"," 8105"," 7892"," 8938"," 8874"," 9878"," 9273"," 8108"," 6134"," 8513"," 7516"," 6253"," 6996"," 6767"," 6871"," 5864"," 7497"," 8065"," 9708"," 13200"," 10898"," 9775"," 11609"," 9869"," 8955"," 8685"," 11327"," 13035"," 8580"," 11292"," 9606"," 10577"," 17422"," 14271"," 5992"," 6900"," 2117"," 6164"," 4842"," 9862"," 6217"," 5429"," 10204"," 10888"," 12937"," 12375"," 10210"," 10119"
"2014F","MT","ARTXP"," 865"," 823"," 786"," 900"," 1328"," 1003"," 974"," 1066"," 1221"," 1189"," 1347"," 1337"," 1489"," 1397"," 1222"," 924"," 1283"," 1133"," 942"," 1054"," 1020"," 1035"," 884"," 1130"," 1215"," 1463"," 1989"," 1642"," 1473"," 1749"," 1487"," 1350"," 1309"," 1707"," 1964"," 1293"," 1702"," 1448"," 1594"," 2625"," 2151"," 903"," 1040"," 319"," 929"," 730"," 1486"," 937"," 818"," 1538"," 1641"," 1950"," 1865"," 1539"," 1525"
"2014F","MT","AVACB"," 5078"," 7201"," 2386"," 2518"," 1717"," 1576"," 1000"," 662"," 329"," 193"," 217"," 213"," 475"," 558"," 528"," 400"," 474"," 466"," 439"," 617"," 804"," 896"," 467"," 515"," 391"," 460"," 528"," 415"," 542"," 481"," 560"," 545"," 381"," 322"," 377"," 394"," 501"," 359"," 517"," 612"," 675"," 548"," 582"," 509"," 213"," 239"," 438"," 351"," 454"," 378"," 237"," 222"," 206"," 187"," 276"
"2014F","MT","AVACP"," 1006"," 1427"," 473"," 499"," 340"," 312"," 198"," 131"," 65"," 38"," 43"," 42"," 94"," 110"," 105"," 79"," 94"," 92"," 87"," 122"," 159"," 177"," 92"," 102"," 77"," 91"," 105"," 82"," 107"," 95"," 111"," 108"," 75"," 64"," 75"," 78"," 99"," 71"," 102"," 121"," 134"," 109"," 115"," 101"," 42"," 47"," 87"," 69"," 90"," 75"," 47"," 44"," 41"," 37"," 55"
