"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","NY","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 31"," 14"," 2"," 0"," 0"," 0"," 0","-3"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","NY","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 3"," 0"," 0"," 0"," 0"," 0","-1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","NY","ARICB"," 35993"," 34329"," 37608"," 41211"," 37041"," 41366"," 42317"," 35919"," 33880"," 35631"," 37242"," 38242"," 37607"," 50155"," 45354"," 38043"," 36587"," 37129"," 40379"," 37555"," 33069"," 35991"," 35835"," 38040"," 35749"," 47834"," 42726"," 43489"," 53013"," 32960"," 36657"," 42305"," 45812"," 53538"," 49363"," 46933"," 41036"," 41988"," 43957"," 41634"," 39065"," 39279"," 34163"," 35799"," 50885"," 45592"," 42584"," 37379"," 36571"," 42072"," 42333"," 39789"," 35797"," 38670"," 40070"
"2014F","NY","ARICP"," 5424"," 5173"," 5667"," 6210"," 5582"," 6234"," 6377"," 5413"," 5106"," 5369"," 5612"," 5763"," 5667"," 7558"," 6835"," 5733"," 5513"," 5595"," 6085"," 5659"," 4983"," 5424"," 5400"," 5732"," 5387"," 7208"," 6438"," 6553"," 7989"," 4967"," 5524"," 6375"," 6904"," 8068"," 7439"," 7073"," 6184"," 6327"," 6624"," 6274"," 5887"," 5919"," 5148"," 5395"," 7668"," 6870"," 6417"," 5633"," 5511"," 6340"," 6379"," 5996"," 5394"," 5827"," 6038"
"2014F","NY","ARTCB"," 35993"," 34329"," 37608"," 41211"," 37041"," 41366"," 42317"," 35919"," 33880"," 35631"," 37242"," 38242"," 37607"," 50155"," 45354"," 38043"," 36587"," 37129"," 40379"," 37555"," 33069"," 35991"," 35835"," 38040"," 35749"," 47834"," 42726"," 43489"," 53013"," 32960"," 36657"," 42305"," 45812"," 53538"," 49363"," 46933"," 41036"," 41988"," 43957"," 41634"," 39065"," 39279"," 34163"," 35799"," 50885"," 45592"," 42584"," 37379"," 36571"," 42072"," 42333"," 39789"," 35797"," 38670"," 40070"
"2014F","NY","ARTCP"," 5424"," 5173"," 5667"," 6210"," 5582"," 6234"," 6377"," 5413"," 5106"," 5369"," 5612"," 5763"," 5667"," 7558"," 6835"," 5733"," 5513"," 5595"," 6085"," 5659"," 4983"," 5424"," 5400"," 5732"," 5387"," 7208"," 6438"," 6553"," 7989"," 4967"," 5524"," 6375"," 6904"," 8068"," 7439"," 7073"," 6184"," 6327"," 6624"," 6274"," 5887"," 5919"," 5148"," 5395"," 7668"," 6870"," 6417"," 5633"," 5511"," 6340"," 6379"," 5996"," 5394"," 5827"," 6038"
"2014F","NY","ARTXB"," 35993"," 34329"," 37608"," 41211"," 37041"," 41366"," 42317"," 35919"," 33880"," 35631"," 37242"," 38242"," 37607"," 50155"," 45354"," 38043"," 36587"," 37129"," 40379"," 37555"," 33069"," 35991"," 35835"," 38040"," 35749"," 47834"," 42726"," 43489"," 53013"," 32960"," 36657"," 42305"," 45812"," 53538"," 49363"," 46933"," 41036"," 41988"," 43957"," 41634"," 39065"," 39279"," 34163"," 35799"," 50885"," 45592"," 42584"," 37379"," 36571"," 42072"," 42333"," 39789"," 35797"," 38670"," 40070"
"2014F","NY","ARTXP"," 5424"," 5173"," 5667"," 6210"," 5582"," 6234"," 6377"," 5413"," 5106"," 5369"," 5612"," 5763"," 5667"," 7558"," 6835"," 5733"," 5513"," 5595"," 6085"," 5659"," 4983"," 5424"," 5400"," 5732"," 5387"," 7208"," 6438"," 6553"," 7989"," 4967"," 5524"," 6375"," 6904"," 8068"," 7439"," 7073"," 6184"," 6327"," 6624"," 6274"," 5887"," 5919"," 5148"," 5395"," 7668"," 6870"," 6417"," 5633"," 5511"," 6340"," 6379"," 5996"," 5394"," 5827"," 6038"
"2014F","NY","AVACB"," 69306"," 84034"," 25337"," 22571"," 19146"," 12252"," 7271"," 3268"," 2107"," 1539"," 1255"," 1106"," 923"," 823"," 1086"," 1384"," 1281"," 1374"," 1399"," 1575"," 1618"," 1370"," 998"," 1134"," 955"," 1115"," 1293"," 634"," 526"," 449"," 392"," 328"," 374"," 302"," 498"," 384"," 335"," 342"," 1202"," 425"," 380"," 1257"," 883"," 93"," 1140"," 1387"," 128"," 935"," 776"," 151"," 200"," 217"," 209"," 185"," 346"
"2014F","NY","AVACP"," 13729"," 16647"," 5019"," 4471"," 3793"," 2427"," 1440"," 647"," 417"," 305"," 249"," 219"," 183"," 163"," 215"," 274"," 254"," 272"," 277"," 312"," 320"," 271"," 198"," 225"," 189"," 221"," 256"," 126"," 104"," 89"," 78"," 65"," 74"," 60"," 99"," 76"," 66"," 68"," 238"," 84"," 75"," 249"," 175"," 18"," 226"," 275"," 25"," 185"," 154"," 30"," 40"," 43"," 41"," 37"," 68"
"2014F","NY","AVTCB"," 69306"," 84034"," 25337"," 22571"," 19146"," 12252"," 7271"," 3268"," 2107"," 1539"," 1255"," 1106"," 923"," 823"," 1086"," 1384"," 1281"," 1374"," 1399"," 1575"," 1618"," 1370"," 998"," 1134"," 955"," 1115"," 1293"," 634"," 526"," 449"," 392"," 328"," 374"," 302"," 498"," 384"," 335"," 342"," 1202"," 425"," 380"," 1257"," 883"," 93"," 1140"," 1387"," 128"," 935"," 776"," 151"," 200"," 217"," 209"," 185"," 346"
"2014F","NY","AVTCP"," 13729"," 16647"," 5019"," 4471"," 3793"," 2427"," 1440"," 647"," 417"," 305"," 249"," 219"," 183"," 163"," 215"," 274"," 254"," 272"," 277"," 312"," 320"," 271"," 198"," 225"," 189"," 221"," 256"," 126"," 104"," 89"," 78"," 65"," 74"," 60"," 99"," 76"," 66"," 68"," 238"," 84"," 75"," 249"," 175"," 18"," 226"," 275"," 25"," 185"," 154"," 30"," 40"," 43"," 41"," 37"," 68"
"2014F","NY","AVTXB"," 69306"," 84034"," 25337"," 22571"," 19146"," 12252"," 7271"," 3268"," 2107"," 1539"," 1255"," 1106"," 923"," 823"," 1086"," 1384"," 1281"," 1374"," 1399"," 1575"," 1618"," 1370"," 998"," 1134"," 955"," 1115"," 1293"," 634"," 526"," 449"," 392"," 328"," 374"," 302"," 498"," 384"," 335"," 342"," 1202"," 425"," 380"," 1257"," 883"," 93"," 1140"," 1387"," 128"," 935"," 776"," 151"," 200"," 217"," 209"," 185"," 346"
"2014F","NY","AVTXP"," 13729"," 16647"," 5019"," 4471"," 3793"," 2427"," 1440"," 647"," 417"," 305"," 249"," 219"," 183"," 163"," 215"," 274"," 254"," 272"," 277"," 312"," 320"," 271"," 198"," 225"," 189"," 221"," 256"," 126"," 104"," 89"," 78"," 65"," 74"," 60"," 99"," 76"," 66"," 68"," 238"," 84"," 75"," 249"," 175"," 18"," 226"," 275"," 25"," 185"," 154"," 30"," 40"," 43"," 41"," 37"," 68"
"2014F","NY","BMTCB"," 59263"," 57453"," 57324"," 57158"," 56954"," 58111"," 58726"," 57118"," 60128"," 61503"," 62607"," 60153"," 59513"," 59618"," 62124"," 60171"," 69291"," 74209"," 84713"," 94177"," 129655"," 143253"," 130211"," 158213"," 129571"," 131497"," 118753"," 110609"," 116471"," 119813"," 97387"," 95097"," 104515"," 117581"," 122702"," 124868"," 141121"," 179526"," 160398"," 166341"," 175442"," 111498"," 107722"," 112074"," 140573"," 113288"," 120198"," 130069"," 148720"," 113327"," 120168"," 124402"," 122513"," 129687"," 134792"
"2014F","NY","CLACB"," 5290"," 1300"," 1153"," 1125"," 1290"," 1151"," 1039"," 812"," 697"," 501"," 466"," 273"," 185"," 141"," 97"," 24"," 16"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
