"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","OH","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 174"," 157"," 25"," 3"," 138"," 18"," 1","-35"," 3"," 7","-2"," 5"," 5"," 197"," 171"," 233"," 296"," 130"," 206"," 123"," 196"," 242"," 238"," 344"," 259"," 19"," 53"," 3","-24","-8"," 0"," 0","-11","-4"
"2014F","OH","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 35"," 31"," 5"," 1"," 27"," 3"," 0","-7"," 1"," 1"," 0"," 1"," 1"," 39"," 34"," 46"," 59"," 26"," 41"," 24"," 39"," 48"," 47"," 68"," 51"," 4"," 11"," 1","-5","-1"," 0"," 0","-2","-1"
"2014F","OH","ARICB"," 45539"," 39941"," 43887"," 43880"," 44505"," 48732"," 47496"," 46601"," 64733"," 60489"," 59840"," 56771"," 60553"," 72111"," 60379"," 58056"," 52542"," 61115"," 63756"," 59508"," 48599"," 45806"," 48865"," 44756"," 45661"," 42068"," 48714"," 59762"," 42179"," 70490"," 65564"," 59677"," 65763"," 50980"," 58709"," 59547"," 74711"," 95399"," 83864"," 93509"," 87401"," 78367"," 71433"," 65413"," 69465"," 66058"," 66732"," 57905"," 55191"," 32446"," 34093"," 31546"," 35349"," 29211"," 30408"
"2014F","OH","ARICP"," 6862"," 6019"," 6613"," 6612"," 6707"," 7344"," 7157"," 7022"," 9755"," 9115"," 9017"," 8555"," 9125"," 10867"," 9099"," 8749"," 7918"," 9210"," 9608"," 8967"," 7324"," 6903"," 7364"," 6744"," 6881"," 6339"," 7341"," 9006"," 6356"," 10622"," 9880"," 8993"," 9910"," 7682"," 8847"," 8973"," 11258"," 14376"," 12638"," 14091"," 13171"," 11809"," 10765"," 9857"," 10468"," 9954"," 10056"," 8726"," 8317"," 4889"," 5138"," 4754"," 5327"," 4402"," 4582"
"2014F","OH","ARTCB"," 45539"," 39941"," 43887"," 43880"," 44505"," 48732"," 47496"," 46601"," 64733"," 60489"," 59840"," 56771"," 60553"," 72111"," 60379"," 58056"," 52542"," 61115"," 63756"," 59508"," 48599"," 45806"," 48865"," 44756"," 45661"," 42068"," 48714"," 59762"," 42179"," 70490"," 65564"," 59677"," 65763"," 50980"," 58709"," 59547"," 74711"," 95399"," 83864"," 93509"," 87401"," 78367"," 71433"," 65413"," 69465"," 66058"," 66732"," 57905"," 55191"," 32446"," 34093"," 31546"," 35349"," 29211"," 30408"
"2014F","OH","ARTCP"," 6862"," 6019"," 6613"," 6612"," 6707"," 7344"," 7157"," 7022"," 9755"," 9115"," 9017"," 8555"," 9125"," 10867"," 9099"," 8749"," 7918"," 9210"," 9608"," 8967"," 7324"," 6903"," 7364"," 6744"," 6881"," 6339"," 7341"," 9006"," 6356"," 10622"," 9880"," 8993"," 9910"," 7682"," 8847"," 8973"," 11258"," 14376"," 12638"," 14091"," 13171"," 11809"," 10765"," 9857"," 10468"," 9954"," 10056"," 8726"," 8317"," 4889"," 5138"," 4754"," 5327"," 4402"," 4582"
"2014F","OH","ARTXB"," 45539"," 39941"," 43887"," 43880"," 44505"," 48732"," 47496"," 46601"," 64733"," 60489"," 59840"," 56771"," 60553"," 72111"," 60379"," 58056"," 52542"," 61115"," 63756"," 59508"," 48599"," 45806"," 48865"," 44756"," 45661"," 42068"," 48714"," 59762"," 42179"," 70490"," 65564"," 59677"," 65763"," 50980"," 58709"," 59547"," 74711"," 95399"," 83864"," 93509"," 87401"," 78367"," 71433"," 65413"," 69465"," 66058"," 66732"," 57905"," 55191"," 32446"," 34093"," 31546"," 35349"," 29211"," 30408"
"2014F","OH","ARTXP"," 6862"," 6019"," 6613"," 6612"," 6707"," 7344"," 7157"," 7022"," 9755"," 9115"," 9017"," 8555"," 9125"," 10867"," 9099"," 8749"," 7918"," 9210"," 9608"," 8967"," 7324"," 6903"," 7364"," 6744"," 6881"," 6339"," 7341"," 9006"," 6356"," 10622"," 9880"," 8993"," 9910"," 7682"," 8847"," 8973"," 11258"," 14376"," 12638"," 14091"," 13171"," 11809"," 10765"," 9857"," 10468"," 9954"," 10056"," 8726"," 8317"," 4889"," 5138"," 4754"," 5327"," 4402"," 4582"
"2014F","OH","AVACB"," 7044"," 6897"," 10768"," 10893"," 11042"," 10729"," 8209"," 5926"," 5399"," 4206"," 3596"," 3445"," 3168"," 3155"," 2992"," 2477"," 2362"," 2355"," 2294"," 2232"," 2388"," 2059"," 1982"," 2005"," 1627"," 1666"," 1895"," 1206"," 1672"," 1264"," 1205"," 1080"," 1129"," 1044"," 937"," 1184"," 1740"," 1912"," 1843"," 1232"," 1098"," 743"," 711"," 651"," 596"," 552"," 1670"," 1653"," 954"," 1094"," 756"," 709"," 628"," 560"," 536"
"2014F","OH","AVACP"," 1395"," 1366"," 2133"," 2158"," 2187"," 2125"," 1626"," 1174"," 1070"," 833"," 712"," 682"," 628"," 625"," 593"," 491"," 468"," 467"," 455"," 442"," 473"," 408"," 393"," 397"," 322"," 330"," 375"," 239"," 331"," 250"," 239"," 214"," 224"," 207"," 186"," 235"," 345"," 379"," 365"," 244"," 218"," 147"," 141"," 129"," 118"," 109"," 331"," 327"," 189"," 217"," 150"," 140"," 124"," 111"," 106"
