"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","OK","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 169"," 144"," 20"," 2"," 101"," 14"," 1","-27"," 3"," 6","-2"," 4"," 4"," 162"," 144"," 187"," 243"," 109"," 178"," 110"," 180"," 215"," 212"," 303"," 247"," 19"," 54"," 3","-24","-7"," 0"," 0","-11","-4"
"2014F","OK","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 33"," 28"," 4"," 0"," 20"," 3"," 0","-5"," 1"," 1"," 0"," 1"," 1"," 32"," 29"," 37"," 48"," 22"," 35"," 22"," 36"," 43"," 42"," 60"," 49"," 4"," 11"," 1","-5","-1"," 0"," 0","-2","-1"
"2014F","OK","ARICB"," 13494"," 13752"," 16942"," 17915"," 21327"," 23796"," 21911"," 21497"," 21923"," 22781"," 30514"," 34689"," 32130"," 33504"," 36540"," 37661"," 31378"," 30832"," 29098"," 30937"," 32024"," 22249"," 22804"," 28746"," 20523"," 26564"," 21773"," 18111"," 23651"," 18250"," 23279"," 22779"," 19444"," 24696"," 23507"," 21110"," 18326"," 9462"," 17137"," 11410"," 13035"," 29164"," 25827"," 20418"," 27085"," 24967"," 21721"," 28245"," 16658"," 14734"," 15374"," 12362"," 16222"," 13409"," 10799"
"2014F","OK","ARICP"," 2034"," 2072"," 2553"," 2700"," 3214"," 3586"," 3302"," 3239"," 3304"," 3433"," 4598"," 5227"," 4842"," 5049"," 5506"," 5675"," 4728"," 4646"," 4385"," 4662"," 4826"," 3353"," 3436"," 4332"," 3093"," 4003"," 3281"," 2729"," 3564"," 2750"," 3508"," 3433"," 2930"," 3721"," 3542"," 3181"," 2762"," 1426"," 2582"," 1719"," 1964"," 4395"," 3892"," 3077"," 4081"," 3762"," 3273"," 4256"," 2510"," 2220"," 2317"," 1863"," 2445"," 2021"," 1627"
"2014F","OK","ARTCB"," 13494"," 13752"," 16942"," 17915"," 21327"," 23796"," 21911"," 21497"," 21923"," 22781"," 30514"," 34689"," 32130"," 33504"," 36540"," 37661"," 31378"," 30832"," 29098"," 30937"," 32024"," 22249"," 22804"," 28746"," 20523"," 26564"," 21773"," 18111"," 23651"," 18250"," 23279"," 22779"," 19444"," 24696"," 23507"," 21110"," 18326"," 9462"," 17137"," 11410"," 13035"," 29164"," 25827"," 20418"," 27085"," 24967"," 21721"," 28245"," 16658"," 14734"," 15374"," 12362"," 16222"," 13409"," 10799"
"2014F","OK","ARTCP"," 2034"," 2072"," 2553"," 2700"," 3214"," 3586"," 3302"," 3239"," 3304"," 3433"," 4598"," 5227"," 4842"," 5049"," 5506"," 5675"," 4728"," 4646"," 4385"," 4662"," 4826"," 3353"," 3436"," 4332"," 3093"," 4003"," 3281"," 2729"," 3564"," 2750"," 3508"," 3433"," 2930"," 3721"," 3542"," 3181"," 2762"," 1426"," 2582"," 1719"," 1964"," 4395"," 3892"," 3077"," 4081"," 3762"," 3273"," 4256"," 2510"," 2220"," 2317"," 1863"," 2445"," 2021"," 1627"
"2014F","OK","ARTXB"," 13494"," 13752"," 16942"," 17915"," 21327"," 23796"," 21911"," 21497"," 21923"," 22781"," 30514"," 34689"," 32130"," 33504"," 36540"," 37661"," 31378"," 30832"," 29098"," 30937"," 32024"," 22249"," 22804"," 28746"," 20523"," 26564"," 21773"," 18111"," 23651"," 18250"," 23279"," 22779"," 19444"," 24696"," 23507"," 21110"," 18326"," 9462"," 17137"," 11410"," 13035"," 29164"," 25827"," 20418"," 27085"," 24967"," 21721"," 28245"," 16658"," 14734"," 15374"," 12362"," 16222"," 13409"," 10799"
"2014F","OK","ARTXP"," 2034"," 2072"," 2553"," 2700"," 3214"," 3586"," 3302"," 3239"," 3304"," 3433"," 4598"," 5227"," 4842"," 5049"," 5506"," 5675"," 4728"," 4646"," 4385"," 4662"," 4826"," 3353"," 3436"," 4332"," 3093"," 4003"," 3281"," 2729"," 3564"," 2750"," 3508"," 3433"," 2930"," 3721"," 3542"," 3181"," 2762"," 1426"," 2582"," 1719"," 1964"," 4395"," 3892"," 3077"," 4081"," 3762"," 3273"," 4256"," 2510"," 2220"," 2317"," 1863"," 2445"," 2021"," 1627"
"2014F","OK","AVACB"," 2837"," 2437"," 3373"," 3447"," 3617"," 3760"," 3455"," 2569"," 2490"," 2444"," 2261"," 2126"," 2007"," 1955"," 1857"," 1560"," 1515"," 1669"," 1770"," 1552"," 1653"," 1353"," 784"," 609"," 951"," 1097"," 1264"," 903"," 870"," 834"," 738"," 559"," 625"," 527"," 423"," 778"," 593"," 404"," 670"," 513"," 546"," 405"," 610"," 533"," 672"," 324"," 1320"," 259"," 227"," 1238"," 1002"," 940"," 876"," 662"," 267"
"2014F","OK","AVACP"," 562"," 483"," 668"," 683"," 717"," 745"," 684"," 509"," 493"," 484"," 448"," 421"," 398"," 387"," 368"," 309"," 300"," 331"," 351"," 307"," 328"," 268"," 155"," 121"," 188"," 217"," 250"," 179"," 172"," 165"," 146"," 111"," 124"," 104"," 84"," 154"," 117"," 80"," 133"," 102"," 108"," 80"," 121"," 106"," 133"," 64"," 261"," 51"," 45"," 245"," 199"," 186"," 174"," 131"," 53"
"2014F","OK","AVTCB"," 2837"," 2437"," 3373"," 3447"," 3617"," 3760"," 3455"," 2569"," 2490"," 2444"," 2261"," 2126"," 2007"," 1955"," 1857"," 1560"," 1515"," 1669"," 1770"," 1552"," 1653"," 1353"," 784"," 609"," 951"," 1097"," 1264"," 903"," 870"," 834"," 738"," 559"," 625"," 527"," 423"," 778"," 593"," 404"," 670"," 513"," 546"," 405"," 610"," 533"," 672"," 324"," 1320"," 259"," 227"," 1238"," 1002"," 940"," 876"," 662"," 267"
"2014F","OK","AVTCP"," 562"," 483"," 668"," 683"," 717"," 745"," 684"," 509"," 493"," 484"," 448"," 421"," 398"," 387"," 368"," 309"," 300"," 331"," 351"," 307"," 328"," 268"," 155"," 121"," 188"," 217"," 250"," 179"," 172"," 165"," 146"," 111"," 124"," 104"," 84"," 154"," 117"," 80"," 133"," 102"," 108"," 80"," 121"," 106"," 133"," 64"," 261"," 51"," 45"," 245"," 199"," 186"," 174"," 131"," 53"
"2014F","OK","AVTXB"," 2837"," 2437"," 3373"," 3447"," 3617"," 3760"," 3455"," 2569"," 2490"," 2444"," 2261"," 2126"," 2007"," 1955"," 1857"," 1560"," 1515"," 1669"," 1770"," 1552"," 1653"," 1353"," 784"," 609"," 951"," 1097"," 1264"," 903"," 870"," 834"," 738"," 559"," 625"," 527"," 423"," 778"," 593"," 404"," 670"," 513"," 546"," 405"," 610"," 533"," 672"," 324"," 1320"," 259"," 227"," 1238"," 1002"," 940"," 876"," 662"," 267"
"2014F","OK","AVTXP"," 562"," 483"," 668"," 683"," 717"," 745"," 684"," 509"," 493"," 484"," 448"," 421"," 398"," 387"," 368"," 309"," 300"," 331"," 351"," 307"," 328"," 268"," 155"," 121"," 188"," 217"," 250"," 179"," 172"," 165"," 146"," 111"," 124"," 104"," 84"," 154"," 117"," 80"," 133"," 102"," 108"," 80"," 121"," 106"," 133"," 64"," 261"," 51"," 45"," 245"," 199"," 186"," 174"," 131"," 53"
"2014F","OK","BMTCB"," 10185"," 9519"," 8940"," 8642"," 8170"," 7607"," 7729"," 7032"," 7537"," 7239"," 6979"," 6833"," 11704"," 11683"," 11342"," 11997"," 13317"," 14489"," 19149"," 22757"," 11200"," 12156"," 15590"," 13549"," 15471"," 15586"," 14557"," 15280"," 16005"," 25306"," 21420"," 21066"," 19677"," 22946"," 24095"," 24537"," 29277"," 25268"," 24732"," 22772"," 24097"," 24104"," 20642"," 23150"," 26472"," 30123"," 30724"," 32735"," 26019"," 30361"," 39320"," 39133"," 41310"," 42616"," 42870"
"2014F","OK","CLACB"," 11"," 2"," 1"," 1"," 1"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OK","CLACP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OK","CLCCB"," 479"," 307"," 328"," 250"," 192"," 177"," 203"," 153"," 88"," 48"," 57"," 35"," 35"," 43"," 59"," 44"," 51"," 106"," 66"," 308"," 552"," 75"," 291"," 38"," 99"," 54"," 66"," 39"," 137"," 9"," 2"," 21"," 20"," 8"," 22"," 248"," 23"," 4495"," 18"," 35"," 0"," 14"," 21"," 21"," 0"," 19"," 61"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OK","CLCCP"," 21"," 14"," 14"," 11"," 8"," 8"," 9"," 7"," 4"," 2"," 3"," 2"," 2"," 2"," 3"," 2"," 2"," 5"," 3"," 12"," 24"," 3"," 13"," 2"," 5"," 2"," 3"," 2"," 6"," 0"," 0"," 1"," 1"," 0"," 1"," 10"," 1"," 259"," 1"," 2"," 0"," 1"," 1"," 1"," 0"," 1"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OK","CLEIB"," 2"," 236"," 5"," 849"," 232"," 15"," 3"," 3"," 55"," 36"," 24"," 20"," 28"," 52"," 15"," 1"," 0"," 7352"," 35437"," 51795"," 100047"," 143236"," 189292"," 206611"," 215798"," 218842"," 201474"," 227669"," 257273"," 256186"," 266109"," 296622"," 311701"," 328960"," 317306"," 336611"," 356662"," 372025"," 353772"," 343782"," 366888"," 361643"," 376767"," 379431"," 356966"," 381975"," 369332"," 357793"," 377093"," 361213"," 333641"," 366516"," 315553"," 323738"," 322770"
"2014F","OK","CLEIP"," 0"," 10"," 0"," 32"," 9"," 1"," 0"," 0"," 2"," 1"," 1"," 1"," 1"," 2"," 1"," 0"," 0"," 438"," 2075"," 2975"," 5752"," 8368"," 11096"," 12042"," 12541"," 12747"," 11628"," 12861"," 14435"," 14423"," 14957"," 16585"," 17580"," 18722"," 18089"," 19276"," 20402"," 21151"," 20013"," 19567"," 20708"," 20500"," 21365"," 21580"," 20294"," 21952"," 21188"," 20547"," 21957"," 20959"," 19363"," 21307"," 18317"," 18794"," 18743"
"2014F","OK","CLICB"," 645"," 465"," 265"," 241"," 344"," 271"," 220"," 207"," 211"," 0"," 0"," 76"," 75"," 3961"," 4084"," 473"," 1469"," 4881"," 8196"," 8211"," 5600"," 14401"," 14169"," 12639"," 15002"," 18258"," 16386"," 12942"," 11969"," 14131"," 12695"," 16099"," 16611"," 26859"," 16113"," 32993"," 16405"," 15361"," 16272"," 16776"," 14201"," 14454"," 14588"," 14335"," 15127"," 15383"," 15018"," 15422"," 14595"," 12058"," 12406"," 11805"," 11536"," 12188"," 13311"
"2014F","OK","CLICP"," 25"," 18"," 10"," 10"," 14"," 11"," 9"," 8"," 8"," 0"," 0"," 3"," 3"," 170"," 177"," 20"," 69"," 231"," 384"," 391"," 264"," 676"," 669"," 585"," 707"," 852"," 763"," 613"," 563"," 663"," 557"," 676"," 730"," 1198"," 764"," 1455"," 738"," 736"," 698"," 719"," 714"," 724"," 724"," 702"," 714"," 727"," 732"," 747"," 713"," 630"," 650"," 625"," 606"," 634"," 691"
"2014F","OK","CLKCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OK","CLKCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OK","CLOCB"," 645"," 465"," 265"," 241"," 344"," 271"," 220"," 207"," 211"," 0"," 0"," 76"," 75"," 3961"," 4084"," 473"," 1469"," 4881"," 8196"," 8211"," 5600"," 14401"," 14169"," 12639"," 15002"," 18258"," 16386"," 12942"," 11969"," 14131"," 12695"," 16099"," 16611"," 26859"," 16113"," 32993"," 16405"," 15361"," 16272"," 16776"," 14201"," 14454"," 14588"," 14335"," 15127"," 15383"," 15018"," 15422"," 14595"," 12058"," 12406"," 11805"," 11536"," 12188"," 13311"
"2014F","OK","CLOCP"," 25"," 18"," 10"," 10"," 14"," 11"," 9"," 8"," 8"," 0"," 0"," 3"," 3"," 170"," 177"," 20"," 69"," 231"," 384"," 391"," 264"," 676"," 669"," 585"," 707"," 852"," 763"," 613"," 563"," 663"," 557"," 676"," 730"," 1198"," 764"," 1455"," 738"," 736"," 698"," 719"," 714"," 724"," 724"," 702"," 714"," 727"," 732"," 747"," 713"," 630"," 650"," 625"," 606"," 634"," 691"
"2014F","OK","CLRCB"," 689"," 442"," 473"," 345"," 266"," 234"," 269"," 203"," 112"," 61"," 73"," 34"," 27"," 26"," 28"," 19"," 21"," 41"," 20"," 77"," 147"," 16"," 60"," 7"," 23"," 15"," 20"," 12"," 39"," 2"," 0"," 5"," 4"," 2"," 4"," 37"," 3"," 556"," 2"," 5"," 0"," 2"," 3"," 3"," 0"," 2"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OK","CLRCP"," 30"," 19"," 21"," 15"," 12"," 10"," 12"," 9"," 5"," 3"," 3"," 2"," 1"," 1"," 1"," 1"," 1"," 2"," 1"," 3"," 6"," 1"," 3"," 0"," 1"," 1"," 1"," 1"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 32"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OK","CLTCB"," 1826"," 1452"," 1072"," 1685"," 1035"," 697"," 695"," 567"," 465"," 144"," 154"," 164"," 165"," 4085"," 4187"," 537"," 1541"," 12381"," 43718"," 60391"," 106346"," 157728"," 203812"," 219296"," 230922"," 237168"," 217945"," 240662"," 269419"," 270329"," 278807"," 312747"," 328337"," 355829"," 333445"," 369889"," 373093"," 392437"," 370064"," 360598"," 381089"," 376112"," 391379"," 393790"," 372093"," 397379"," 384418"," 373217"," 391688"," 373271"," 346047"," 378320"," 327089"," 335925"," 336080"
"2014F","OK","CLTCP"," 77"," 61"," 46"," 68"," 43"," 30"," 30"," 24"," 20"," 6"," 7"," 7"," 7"," 175"," 181"," 23"," 73"," 675"," 2463"," 3382"," 6046"," 9048"," 11781"," 12629"," 13254"," 13602"," 12395"," 13476"," 15006"," 15086"," 15514"," 17263"," 18311"," 19920"," 18854"," 20742"," 21141"," 22178"," 20711"," 20288"," 21422"," 21224"," 22090"," 22283"," 21008"," 22680"," 21923"," 21295"," 22670"," 21589"," 20013"," 21932"," 18923"," 19428"," 19434"
"2014F","OK","CLTXB"," 1824"," 1216"," 1067"," 836"," 803"," 682"," 693"," 564"," 411"," 108"," 130"," 144"," 137"," 4033"," 4172"," 536"," 1541"," 5029"," 8281"," 8595"," 6299"," 14492"," 14520"," 12684"," 15124"," 18326"," 16471"," 12993"," 12146"," 14143"," 12698"," 16125"," 16636"," 26869"," 16139"," 33278"," 16431"," 20412"," 16292"," 16816"," 14201"," 14470"," 14613"," 14359"," 15127"," 15404"," 15086"," 15424"," 14595"," 12058"," 12406"," 11805"," 11536"," 12188"," 13311"
"2014F","OK","CLTXP"," 77"," 51"," 46"," 36"," 34"," 29"," 30"," 24"," 17"," 5"," 6"," 6"," 6"," 173"," 181"," 23"," 73"," 238"," 388"," 406"," 294"," 680"," 685"," 587"," 712"," 855"," 766"," 616"," 571"," 663"," 557"," 677"," 731"," 1198"," 765"," 1466"," 739"," 1027"," 699"," 721"," 714"," 724"," 725"," 703"," 714"," 728"," 735"," 747"," 713"," 630"," 650"," 625"," 606"," 634"," 691"
