"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","OR","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 1"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OR","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OR","ARICB"," 12075"," 13160"," 13348"," 12861"," 15555"," 13008"," 14822"," 12115"," 12298"," 13465"," 14381"," 18148"," 20845"," 18995"," 17220"," 21353"," 18512"," 18602"," 20108"," 21585"," 16475"," 12204"," 11076"," 14421"," 16714"," 18835"," 14763"," 14203"," 16080"," 18597"," 20083"," 17633"," 21881"," 22091"," 22711"," 18305"," 18219"," 19674"," 27782"," 24212"," 21534"," 14514"," 21450"," 21960"," 23886"," 24300"," 24327"," 18484"," 17346"," 11309"," 10601"," 10810"," 11054"," 9876"," 9918"
"2014F","OR","ARICP"," 1820"," 1983"," 2012"," 1938"," 2344"," 1960"," 2233"," 1826"," 1853"," 2029"," 2167"," 2735"," 3141"," 2862"," 2595"," 3218"," 2790"," 2803"," 3030"," 3253"," 2483"," 1839"," 1669"," 2173"," 2519"," 2838"," 2225"," 2140"," 2423"," 2802"," 3026"," 2657"," 3297"," 3329"," 3422"," 2758"," 2745"," 2965"," 4187"," 3649"," 3245"," 2187"," 3232"," 3309"," 3599"," 3662"," 3666"," 2785"," 2614"," 1704"," 1598"," 1629"," 1666"," 1488"," 1495"
"2014F","OR","ARTCB"," 12075"," 13160"," 13348"," 12861"," 15555"," 13008"," 14822"," 12115"," 12298"," 13465"," 14381"," 18148"," 20845"," 18995"," 17220"," 21353"," 18512"," 18602"," 20108"," 21585"," 16475"," 12204"," 11076"," 14421"," 16714"," 18835"," 14763"," 14203"," 16080"," 18597"," 20083"," 17633"," 21881"," 22091"," 22711"," 18305"," 18219"," 19674"," 27782"," 24212"," 21534"," 14514"," 21450"," 21960"," 23886"," 24300"," 24327"," 18484"," 17346"," 11309"," 10601"," 10810"," 11054"," 9876"," 9918"
"2014F","OR","ARTCP"," 1820"," 1983"," 2012"," 1938"," 2344"," 1960"," 2233"," 1826"," 1853"," 2029"," 2167"," 2735"," 3141"," 2862"," 2595"," 3218"," 2790"," 2803"," 3030"," 3253"," 2483"," 1839"," 1669"," 2173"," 2519"," 2838"," 2225"," 2140"," 2423"," 2802"," 3026"," 2657"," 3297"," 3329"," 3422"," 2758"," 2745"," 2965"," 4187"," 3649"," 3245"," 2187"," 3232"," 3309"," 3599"," 3662"," 3666"," 2785"," 2614"," 1704"," 1598"," 1629"," 1666"," 1488"," 1495"
"2014F","OR","ARTXB"," 12075"," 13160"," 13348"," 12861"," 15555"," 13008"," 14822"," 12115"," 12298"," 13465"," 14381"," 18148"," 20845"," 18995"," 17220"," 21353"," 18512"," 18602"," 20108"," 21585"," 16475"," 12204"," 11076"," 14421"," 16714"," 18835"," 14763"," 14203"," 16080"," 18597"," 20083"," 17633"," 21881"," 22091"," 22711"," 18305"," 18219"," 19674"," 27782"," 24212"," 21534"," 14514"," 21450"," 21960"," 23886"," 24300"," 24327"," 18484"," 17346"," 11309"," 10601"," 10810"," 11054"," 9876"," 9918"
"2014F","OR","ARTXP"," 1820"," 1983"," 2012"," 1938"," 2344"," 1960"," 2233"," 1826"," 1853"," 2029"," 2167"," 2735"," 3141"," 2862"," 2595"," 3218"," 2790"," 2803"," 3030"," 3253"," 2483"," 1839"," 1669"," 2173"," 2519"," 2838"," 2225"," 2140"," 2423"," 2802"," 3026"," 2657"," 3297"," 3329"," 3422"," 2758"," 2745"," 2965"," 4187"," 3649"," 3245"," 2187"," 3232"," 3309"," 3599"," 3662"," 3666"," 2785"," 2614"," 1704"," 1598"," 1629"," 1666"," 1488"," 1495"
"2014F","OR","AVACB"," 3307"," 4296"," 2335"," 1609"," 1516"," 1400"," 1703"," 1655"," 2406"," 946"," 1541"," 833"," 898"," 953"," 1034"," 861"," 851"," 1005"," 976"," 1053"," 1312"," 1106"," 642"," 632"," 632"," 712"," 973"," 639"," 494"," 513"," 611"," 636"," 652"," 553"," 787"," 721"," 964"," 889"," 758"," 810"," 700"," 1142"," 784"," 685"," 639"," 728"," 1028"," 1018"," 935"," 677"," 696"," 652"," 625"," 506"," 463"
"2014F","OR","AVACP"," 655"," 851"," 463"," 319"," 300"," 277"," 337"," 328"," 477"," 187"," 305"," 165"," 178"," 189"," 205"," 171"," 169"," 199"," 193"," 209"," 260"," 219"," 127"," 125"," 125"," 141"," 193"," 127"," 98"," 102"," 121"," 126"," 129"," 110"," 156"," 143"," 191"," 176"," 150"," 160"," 139"," 226"," 155"," 136"," 127"," 144"," 204"," 202"," 185"," 134"," 138"," 129"," 124"," 100"," 92"
