"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","PA","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 226"," 237"," 34"," 4"," 190"," 26"," 2","-52"," 5"," 12","-4"," 8"," 7"," 271"," 262"," 264"," 440"," 191"," 303"," 178"," 284"," 347"," 339"," 481"," 390"," 29"," 80"," 4","-36","-11"," 0"," 0","-13","-5"
"2014F","PA","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 45"," 47"," 7"," 1"," 38"," 5"," 0","-10"," 1"," 2","-1"," 2"," 1"," 54"," 52"," 52"," 87"," 38"," 60"," 35"," 56"," 69"," 67"," 95"," 77"," 6"," 16"," 1","-7","-2"," 0"," 0","-2","-1"
"2014F","PA","ARICB"," 31398"," 31455"," 32242"," 32750"," 35489"," 41151"," 39150"," 42418"," 43749"," 42666"," 43796"," 44197"," 47469"," 46293"," 44317"," 37583"," 41839"," 43591"," 42008"," 42166"," 34162"," 35991"," 35835"," 26442"," 26949"," 32606"," 39523"," 43611"," 36319"," 44582"," 49541"," 41093"," 40052"," 40391"," 50502"," 51814"," 49583"," 46200"," 52358"," 33153"," 48874"," 57696"," 45661"," 51908"," 58282"," 60964"," 58308"," 52365"," 46844"," 44282"," 46840"," 40761"," 38137"," 35053"," 42343"
"2014F","PA","ARICP"," 4731"," 4740"," 4859"," 4935"," 5348"," 6201"," 5900"," 6392"," 6593"," 6429"," 6600"," 6660"," 7153"," 6976"," 6678"," 5663"," 6305"," 6569"," 6330"," 6354"," 5148"," 5424"," 5400"," 3985"," 4061"," 4913"," 5956"," 6572"," 5473"," 6718"," 7466"," 6192"," 6036"," 6087"," 7610"," 7808"," 7472"," 6962"," 7890"," 4996"," 7365"," 8694"," 6881"," 7822"," 8783"," 9187"," 8787"," 7891"," 7059"," 6673"," 7058"," 6142"," 5747"," 5282"," 6381"
"2014F","PA","ARTCB"," 31398"," 31455"," 32242"," 32750"," 35489"," 41151"," 39150"," 42418"," 43749"," 42666"," 43796"," 44197"," 47469"," 46293"," 44317"," 37583"," 41839"," 43591"," 42008"," 42166"," 34162"," 35991"," 35835"," 26442"," 26949"," 32606"," 39523"," 43611"," 36319"," 44582"," 49541"," 41093"," 40052"," 40391"," 50502"," 51814"," 49583"," 46200"," 52358"," 33153"," 48874"," 57696"," 45661"," 51908"," 58282"," 60964"," 58308"," 52365"," 46844"," 44282"," 46840"," 40761"," 38137"," 35053"," 42343"
"2014F","PA","ARTCP"," 4731"," 4740"," 4859"," 4935"," 5348"," 6201"," 5900"," 6392"," 6593"," 6429"," 6600"," 6660"," 7153"," 6976"," 6678"," 5663"," 6305"," 6569"," 6330"," 6354"," 5148"," 5424"," 5400"," 3985"," 4061"," 4913"," 5956"," 6572"," 5473"," 6718"," 7466"," 6192"," 6036"," 6087"," 7610"," 7808"," 7472"," 6962"," 7890"," 4996"," 7365"," 8694"," 6881"," 7822"," 8783"," 9187"," 8787"," 7891"," 7059"," 6673"," 7058"," 6142"," 5747"," 5282"," 6381"
"2014F","PA","ARTXB"," 31398"," 31455"," 32242"," 32750"," 35489"," 41151"," 39150"," 42418"," 43749"," 42666"," 43796"," 44197"," 47469"," 46293"," 44317"," 37583"," 41839"," 43591"," 42008"," 42166"," 34162"," 35991"," 35835"," 26442"," 26949"," 32606"," 39523"," 43611"," 36319"," 44582"," 49541"," 41093"," 40052"," 40391"," 50502"," 51814"," 49583"," 46200"," 52358"," 33153"," 48874"," 57696"," 45661"," 51908"," 58282"," 60964"," 58308"," 52365"," 46844"," 44282"," 46840"," 40761"," 38137"," 35053"," 42343"
"2014F","PA","ARTXP"," 4731"," 4740"," 4859"," 4935"," 5348"," 6201"," 5900"," 6392"," 6593"," 6429"," 6600"," 6660"," 7153"," 6976"," 6678"," 5663"," 6305"," 6569"," 6330"," 6354"," 5148"," 5424"," 5400"," 3985"," 4061"," 4913"," 5956"," 6572"," 5473"," 6718"," 7466"," 6192"," 6036"," 6087"," 7610"," 7808"," 7472"," 6962"," 7890"," 4996"," 7365"," 8694"," 6881"," 7822"," 8783"," 9187"," 8787"," 7891"," 7059"," 6673"," 7058"," 6142"," 5747"," 5282"," 6381"
"2014F","PA","AVACB"," 10066"," 12206"," 9411"," 11424"," 9789"," 9705"," 7595"," 5019"," 4754"," 3873"," 3343"," 3144"," 3024"," 2893"," 2737"," 2150"," 2148"," 2203"," 1926"," 1726"," 1699"," 1404"," 994"," 1062"," 938"," 1050"," 1269"," 744"," 955"," 892"," 730"," 586"," 823"," 757"," 687"," 633"," 613"," 540"," 635"," 1037"," 780"," 618"," 610"," 479"," 477"," 505"," 1098"," 487"," 504"," 350"," 537"," 584"," 613"," 536"," 496"
"2014F","PA","AVACP"," 1994"," 2418"," 1864"," 2263"," 1939"," 1922"," 1505"," 994"," 942"," 767"," 662"," 623"," 599"," 573"," 542"," 426"," 425"," 436"," 382"," 342"," 337"," 278"," 197"," 210"," 186"," 208"," 251"," 147"," 189"," 177"," 145"," 116"," 163"," 150"," 136"," 125"," 121"," 107"," 126"," 205"," 154"," 122"," 121"," 95"," 95"," 100"," 218"," 97"," 100"," 69"," 106"," 116"," 121"," 106"," 98"
"2014F","PA","AVTCB"," 10066"," 12206"," 9411"," 11424"," 9789"," 9705"," 7595"," 5019"," 4754"," 3873"," 3343"," 3144"," 3024"," 2893"," 2737"," 2150"," 2148"," 2203"," 1926"," 1726"," 1699"," 1404"," 994"," 1062"," 938"," 1050"," 1269"," 744"," 955"," 892"," 730"," 586"," 823"," 757"," 687"," 633"," 613"," 540"," 635"," 1037"," 780"," 618"," 610"," 479"," 477"," 505"," 1098"," 487"," 504"," 350"," 537"," 584"," 613"," 536"," 496"
"2014F","PA","AVTCP"," 1994"," 2418"," 1864"," 2263"," 1939"," 1922"," 1505"," 994"," 942"," 767"," 662"," 623"," 599"," 573"," 542"," 426"," 425"," 436"," 382"," 342"," 337"," 278"," 197"," 210"," 186"," 208"," 251"," 147"," 189"," 177"," 145"," 116"," 163"," 150"," 136"," 125"," 121"," 107"," 126"," 205"," 154"," 122"," 121"," 95"," 95"," 100"," 218"," 97"," 100"," 69"," 106"," 116"," 121"," 106"," 98"
"2014F","PA","AVTXB"," 10066"," 12206"," 9411"," 11424"," 9789"," 9705"," 7595"," 5019"," 4754"," 3873"," 3343"," 3144"," 3024"," 2893"," 2737"," 2150"," 2148"," 2203"," 1926"," 1726"," 1699"," 1404"," 994"," 1062"," 938"," 1050"," 1269"," 744"," 955"," 892"," 730"," 586"," 823"," 757"," 687"," 633"," 613"," 540"," 635"," 1037"," 780"," 618"," 610"," 479"," 477"," 505"," 1098"," 487"," 504"," 350"," 537"," 584"," 613"," 536"," 496"
"2014F","PA","AVTXP"," 1994"," 2418"," 1864"," 2263"," 1939"," 1922"," 1505"," 994"," 942"," 767"," 662"," 623"," 599"," 573"," 542"," 426"," 425"," 436"," 382"," 342"," 337"," 278"," 197"," 210"," 186"," 208"," 251"," 147"," 189"," 177"," 145"," 116"," 163"," 150"," 136"," 125"," 121"," 107"," 126"," 205"," 154"," 122"," 121"," 95"," 95"," 100"," 218"," 97"," 100"," 69"," 106"," 116"," 121"," 106"," 98"
"2014F","PA","BMTCB"," 46454"," 45262"," 45730"," 47377"," 47186"," 47374"," 48649"," 48284"," 50587"," 52235"," 53189"," 52414"," 54198"," 56615"," 57537"," 57464"," 66499"," 71749"," 82661"," 94186"," 129198"," 140768"," 130485"," 154832"," 136912"," 138089"," 102041"," 96234"," 100900"," 82469"," 61362"," 69518"," 80199"," 80254"," 84884"," 97525"," 103551"," 95749"," 86439"," 89341"," 90285"," 79033"," 73009"," 74346"," 81872"," 82334"," 84243"," 90620"," 110486"," 124184"," 132240"," 143718"," 141507"," 154219"," 148961"
"2014F","PA","CLACB"," 14588"," 3498"," 3257"," 3229"," 3632"," 3316"," 2984"," 2309"," 2075"," 1444"," 1366"," 925"," 703"," 519"," 365"," 109"," 56"," 39"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","PA","CLACP"," 569"," 137"," 127"," 126"," 142"," 130"," 118"," 92"," 83"," 58"," 57"," 39"," 30"," 22"," 16"," 5"," 2"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","PA","CLCCB"," 89986"," 81807"," 71433"," 66951"," 62870"," 58546"," 50937"," 44514"," 41999"," 37458"," 37521"," 41625"," 34307"," 40547"," 34366"," 29421"," 29007"," 29131"," 35753"," 25353"," 28677"," 35276"," 34822"," 30564"," 30910"," 23569"," 27179"," 30800"," 28068"," 29711"," 26279"," 29068"," 33164"," 25206"," 24629"," 25669"," 21628"," 27303"," 18912"," 15450"," 17427"," 17557"," 12961"," 15294"," 15376"," 14407"," 14269"," 16210"," 5224"," 5026"," 4729"," 4343"," 3286"," 3073"," 3082"
"2014F","PA","CLCCP"," 3639"," 3291"," 2894"," 2767"," 2595"," 2403"," 2100"," 1881"," 1789"," 1602"," 1594"," 1765"," 1464"," 1771"," 1529"," 1308"," 1270"," 1211"," 1474"," 1048"," 1239"," 1480"," 1419"," 1244"," 1238"," 993"," 1104"," 1200"," 1097"," 1130"," 1046"," 1155"," 1333"," 1031"," 983"," 1034"," 875"," 1108"," 749"," 607"," 660"," 698"," 516"," 609"," 612"," 573"," 568"," 645"," 203"," 194"," 184"," 170"," 131"," 119"," 117"
"2014F","PA","CLEIB"," 423304"," 433944"," 462823"," 483638"," 532976"," 558573"," 579258"," 589035"," 630265"," 631458"," 680201"," 755497"," 831838"," 929505"," 821548"," 861419"," 896586"," 870411"," 872810"," 999114"," 1026671"," 953969"," 969039"," 979213"," 997703"," 1019680"," 993785"," 1010980"," 1056287"," 1085137"," 1054707"," 1052143"," 1063557"," 1071266"," 1018319"," 1062368"," 1120748"," 1148998"," 1160622"," 1127767"," 1210638"," 1106489"," 1174928"," 1170418"," 1183875"," 1224911"," 1243073"," 1241611"," 1188571"," 1071057"," 1119758"," 1028374"," 904245"," 905843"," 814266"
"2014F","PA","CLEIP"," 18062"," 18348"," 19423"," 20138"," 22154"," 23182"," 24146"," 24637"," 26414"," 26473"," 29141"," 32238"," 35053"," 38794"," 35052"," 36659"," 37447"," 36451"," 36376"," 41448"," 42466"," 39685"," 39972"," 40046"," 40836"," 41713"," 40589"," 41263"," 43166"," 45051"," 45165"," 44837"," 46212"," 46693"," 45079"," 46895"," 49541"," 50597"," 50810"," 48971"," 52266"," 49297"," 49860"," 50926"," 51698"," 54464"," 55936"," 55712"," 53995"," 48853"," 50888"," 47403"," 41602"," 41992"," 38307"
"2014F","PA","CLICB"," 873137"," 794900"," 837302"," 892197"," 1012748"," 1053277"," 1045754"," 1006286"," 998098"," 910940"," 932138"," 781569"," 769580"," 804232"," 788907"," 743136"," 745321"," 667066"," 653209"," 725458"," 573080"," 498955"," 280503"," 321927"," 426451"," 359171"," 289302"," 330099"," 373940"," 368191"," 382150"," 337637"," 369153"," 385016"," 392353"," 392218"," 398394"," 389967"," 284170"," 269634"," 277873"," 265987"," 267693"," 273988"," 273350"," 250265"," 240538"," 232284"," 227296"," 147854"," 186183"," 180267"," 185646"," 217202"," 221812"
"2014F","PA","CLICP"," 33140"," 30182"," 31824"," 33949"," 38508"," 40010"," 39800"," 38395"," 38084"," 34812"," 35753"," 30078"," 29516"," 30845"," 30285"," 28510"," 28413"," 25405"," 24888"," 27616"," 21877"," 19045"," 10790"," 12319"," 16283"," 13716"," 11080"," 12591"," 14226"," 14016"," 14546"," 12860"," 14041"," 14644"," 14894"," 14885"," 15155"," 14825"," 10691"," 10160"," 10508"," 10079"," 10137"," 10366"," 10418"," 9957"," 9595"," 9264"," 9135"," 6017"," 7498"," 7217"," 6872"," 7908"," 8056"
"2014F","PA","CLKCB"," 589531"," 529758"," 548469"," 595317"," 696781"," 752275"," 742963"," 724166"," 722075"," 678252"," 723567"," 604787"," 622575"," 651288"," 643657"," 601784"," 624487"," 557091"," 539186"," 597495"," 457059"," 396781"," 191042"," 224964"," 309430"," 261612"," 187772"," 224986"," 271923"," 264712"," 280218"," 236151"," 264464"," 276911"," 290763"," 290997"," 286465"," 276940"," 194923"," 180404"," 192244"," 184394"," 192435"," 200749"," 194212"," 182475"," 177191"," 173635"," 168822"," 98453"," 134939"," 132701"," 146749"," 178615"," 184922"
"2014F","PA","CLKCP"," 22009"," 19776"," 20479"," 22232"," 26019"," 28089"," 27743"," 27047"," 26971"," 25337"," 27022"," 22587"," 23255"," 24331"," 24047"," 22477"," 23326"," 20802"," 20130"," 22308"," 17064"," 14814"," 7130"," 8394"," 11546"," 9762"," 7007"," 8395"," 10146"," 9877"," 10456"," 8812"," 9868"," 10333"," 10849"," 10858"," 10689"," 10334"," 7107"," 6578"," 7010"," 6723"," 7017"," 7320"," 7081"," 7020"," 6802"," 6639"," 6494"," 3787"," 5188"," 5100"," 5180"," 6249"," 6475"
"2014F","PA","CLOCB"," 283605"," 265143"," 288833"," 296880"," 315967"," 301002"," 302791"," 282120"," 276023"," 232689"," 208572"," 176782"," 147005"," 152944"," 145250"," 141352"," 120834"," 109976"," 114023"," 127963"," 116021"," 102174"," 89461"," 96963"," 117021"," 97559"," 101530"," 105113"," 102017"," 103479"," 101932"," 101486"," 104689"," 108105"," 101589"," 101221"," 111929"," 113027"," 89248"," 89230"," 85629"," 81593"," 75258"," 73240"," 79138"," 67791"," 63347"," 58649"," 58475"," 49401"," 51244"," 47566"," 38897"," 38587"," 36890"
"2014F","PA","CLOCP"," 11131"," 10406"," 11345"," 11717"," 12489"," 11921"," 12057"," 11348"," 11113"," 9475"," 8731"," 7491"," 6261"," 6514"," 6238"," 6033"," 5088"," 4603"," 4757"," 5307"," 4812"," 4231"," 3661"," 3925"," 4738"," 3953"," 4074"," 4196"," 4080"," 4138"," 4090"," 4049"," 4173"," 4311"," 4044"," 4027"," 4466"," 4492"," 3584"," 3583"," 3498"," 3355"," 3121"," 3046"," 3337"," 2937"," 2792"," 2625"," 2641"," 2230"," 2310"," 2117"," 1692"," 1659"," 1581"
"2014F","PA","CLRCB"," 129493"," 117722"," 102794"," 92456"," 86821"," 77608"," 67521"," 59007"," 53453"," 47674"," 47754"," 39993"," 25881"," 23813"," 16172"," 12609"," 11848"," 11329"," 10679"," 6338"," 7623"," 7744"," 7132"," 5822"," 7250"," 6648"," 8118"," 9200"," 7917"," 7898"," 6570"," 6381"," 7280"," 5533"," 4346"," 3836"," 2949"," 3375"," 2337"," 2107"," 2154"," 2170"," 1767"," 2285"," 1708"," 1253"," 1411"," 1801"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","PA","CLRCP"," 5236"," 4736"," 4165"," 3822"," 3583"," 3185"," 2784"," 2493"," 2277"," 2039"," 2028"," 1696"," 1105"," 1040"," 719"," 561"," 519"," 471"," 440"," 262"," 329"," 325"," 291"," 237"," 290"," 280"," 330"," 358"," 309"," 300"," 262"," 253"," 293"," 226"," 173"," 154"," 119"," 137"," 93"," 83"," 82"," 86"," 70"," 91"," 68"," 50"," 56"," 72"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","PA","CLTCB"," 1530508"," 1431872"," 1477609"," 1538471"," 1699047"," 1751318"," 1746453"," 1701151"," 1725890"," 1628975"," 1698980"," 1619609"," 1662309"," 1798616"," 1661359"," 1646695"," 1682817"," 1577975"," 1572452"," 1756262"," 1636051"," 1495944"," 1291496"," 1337526"," 1462314"," 1409068"," 1318385"," 1381080"," 1466212"," 1490936"," 1469705"," 1425228"," 1473154"," 1487022"," 1439646"," 1484091"," 1543719"," 1569642"," 1466042"," 1414957"," 1508091"," 1392203"," 1457349"," 1461986"," 1474310"," 1490836"," 1499292"," 1491907"," 1421091"," 1223937"," 1310670"," 1212984"," 1093178"," 1126118"," 1039161"
