"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","SD","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","SD","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","SD","ARICB"," 4808"," 5035"," 3728"," 5647"," 5315"," 3903"," 4989"," 4806"," 4733"," 4958"," 5934"," 6399"," 6760"," 8203"," 5740"," 5721"," 4901"," 3724"," 5186"," 5264"," 4231"," 3501"," 4235"," 3541"," 5343"," 5583"," 5408"," 4474"," 5826"," 5152"," 5244"," 5098"," 5888"," 4270"," 4176"," 5447"," 7540"," 8986"," 8590"," 12470"," 11498"," 7024"," 6860"," 8802"," 7705"," 12015"," 11025"," 6917"," 7848"," 6996"," 8223"," 5149"," 7939"," 4738"," 4574"
"2014F","SD","ARICP"," 724"," 759"," 562"," 851"," 801"," 588"," 752"," 724"," 713"," 747"," 894"," 964"," 1019"," 1236"," 865"," 862"," 739"," 561"," 782"," 793"," 638"," 528"," 638"," 534"," 805"," 841"," 815"," 674"," 878"," 776"," 790"," 768"," 887"," 644"," 629"," 821"," 1136"," 1354"," 1294"," 1879"," 1733"," 1058"," 1034"," 1326"," 1161"," 1811"," 1661"," 1042"," 1183"," 1054"," 1239"," 776"," 1196"," 714"," 689"
"2014F","SD","ARTCB"," 4808"," 5035"," 3728"," 5647"," 5315"," 3903"," 4989"," 4806"," 4733"," 4958"," 5934"," 6399"," 6760"," 8203"," 5740"," 5721"," 4901"," 3724"," 5186"," 5264"," 4231"," 3501"," 4235"," 3541"," 5343"," 5583"," 5408"," 4474"," 5826"," 5152"," 5244"," 5098"," 5888"," 4270"," 4176"," 5447"," 7540"," 8986"," 8590"," 12470"," 11498"," 7024"," 6860"," 8802"," 7705"," 12015"," 11025"," 6917"," 7848"," 6996"," 8223"," 5149"," 7939"," 4738"," 4574"
"2014F","SD","ARTCP"," 724"," 759"," 562"," 851"," 801"," 588"," 752"," 724"," 713"," 747"," 894"," 964"," 1019"," 1236"," 865"," 862"," 739"," 561"," 782"," 793"," 638"," 528"," 638"," 534"," 805"," 841"," 815"," 674"," 878"," 776"," 790"," 768"," 887"," 644"," 629"," 821"," 1136"," 1354"," 1294"," 1879"," 1733"," 1058"," 1034"," 1326"," 1161"," 1811"," 1661"," 1042"," 1183"," 1054"," 1239"," 776"," 1196"," 714"," 689"
"2014F","SD","ARTXB"," 4808"," 5035"," 3728"," 5647"," 5315"," 3903"," 4989"," 4806"," 4733"," 4958"," 5934"," 6399"," 6760"," 8203"," 5740"," 5721"," 4901"," 3724"," 5186"," 5264"," 4231"," 3501"," 4235"," 3541"," 5343"," 5583"," 5408"," 4474"," 5826"," 5152"," 5244"," 5098"," 5888"," 4270"," 4176"," 5447"," 7540"," 8986"," 8590"," 12470"," 11498"," 7024"," 6860"," 8802"," 7705"," 12015"," 11025"," 6917"," 7848"," 6996"," 8223"," 5149"," 7939"," 4738"," 4574"
"2014F","SD","ARTXP"," 724"," 759"," 562"," 851"," 801"," 588"," 752"," 724"," 713"," 747"," 894"," 964"," 1019"," 1236"," 865"," 862"," 739"," 561"," 782"," 793"," 638"," 528"," 638"," 534"," 805"," 841"," 815"," 674"," 878"," 776"," 790"," 768"," 887"," 644"," 629"," 821"," 1136"," 1354"," 1294"," 1879"," 1733"," 1058"," 1034"," 1326"," 1161"," 1811"," 1661"," 1042"," 1183"," 1054"," 1239"," 776"," 1196"," 714"," 689"
"2014F","SD","AVACB"," 534"," 378"," 528"," 727"," 668"," 649"," 804"," 745"," 645"," 508"," 502"," 417"," 444"," 375"," 442"," 387"," 375"," 401"," 395"," 410"," 488"," 521"," 539"," 495"," 429"," 440"," 429"," 405"," 448"," 447"," 470"," 310"," 311"," 266"," 244"," 234"," 266"," 241"," 168"," 297"," 256"," 210"," 147"," 173"," 193"," 154"," 257"," 255"," 174"," 108"," 148"," 161"," 163"," 146"," 167"
"2014F","SD","AVACP"," 106"," 75"," 105"," 144"," 132"," 128"," 159"," 148"," 128"," 101"," 99"," 83"," 88"," 74"," 87"," 77"," 74"," 79"," 78"," 81"," 97"," 103"," 107"," 98"," 85"," 87"," 85"," 80"," 89"," 88"," 93"," 61"," 62"," 53"," 48"," 46"," 53"," 48"," 33"," 59"," 51"," 42"," 29"," 34"," 38"," 31"," 51"," 50"," 34"," 21"," 29"," 32"," 32"," 29"," 33"
