"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","VT","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","VT","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","VT","ARICB"," 1486"," 1554"," 1553"," 1351"," 1039"," 1138"," 2148"," 1957"," 2194"," 1857"," 1797"," 1960"," 812"," 724"," 660"," 185"," 177"," 220"," 117"," 499"," 282"," 327"," 489"," 419"," 1502"," 2187"," 2778"," 3258"," 2630"," 3007"," 177"," 3497"," 2224"," 204"," 1529"," 1682"," 1927"," 5256"," 1077"," 1153"," 1100"," 1971"," 1161"," 620"," 3082"," 960"," 822"," 2152"," 262"," 3999"," 4993"," 4690"," 4632"," 5001"," 4710"
"2014F","VT","ARICP"," 224"," 234"," 234"," 204"," 157"," 171"," 324"," 295"," 331"," 280"," 271"," 295"," 122"," 109"," 99"," 28"," 27"," 33"," 18"," 75"," 43"," 49"," 74"," 63"," 226"," 330"," 419"," 491"," 396"," 453"," 27"," 527"," 335"," 31"," 230"," 253"," 290"," 792"," 162"," 174"," 166"," 297"," 175"," 93"," 464"," 145"," 124"," 324"," 39"," 603"," 752"," 707"," 698"," 754"," 710"
"2014F","VT","ARTCB"," 1486"," 1554"," 1553"," 1351"," 1039"," 1138"," 2148"," 1957"," 2194"," 1857"," 1797"," 1960"," 812"," 724"," 660"," 185"," 177"," 220"," 117"," 499"," 282"," 327"," 489"," 419"," 1502"," 2187"," 2778"," 3258"," 2630"," 3007"," 177"," 3497"," 2224"," 204"," 1529"," 1682"," 1927"," 5256"," 1077"," 1153"," 1100"," 1971"," 1161"," 620"," 3082"," 960"," 822"," 2152"," 262"," 3999"," 4993"," 4690"," 4632"," 5001"," 4710"
"2014F","VT","ARTCP"," 224"," 234"," 234"," 204"," 157"," 171"," 324"," 295"," 331"," 280"," 271"," 295"," 122"," 109"," 99"," 28"," 27"," 33"," 18"," 75"," 43"," 49"," 74"," 63"," 226"," 330"," 419"," 491"," 396"," 453"," 27"," 527"," 335"," 31"," 230"," 253"," 290"," 792"," 162"," 174"," 166"," 297"," 175"," 93"," 464"," 145"," 124"," 324"," 39"," 603"," 752"," 707"," 698"," 754"," 710"
"2014F","VT","ARTXB"," 1486"," 1554"," 1553"," 1351"," 1039"," 1138"," 2148"," 1957"," 2194"," 1857"," 1797"," 1960"," 812"," 724"," 660"," 185"," 177"," 220"," 117"," 499"," 282"," 327"," 489"," 419"," 1502"," 2187"," 2778"," 3258"," 2630"," 3007"," 177"," 3497"," 2224"," 204"," 1529"," 1682"," 1927"," 5256"," 1077"," 1153"," 1100"," 1971"," 1161"," 620"," 3082"," 960"," 822"," 2152"," 262"," 3999"," 4993"," 4690"," 4632"," 5001"," 4710"
"2014F","VT","ARTXP"," 224"," 234"," 234"," 204"," 157"," 171"," 324"," 295"," 331"," 280"," 271"," 295"," 122"," 109"," 99"," 28"," 27"," 33"," 18"," 75"," 43"," 49"," 74"," 63"," 226"," 330"," 419"," 491"," 396"," 453"," 27"," 527"," 335"," 31"," 230"," 253"," 290"," 792"," 162"," 174"," 166"," 297"," 175"," 93"," 464"," 145"," 124"," 324"," 39"," 603"," 752"," 707"," 698"," 754"," 710"
"2014F","VT","AVACB"," 97"," 77"," 139"," 150"," 121"," 126"," 120"," 104"," 86"," 77"," 70"," 58"," 58"," 60"," 43"," 53"," 44"," 40"," 30"," 21"," 124"," 83"," 96"," 128"," 86"," 110"," 137"," 107"," 85"," 84"," 75"," 78"," 75"," 61"," 57"," 60"," 51"," 61"," 52"," 61"," 204"," 221"," 52"," 46"," 106"," 129"," 83"," 82"," 52"," 57"," 45"," 42"," 42"," 33"," 22"
"2014F","VT","AVACP"," 19"," 15"," 28"," 30"," 24"," 25"," 24"," 21"," 17"," 15"," 14"," 12"," 11"," 12"," 8"," 11"," 9"," 8"," 6"," 4"," 25"," 16"," 19"," 25"," 17"," 22"," 27"," 21"," 17"," 17"," 15"," 15"," 15"," 12"," 11"," 12"," 10"," 12"," 10"," 12"," 40"," 44"," 10"," 9"," 21"," 26"," 16"," 16"," 10"," 11"," 9"," 8"," 8"," 7"," 4"
