"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","WV","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 5"," 1"," 0"," 4"," 1"," 0","-1"," 0"," 0"," 0"," 0"," 0"," 5"," 4"," 5"," 7"," 3"," 5"," 4"," 7"," 9"," 9"," 12"," 10"," 1"," 2"," 0","-1"," 0"," 0"," 0"," 0"," 0"
"2014F","WV","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","WV","ARICB"," 6093"," 5146"," 5337"," 4718"," 5466"," 6016"," 4952"," 3347"," 5181"," 4499"," 5729"," 6627"," 6889"," 6046"," 5411"," 6262"," 7011"," 5904"," 7663"," 7720"," 4756"," 4908"," 4398"," 2708"," 3171"," 2852"," 3750"," 3560"," 5835"," 5389"," 4830"," 3503"," 3649"," 2832"," 4589"," 4244"," 6266"," 7679"," 8145"," 5058"," 5218"," 4793"," 8433"," 4752"," 4124"," 3958"," 5835"," 5837"," 10213"," 7596"," 7912"," 9666"," 8815"," 7233"," 6252"
"2014F","WV","ARICP"," 918"," 775"," 804"," 711"," 824"," 907"," 746"," 504"," 781"," 678"," 863"," 999"," 1038"," 911"," 815"," 944"," 1056"," 890"," 1155"," 1163"," 717"," 740"," 663"," 408"," 478"," 430"," 565"," 537"," 879"," 812"," 728"," 528"," 550"," 427"," 692"," 639"," 944"," 1157"," 1227"," 762"," 786"," 722"," 1271"," 716"," 621"," 596"," 879"," 880"," 1539"," 1145"," 1192"," 1457"," 1328"," 1090"," 942"
"2014F","WV","ARTCB"," 6093"," 5146"," 5337"," 4718"," 5466"," 6016"," 4952"," 3347"," 5181"," 4499"," 5729"," 6627"," 6889"," 6046"," 5411"," 6262"," 7011"," 5904"," 7663"," 7720"," 4756"," 4908"," 4398"," 2708"," 3171"," 2852"," 3750"," 3560"," 5835"," 5389"," 4830"," 3503"," 3649"," 2832"," 4589"," 4244"," 6266"," 7679"," 8145"," 5058"," 5218"," 4793"," 8433"," 4752"," 4124"," 3958"," 5835"," 5837"," 10213"," 7596"," 7912"," 9666"," 8815"," 7233"," 6252"
"2014F","WV","ARTCP"," 918"," 775"," 804"," 711"," 824"," 907"," 746"," 504"," 781"," 678"," 863"," 999"," 1038"," 911"," 815"," 944"," 1056"," 890"," 1155"," 1163"," 717"," 740"," 663"," 408"," 478"," 430"," 565"," 537"," 879"," 812"," 728"," 528"," 550"," 427"," 692"," 639"," 944"," 1157"," 1227"," 762"," 786"," 722"," 1271"," 716"," 621"," 596"," 879"," 880"," 1539"," 1145"," 1192"," 1457"," 1328"," 1090"," 942"
"2014F","WV","ARTXB"," 6093"," 5146"," 5337"," 4718"," 5466"," 6016"," 4952"," 3347"," 5181"," 4499"," 5729"," 6627"," 6889"," 6046"," 5411"," 6262"," 7011"," 5904"," 7663"," 7720"," 4756"," 4908"," 4398"," 2708"," 3171"," 2852"," 3750"," 3560"," 5835"," 5389"," 4830"," 3503"," 3649"," 2832"," 4589"," 4244"," 6266"," 7679"," 8145"," 5058"," 5218"," 4793"," 8433"," 4752"," 4124"," 3958"," 5835"," 5837"," 10213"," 7596"," 7912"," 9666"," 8815"," 7233"," 6252"
"2014F","WV","ARTXP"," 918"," 775"," 804"," 711"," 824"," 907"," 746"," 504"," 781"," 678"," 863"," 999"," 1038"," 911"," 815"," 944"," 1056"," 890"," 1155"," 1163"," 717"," 740"," 663"," 408"," 478"," 430"," 565"," 537"," 879"," 812"," 728"," 528"," 550"," 427"," 692"," 639"," 944"," 1157"," 1227"," 762"," 786"," 722"," 1271"," 716"," 621"," 596"," 879"," 880"," 1539"," 1145"," 1192"," 1457"," 1328"," 1090"," 942"
"2014F","WV","AVACB"," 598"," 177"," 64"," 1297"," 1081"," 1012"," 1168"," 874"," 795"," 499"," 395"," 339"," 302"," 307"," 313"," 291"," 293"," 309"," 299"," 296"," 327"," 159"," 116"," 220"," 197"," 195"," 251"," 177"," 194"," 193"," 181"," 167"," 0"," 129"," 131"," 137"," 161"," 112"," 151"," 113"," 102"," 174"," 137"," 120"," 147"," 451"," 184"," 183"," 108"," 152"," 123"," 116"," 112"," 94"," 67"
"2014F","WV","AVACP"," 119"," 35"," 13"," 257"," 214"," 201"," 231"," 173"," 157"," 99"," 78"," 67"," 60"," 61"," 62"," 58"," 58"," 61"," 59"," 59"," 65"," 32"," 23"," 44"," 39"," 39"," 50"," 35"," 38"," 38"," 36"," 33"," 0"," 26"," 26"," 27"," 32"," 22"," 30"," 22"," 20"," 35"," 27"," 24"," 29"," 89"," 37"," 36"," 21"," 30"," 24"," 23"," 22"," 19"," 13"
