"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","WY","ABICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 67"," 55"," 8"," 1"," 42"," 6"," 0","-12"," 1"," 3","-1"," 1"," 1"," 52"," 46"," 59"," 76"," 33"," 52"," 33"," 53"," 67"," 68"," 95"," 78"," 6"," 16"," 1","-8","-2"," 0"," 0","-4","-1"
"2014F","WY","ABICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 13"," 11"," 2"," 0"," 8"," 1"," 0","-2"," 0"," 1"," 0"," 0"," 0"," 10"," 9"," 12"," 15"," 7"," 10"," 7"," 10"," 13"," 13"," 19"," 15"," 1"," 3"," 0","-2"," 0"," 0"," 0","-1"," 0"
"2014F","WY","ARICB"," 4873"," 4291"," 4212"," 4287"," 4680"," 4934"," 4064"," 3797"," 6740"," 5449"," 7293"," 8263"," 7059"," 6519"," 4357"," 4019"," 5133"," 8604"," 10925"," 6960"," 7700"," 6478"," 6027"," 2627"," 8114"," 11122"," 10646"," 9747"," 6943"," 6129"," 6334"," 6742"," 5125"," 5014"," 5983"," 4413"," 5542"," 6448"," 5685"," 8144"," 9733"," 7273"," 2906"," 6022"," 3792"," 3501"," 1443"," 2600"," 4611"," 7601"," 7957"," 9248"," 9291"," 7669"," 7666"
"2014F","WY","ARICP"," 734"," 647"," 635"," 646"," 705"," 743"," 612"," 572"," 1016"," 821"," 1099"," 1245"," 1064"," 982"," 657"," 606"," 773"," 1297"," 1646"," 1049"," 1160"," 976"," 908"," 396"," 1223"," 1676"," 1604"," 1469"," 1046"," 924"," 955"," 1016"," 772"," 756"," 902"," 665"," 835"," 972"," 857"," 1227"," 1467"," 1096"," 438"," 907"," 571"," 528"," 217"," 392"," 695"," 1145"," 1199"," 1394"," 1400"," 1156"," 1155"
"2014F","WY","ARTCB"," 4873"," 4291"," 4212"," 4287"," 4680"," 4934"," 4064"," 3797"," 6740"," 5449"," 7293"," 8263"," 7059"," 6519"," 4357"," 4019"," 5133"," 8604"," 10925"," 6960"," 7700"," 6478"," 6027"," 2627"," 8114"," 11122"," 10646"," 9747"," 6943"," 6129"," 6334"," 6742"," 5125"," 5014"," 5983"," 4413"," 5542"," 6448"," 5685"," 8144"," 9733"," 7273"," 2906"," 6022"," 3792"," 3501"," 1443"," 2600"," 4611"," 7601"," 7957"," 9248"," 9291"," 7669"," 7666"
"2014F","WY","ARTCP"," 734"," 647"," 635"," 646"," 705"," 743"," 612"," 572"," 1016"," 821"," 1099"," 1245"," 1064"," 982"," 657"," 606"," 773"," 1297"," 1646"," 1049"," 1160"," 976"," 908"," 396"," 1223"," 1676"," 1604"," 1469"," 1046"," 924"," 955"," 1016"," 772"," 756"," 902"," 665"," 835"," 972"," 857"," 1227"," 1467"," 1096"," 438"," 907"," 571"," 528"," 217"," 392"," 695"," 1145"," 1199"," 1394"," 1400"," 1156"," 1155"
"2014F","WY","ARTXB"," 4873"," 4291"," 4212"," 4287"," 4680"," 4934"," 4064"," 3797"," 6740"," 5449"," 7293"," 8263"," 7059"," 6519"," 4357"," 4019"," 5133"," 8604"," 10925"," 6960"," 7700"," 6478"," 6027"," 2627"," 8114"," 11122"," 10646"," 9747"," 6943"," 6129"," 6334"," 6742"," 5125"," 5014"," 5983"," 4413"," 5542"," 6448"," 5685"," 8144"," 9733"," 7273"," 2906"," 6022"," 3792"," 3501"," 1443"," 2600"," 4611"," 7601"," 7957"," 9248"," 9291"," 7669"," 7666"
"2014F","WY","ARTXP"," 734"," 647"," 635"," 646"," 705"," 743"," 612"," 572"," 1016"," 821"," 1099"," 1245"," 1064"," 982"," 657"," 606"," 773"," 1297"," 1646"," 1049"," 1160"," 976"," 908"," 396"," 1223"," 1676"," 1604"," 1469"," 1046"," 924"," 955"," 1016"," 772"," 756"," 902"," 665"," 835"," 972"," 857"," 1227"," 1467"," 1096"," 438"," 907"," 571"," 528"," 217"," 392"," 695"," 1145"," 1199"," 1394"," 1400"," 1156"," 1155"
"2014F","WY","AVACB"," 667"," 463"," 803"," 1218"," 1195"," 1094"," 1458"," 1312"," 1494"," 1520"," 1294"," 1300"," 1323"," 1296"," 1239"," 1100"," 1119"," 1260"," 1492"," 1604"," 547"," 428"," 302"," 276"," 290"," 257"," 253"," 257"," 267"," 194"," 178"," 142"," 126"," 101"," 165"," 904"," 1076"," 764"," 762"," 1179"," 1401"," 1057"," 1219"," 1089"," 1084"," 1250"," 1262"," 960"," 1243"," 1166"," 150"," 140"," 122"," 108"," 155"
"2014F","WY","AVACP"," 132"," 92"," 159"," 241"," 237"," 217"," 289"," 260"," 296"," 301"," 256"," 258"," 262"," 257"," 245"," 218"," 222"," 250"," 296"," 318"," 108"," 85"," 60"," 55"," 57"," 51"," 50"," 51"," 53"," 39"," 35"," 28"," 25"," 20"," 33"," 179"," 213"," 151"," 151"," 234"," 277"," 209"," 241"," 216"," 215"," 248"," 250"," 190"," 246"," 231"," 30"," 28"," 24"," 21"," 31"
"2014F","WY","AVTCB"," 667"," 463"," 803"," 1218"," 1195"," 1094"," 1458"," 1312"," 1494"," 1520"," 1294"," 1300"," 1323"," 1296"," 1239"," 1100"," 1119"," 1260"," 1492"," 1604"," 547"," 428"," 302"," 276"," 290"," 257"," 253"," 257"," 267"," 194"," 178"," 142"," 126"," 101"," 165"," 904"," 1076"," 764"," 762"," 1179"," 1401"," 1057"," 1219"," 1089"," 1084"," 1250"," 1262"," 960"," 1243"," 1166"," 150"," 140"," 122"," 108"," 155"
"2014F","WY","AVTCP"," 132"," 92"," 159"," 241"," 237"," 217"," 289"," 260"," 296"," 301"," 256"," 258"," 262"," 257"," 245"," 218"," 222"," 250"," 296"," 318"," 108"," 85"," 60"," 55"," 57"," 51"," 50"," 51"," 53"," 39"," 35"," 28"," 25"," 20"," 33"," 179"," 213"," 151"," 151"," 234"," 277"," 209"," 241"," 216"," 215"," 248"," 250"," 190"," 246"," 231"," 30"," 28"," 24"," 21"," 31"
