"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","AK","CLACK"," 19.428"," 19.401"," 19.392"," 19.365"," 19.338"," 19.257"," 19.131"," 18.996"," 18.978"," 18.743"," 18.14"," 17.887"," 17.797"," 17.834"," 17.703"," 17.684"," 17.734"," 17.717"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 15.8"," 15.8"," 0"," 15.8"," 15.848"," 15.71"," 15.71"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AK","CLEIK"," 17.729"," 17.704"," 17.706"," 17.682"," 17.386"," 17.858"," 17.658"," 17.447"," 17.237"," 17.026"," 17.08"," 17.24"," 17.4"," 17.4"," 17.4"," 17.4"," 17.4"," 17.4"," 17.4"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 16.901"," 16.658"," 16.571"," 16.534"," 16.135"," 16.264"," 16.041"," 15.277"," 15.306"," 15.085"," 14.457"," 14.546"," 14.538"," 14.599"," 14.748"," 14.674"," 15.109"
"2014F","AK","CLHCK"," 18.906"," 18.891"," 18.885"," 18.869"," 18.854"," 18.807"," 18.735"," 18.657"," 18.647"," 18.513"," 18.165"," 18.02"," 17.969"," 17.989"," 17.703"," 17.683"," 17.734"," 17.658"," 0"," 0"," 0"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 0"," 0"," 0"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.8"," 15.848"," 15.71"," 15.6"," 15.6"," 15.6"," 15.6"," 15.6"," 15.6"," 15.6"," 15.6"," 15.6"," 15.28"," 15.356"," 15.302"," 15.184"," 15.268"," 15.272"," 15.278"
"2014F","AK","CLKCK"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AK","CLOCK"," 19.428"," 19.401"," 19.392"," 19.365"," 19.338"," 19.257"," 19.131"," 18.996"," 18.978"," 18.743"," 18.14"," 17.887"," 17.797"," 17.834"," 17.703"," 17.684"," 17.734"," 17.717"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 15.8"," 16.465"," 0"," 15.8"," 15.848"," 15.71"," 15.71"," 15.71"," 15.6"," 15.6"," 15.6"," 15.6"," 15.6"," 15.6"," 15.6"," 15.6"," 15.6"," 15.6"," 15.6"," 15.268"," 15.272"," 15.278"
"2014F","AK","NGEIK"," 0"," 0"," 0"," 1.011"," 1.01"," 1.01"," 1"," 1"," 1.005"," 1.005"," 1.005"," 1.005"," 1.006"," 1.006"," 1.006"," 1.006"," 1.006"," 1.006"," 1.006"," 1.006"," 1.006"," 1.005"," 1.006"," 1.006"," 1.006"," 1.006"," 1.006"," 1.006"," 1.006"," 1.027"," 1.027"," 1.003"," 1.002"," 1.001"," 1.001"," 1.003"," 1.002"," 1.002"," 1.003"," 1.002"," 1.003"," 1.004"," 1.009"," 1.004"," 1.007"," 1.006"," 1.007"," 1.007"," 1.006"," 1.006"," 1.006"," 1.015"," 1.013"," 1.002"," 1.001"
"2014F","AK","NGTCK"," 1.035"," 1.035"," 1.035"," 1.011"," 1.01"," 1.01"," 1"," 1"," 1.005"," 1.005"," 1.005"," 1.005"," 1.005"," 1.01"," 1.005"," 1.005"," 1.005"," 1.005"," 1"," 1"," 1.003"," 1.004"," 1"," 1.002"," 1.002"," 1.006"," 1.009"," 1.009"," 1.004"," .999"," .954"," 1.002"," 1.002"," .994"," 1.001"," 1.006"," .99"," 1"," .999"," 1"," 1.025"," 1.01"," 1.004"," 1.004"," 1.004"," 1.004"," 1.005"," 1.006"," 1.006"," 1.005"," 1.005"," 1.013"," 1.012"," 1.002"," 1.002"
"2014F","AK","NGTXK"," 1.035"," 1.035"," 1.035"," 1.011"," 1.01"," 1.01"," 1"," 1"," 1.005"," 1.005"," 1.005"," 1.005"," 1.005"," 1.011"," 1.005"," 1.005"," 1.005"," 1.005"," .999"," .999"," 1.002"," 1.004"," .999"," 1.001"," 1.001"," 1.006"," 1.01"," 1.009"," 1.004"," .996"," .946"," 1.002"," 1.002"," .993"," 1.001"," 1.006"," .989"," 1"," .999"," 1"," 1.027"," 1.011"," 1.004"," 1.004"," 1.004"," 1.004"," 1.005"," 1.006"," 1.006"," 1.005"," 1.005"," 1.013"," 1.012"," 1.002"," 1.002"
"2014F","AL","CLACK"," 25.215"," 25.179"," 25.168"," 25.133"," 25.098"," 24.992"," 24.829"," 24.653"," 24.63"," 24.325"," 23.543"," 23.215"," 23.098"," 23.145"," 22.976"," 22.997"," 23.447"," 23.466"," 23.817"," 24.032"," 24.119"," 24.219"," 24.2"," 24.142"," 24.284"," 24.387"," 24.618"," 24.795"," 24.641"," 24.393"," 24.679"," 24.581"," 24.643"," 24.536"," 24.656"," 24.848"," 24.785"," 24.679"," 24.875"," 24.875"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AL","CLEIK"," 24.126"," 23.932"," 23.912"," 23.654"," 23.542"," 23.704"," 23.82"," 23.786"," 23.738"," 23.588"," 23.314"," 22.75"," 23.124"," 23.068"," 22.911"," 23.164"," 23.136"," 23.17"," 23.632"," 23.754"," 23.912"," 23.998"," 24.041"," 23.972"," 24.059"," 24.111"," 24.349"," 24.445"," 24.328"," 24.322"," 24.299"," 24.31"," 24.251"," 24.272"," 24.213"," 23.718"," 23.625"," 23.24"," 23.117"," 22.191"," 22.062"," 21.892"," 22.452"," 21.793"," 21.475"," 21.613"," 21.541"," 21.674"," 21.261"," 20.714"," 20.974"," 20.818"," 20.593"," 20.025"," 20.444"
"2014F","AL","CLHCK"," 24.91"," 24.889"," 24.882"," 24.861"," 24.841"," 24.779"," 24.684"," 24.581"," 24.568"," 24.391"," 23.933"," 23.742"," 23.674"," 23.701"," 23.324"," 23.52"," 23.618"," 23.507"," 23.946"," 24.013"," 24.042"," 24.226"," 24.316"," 24.155"," 24.305"," 24.407"," 24.64"," 25.092"," 25.793"," 24.473"," 24.629"," 24.647"," 24.204"," 24.25"," 24.456"," 24.646"," 24.638"," 24.642"," 25.476"," 25.883"," 25.45"," 18.845"," 24.232"," 24.224"," 24.224"," 25.13"," 24.295"," 25.195"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","AL","CLKCK"," 26.785"," 26.785"," 26.779"," 26.771"," 26.773"," 26.776"," 26.776"," 26.77"," 26.767"," 26.769"," 26.776"," 26.776"," 26.773"," 26.765"," 26.762"," 26.77"," 26.768"," 26.776"," 26.78"," 26.779"," 26.781"," 26.787"," 26.792"," 26.785"," 26.789"," 26.769"," 26.775"," 26.795"," 26.792"," 26.802"," 26.793"," 26.797"," 26.794"," 26.799"," 26.799"," 26.8"," 26.8"," 26.8"," 27.426"," 27.426"," 27.426"," 27.426"," 27.426"," 27.426"," 27.426"," 26.188"," 26.28"," 26.227"," 26.276"," 26.287"," 26.292"," 26.209"," 29.03"," 28.889"," 28.746"
