"Data_Status","State","MSN","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","AK","GDPRX",38645.00,37203.00,36953.00,36316.00,37879.00,38937.00,38654.00,40316.00,41333.00,43999.00,46195.00,46289.00,49564.00,48372.00,49646.00,51764.00,49261.00,48584.00
"2014F","AL","GDPRX",137292.00,142164.00,147565.00,149931.00,151326.00,155364.00,159136.00,168280.00,172954.00,175303.00,175717.00,175446.00,169370.00,173424.00,175257.00,177042.00,179772.00,182547.00
"2014F","AR","GDPRX",79358.00,81084.00,85395.00,85980.00,85928.00,88456.00,92197.00,96422.00,99164.00,102170.00,102367.00,103279.00,100430.00,103650.00,105629.00,105951.00,108110.00,109722.00
"2014F","AZ","GDPRX",163278.00,177093.00,192409.00,202443.00,206929.00,212446.00,224518.00,232596.00,250714.00,265270.00,272480.00,264612.00,242918.00,245573.00,249822.00,255008.00,257189.00,263394.00
"2014F","CA","GDPRX",1341724.00,1428885.00,1536125.00,1652517.00,1647129.00,1687874.00,1755591.00,1828813.00,1901614.00,1962843.00,1993436.00,2005756.00,1915723.00,1934796.00,1961342.00,2006817.00,2056259.00,2102951.00
"2014F","CO","GDPRX",175399.00,190059.00,203744.00,218789.00,222470.00,223756.00,225798.00,229918.00,240250.00,244319.00,249398.00,253266.00,249975.00,253110.00,256019.00,260905.00,266014.00,279400.00
"2014F","CT","GDPRX",183443.00,189545.00,194393.00,206910.00,208896.00,208077.00,211965.00,225720.00,229454.00,237018.00,246009.00,237169.00,226572.00,228918.00,227319.00,227751.00,226717.00,228901.00
"2014F","DC","GDPRX",74802.00,75935.00,79471.00,79946.00,83837.00,86014.00,88145.00,91572.00,92997.00,94945.00,97231.00,100333.00,99234.00,102027.00,104039.00,104249.00,103537.00,105806.00
"2014F","DE","GDPRX",43103.00,45123.00,48586.00,50325.00,51210.00,49971.00,52226.00,55655.00,56572.00,58013.00,57547.00,54229.00,56155.00,56411.00,57105.00,56178.00,55299.00,56891.00
"2014F","FL","GDPRX",540851.00,567318.00,592429.00,616350.00,633590.00,658590.00,686428.00,724870.00,773156.00,800043.00,803205.00,770350.00,723187.00,723851.00,718974.00,731428.00,748666.00,769153.00
"2014F","GA","GDPRX",317149.00,338829.00,361866.00,374476.00,378501.00,380469.00,387960.00,398224.00,413606.00,420279.00,427669.00,420501.00,405469.00,405434.00,411068.00,415646.00,422401.00,433775.00
"2014F","HI","GDPRX",53493.00,51809.00,52501.00,53462.00,53357.00,54930.00,57446.00,61112.00,64348.00,65938.00,66994.00,67496.00,65004.00,66640.00,67696.00,68710.00,69163.00,69436.00
"2014F","IA","GDPRX",107879.00,108800.00,111083.00,116692.00,114508.00,117743.00,122911.00,132518.00,135767.00,137341.00,142236.00,138969.00,136744.00,139817.00,143119.00,148627.00,150146.00,152558.00
"2014F","ID","GDPRX",35576.00,37139.00,40805.00,45501.00,44273.00,45390.00,46853.00,49148.00,52118.00,54913.00,56297.00,56723.00,54015.00,54730.00,54600.00,54413.00,55817.00,57339.00
"2014F","IL","GDPRX",555807.00,573324.00,592614.00,612693.00,611166.00,613128.00,622499.00,637962.00,648720.00,666103.00,673057.00,658958.00,641143.00,646152.00,658409.00,669665.00,663012.00,669378.00
