"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","AK","TPOPP",229.00,238.00,246.00,256.00,263.00,271.00,271.00,278.00,285.00,296.00,304.00,316.00,324.00,331.00,341.00,376.00,401.00,403.00,405.00,403.00,405.00,418.00,450.00,488.00,514.00,532.00,544.00,539.00,542.00,547.00,553.00,570.00,589.00,599.00,603.00,604.00,609.00,613.00,620.00,625.00,628.00,634.00,642.00,648.00,659.00,667.00,675.00,680.00,687.00,699.00,714.00,723.00,731.00,737.00,737.00
"2014F","AL","TPOPP",3274.00,3316.00,3323.00,3358.00,3395.00,3443.00,3464.00,3458.00,3446.00,3440.00,3451.00,3497.00,3539.00,3580.00,3626.00,3679.00,3735.00,3780.00,3832.00,3866.00,3900.00,3919.00,3925.00,3934.00,3952.00,3973.00,3992.00,4015.00,4024.00,4030.00,4050.00,4099.00,4154.00,4214.00,4260.00,4297.00,4331.00,4368.00,4405.00,4430.00,4452.00,4468.00,4480.00,4503.00,4531.00,4570.00,4629.00,4673.00,4718.00,4758.00,4785.00,4801.00,4816.00,4831.00,4846.00
"2014F","AR","TPOPP",1789.00,1806.00,1853.00,1875.00,1897.00,1894.00,1899.00,1901.00,1902.00,1913.00,1932.00,1972.00,2019.00,2059.00,2101.00,2160.00,2170.00,2209.00,2243.00,2271.00,2289.00,2293.00,2294.00,2306.00,2320.00,2327.00,2332.00,2342.00,2343.00,2346.00,2357.00,2383.00,2416.00,2456.00,2494.00,2535.00,2572.00,2601.00,2626.00,2652.00,2679.00,2692.00,2706.00,2725.00,2750.00,2781.00,2822.00,2849.00,2875.00,2897.00,2922.00,2939.00,2949.00,2958.00,2967.00
"2014F","AZ","TPOPP",1321.00,1407.00,1471.00,1521.00,1556.00,1584.00,1614.00,1646.00,1682.00,1737.00,1792.00,1896.00,2008.00,2124.00,2223.00,2285.00,2346.00,2425.00,2515.00,2636.00,2738.00,2810.00,2890.00,2969.00,3067.00,3184.00,3308.00,3437.00,3535.00,3622.00,3684.00,3789.00,3916.00,4065.00,4245.00,4432.00,4587.00,4737.00,4883.00,5024.00,5161.00,5273.00,5396.00,5510.00,5652.00,5839.00,6029.00,6168.00,6280.00,6343.00,6408.00,6469.00,6553.00,6631.00,6729.00
"2014F","CA","TPOPP",15870.00,16497.00,17072.00,17668.00,18151.00,18585.00,18858.00,19176.00,19394.00,19711.00,20007.00,20346.00,20585.00,20869.00,21174.00,21538.00,21936.00,22352.00,22836.00,23257.00,23801.00,24286.00,24820.00,25360.00,25844.00,26441.00,27102.00,27777.00,28464.00,29218.00,29960.00,30471.00,30975.00,31275.00,31484.00,31697.00,32019.00,32486.00,32988.00,33499.00,33988.00,34479.00,34872.00,35253.00,35575.00,35828.00,36021.00,36250.00,36604.00,36961.00,37334.00,37700.00,38056.00,38414.00,38792.00
"2014F","CO","TPOPP",1769.00,1844.00,1899.00,1936.00,1970.00,1985.00,2007.00,2053.00,2120.00,2166.00,2223.00,2304.00,2405.00,2496.00,2541.00,2586.00,2632.00,2696.00,2767.00,2849.00,2909.00,2978.00,3062.00,3134.00,3170.00,3209.00,3237.00,3260.00,3262.00,3276.00,3308.00,3387.00,3496.00,3614.00,3724.00,3827.00,3920.00,4018.00,4117.00,4226.00,4327.00,4426.00,4490.00,4529.00,4575.00,4632.00,4720.00,4804.00,4890.00,4972.00,5048.00,5119.00,5192.00,5271.00,5356.00
"2014F","CT","TPOPP",2544.00,2586.00,2647.00,2727.00,2798.00,2857.00,2903.00,2935.00,2964.00,3000.00,3041.00,3061.00,3069.00,3068.00,3074.00,3082.00,3083.00,3086.00,3092.00,3096.00,3113.00,3129.00,3139.00,3162.00,3180.00,3201.00,3224.00,3247.00,3272.00,3283.00,3292.00,3303.00,3301.00,3309.00,3316.00,3324.00,3337.00,3349.00,3365.00,3386.00,3412.00,3433.00,3459.00,3484.00,3496.00,3507.00,3517.00,3527.00,3546.00,3562.00,3580.00,3590.00,3594.00,3597.00,3595.00
"2014F","DC","TPOPP",765.00,778.00,788.00,798.00,798.00,797.00,791.00,791.00,778.00,762.00,756.00,750.00,742.00,731.00,718.00,707.00,692.00,677.00,665.00,650.00,638.00,637.00,634.00,632.00,633.00,635.00,638.00,637.00,630.00,624.00,605.00,601.00,598.00,595.00,589.00,581.00,572.00,568.00,565.00,570.00,572.00,575.00,573.00,569.00,568.00,567.00,571.00,574.00,580.00,592.00,605.00,620.00,635.00,650.00,660.00
"2014F","DE","TPOPP",449.00,461.00,469.00,483.00,497.00,507.00,516.00,525.00,534.00,540.00,551.00,565.00,573.00,578.00,581.00,587.00,590.00,592.00,595.00,595.00,595.00,596.00,599.00,605.00,612.00,618.00,628.00,637.00,648.00,658.00,670.00,683.00,695.00,706.00,718.00,730.00,741.00,751.00,763.00,775.00,786.00,796.00,806.00,818.00,831.00,845.00,859.00,872.00,884.00,892.00,900.00,908.00,917.00,925.00,936.00
"2014F","FL","TPOPP",5004.00,5243.00,5458.00,5628.00,5781.00,5954.00,6104.00,6242.00,6433.00,6641.00,6848.00,7158.00,7511.00,7914.00,8299.00,8518.00,8667.00,8856.00,9102.00,9426.00,9840.00,10193.00,10471.00,10750.00,11040.00,11351.00,11668.00,11997.00,12306.00,12638.00,13033.00,13370.00,13651.00,13927.00,14239.00,14538.00,14853.00,15186.00,15487.00,15759.00,16048.00,16357.00,16689.00,17004.00,17415.00,17842.00,18167.00,18368.00,18527.00,18653.00,18850.00,19106.00,19352.00,19594.00,19906.00
