"U.S. liquid fuels supply, 1970-2035 ",,
million barrels per day ,,
Year,Supply,Consumption
1970,11.5366274,14.6971863
1971,11.5110274,15.21249315
1972,11.84806284,16.36698361
1973,11.28280274,17.30767945
1974,10.76104932,16.65270959
1975,10.47563836,16.3219589
1976,10.3714153,17.46106557
1977,9.866876712,18.43141918
1978,10.84501096,18.84662192
1979,10.52724932,18.51253973
1980,10.69125137,17.05586066
1981,10.65661096,16.05769589
1982,10.99751781,15.29572055
1983,10.91910685,15.23113425
1984,11.01015027,15.72561475
1985,11.44028219,15.72641918
1986,10.84169863,16.2806274
1987,10.75099452,16.66504658
1988,10.69677049,17.28331148
1989,10.12340274,17.32515342
1990,9.827608219,16.98849589
1991,10.08802192,16.71383562
1992,10.09483607,17.03285519
1993,9.619646575,17.23673151
1994,9.664882192,17.7181589
1995,9.839961644,17.72458904
1996,9.811860656,18.30890437
1997,9.462421918,18.62030411
1998,9.153789041,18.91713973
1999,9.607090411,19.51933699
2000,9.282333333,19.7010765
2001,8.749350685,19.64870685
2002,9.216043836,19.76130411
2003,8.796473973,20.03350685
2004,8.643849727,20.73115027
2005,8.262117808,20.80216164
2006,8.345306849,20.68741918
2007,8.664608219,20.68037808
2008,8.39518306,19.49796448
2009,9.105438356,18.7714
2010,9.703142466,19.14814521
2011,10.27619863,18.929552
2012,10.313828,19.04373
2013,10.51062686,18.935324
2014,10.76347731,19.112619
2015,10.99547144,19.20447
2016,11.43862822,19.33213
2017,11.56384659,19.41589
2018,11.70713102,19.439642
2019,11.89976719,19.455433
2020,12.11191017,19.448631
2021,12.17834337,19.439316
2022,12.2197633,19.440424
2023,12.14934633,19.413809
2024,12.13696281,19.423857
2025,12.16386121,19.459621
2026,12.17735045,19.492172
2027,12.19779302,19.524233
2028,12.31903711,19.571642
2029,12.5261323,19.613894
2030,12.67234194,19.675329
2031,12.66127277,19.767115
2032,12.73546031,19.84959
2033,12.85095964,19.905411
2034,12.84749414,19.986345
2035,12.84911936,20.079077
