"Daily electric load curve in ISO-New England,",,,,,
"January 1, 2011-October 31, 2011 ",,,,,
megawatts ,,,,,
Year,Month,Day,Hour,Week Day,Load
11,1,1,1,Saturday,12214
11,1,1,2,Saturday,11573
11,1,1,3,Saturday,11114
11,1,1,4,Saturday,10863
11,1,1,5,Saturday,10827
11,1,1,6,Saturday,11005
11,1,1,7,Saturday,11415
11,1,1,8,Saturday,11753
11,1,1,9,Saturday,12435
11,1,1,10,Saturday,13073
11,1,1,11,Saturday,13558
11,1,1,12,Saturday,13726
11,1,1,13,Saturday,13708
11,1,1,14,Saturday,13522
11,1,1,15,Saturday,13373
11,1,1,16,Saturday,13574
11,1,1,17,Saturday,14858
11,1,1,18,Saturday,15895
11,1,1,19,Saturday,15753
11,1,1,20,Saturday,15331
11,1,1,21,Saturday,14817
11,1,1,22,Saturday,14105
11,1,1,23,Saturday,13136
11,1,1,24,Saturday,12055
11,1,2,1,Sunday,11149
11,1,2,2,Sunday,10553
11,1,2,3,Sunday,10235
11,1,2,4,Sunday,10126
11,1,2,5,Sunday,10179
11,1,2,6,Sunday,10446
11,1,2,7,Sunday,10975
11,1,2,8,Sunday,11615
11,1,2,9,Sunday,12539
11,1,2,10,Sunday,13477
11,1,2,11,Sunday,14033
11,1,2,12,Sunday,14323
11,1,2,13,Sunday,14448
11,1,2,14,Sunday,14374
11,1,2,15,Sunday,14266
11,1,2,16,Sunday,14421
11,1,2,17,Sunday,15708
11,1,2,18,Sunday,16803
11,1,2,19,Sunday,16657
11,1,2,20,Sunday,16213
11,1,2,21,Sunday,15586
11,1,2,22,Sunday,14579
11,1,2,23,Sunday,13386
11,1,2,24,Sunday,12270
11,1,3,1,Monday,11594
11,1,3,2,Monday,11216
11,1,3,3,Monday,11113
11,1,3,4,Monday,11223
11,1,3,5,Monday,11635
11,1,3,6,Monday,12841
11,1,3,7,Monday,14927
11,1,3,8,Monday,16135
11,1,3,9,Monday,16352
11,1,3,10,Monday,16512
11,1,3,11,Monday,16640
11,1,3,12,Monday,16652
11,1,3,13,Monday,16505
11,1,3,14,Monday,16361
11,1,3,15,Monday,16213
11,1,3,16,Monday,16378
11,1,3,17,Monday,17635
11,1,3,18,Monday,19139
11,1,3,19,Monday,19029
11,1,3,20,Monday,18558
11,1,3,21,Monday,17867
11,1,3,22,Monday,16662
11,1,3,23,Monday,15122
11,1,3,24,Monday,13719
11,1,4,1,Tuesday,12833
11,1,4,2,Tuesday,12422
11,1,4,3,Tuesday,12260
11,1,4,4,Tuesday,12285
