date,time,Bonneville load (kW),"interchange (net transfers out of Bonneville system, kW)"
27-May-11,0:00,5197,7561
27-May-11,0:05,5174,7542
27-May-11,0:10,5137,7544
27-May-11,0:15,5121,7481
27-May-11,0:20,5093,7329
27-May-11,0:25,5104,7315
27-May-11,0:30,5102,7314
27-May-11,0:35,5077,7316
27-May-11,0:40,5079,7266
27-May-11,0:45,5085,7294
27-May-11,0:50,5078,7292
27-May-11,0:55,5066,7329
27-May-11,1:00,5014,7374
27-May-11,1:05,5056,7455
27-May-11,1:10,5038,7414
27-May-11,1:15,5025,7368
27-May-11,1:20,5001,7441
27-May-11,1:25,5020,7445
27-May-11,1:30,5015,7418
27-May-11,1:35,4997,7439
27-May-11,1:40,5007,7424
27-May-11,1:45,5017,7422
27-May-11,1:50,4988,7419
27-May-11,1:55,5014,7360
27-May-11,2:00,5017,7251
27-May-11,2:05,5022,7191
27-May-11,2:10,5013,7106
27-May-11,2:15,5025,7053
27-May-11,2:20,5008,7002
27-May-11,2:25,4996,6961
27-May-11,2:30,4987,7075
27-May-11,2:35,4993,7088
27-May-11,2:40,4970,7126
27-May-11,2:45,4959,7127
27-May-11,2:50,4988,7079
27-May-11,2:55,4954,7137
27-May-11,3:00,4976,7232
27-May-11,3:05,4974,7298
27-May-11,3:10,4986,7418
27-May-11,3:15,4995,7363
27-May-11,3:20,4999,7364
27-May-11,3:25,5014,7331
27-May-11,3:30,4981,7397
27-May-11,3:35,5020,7404
27-May-11,3:40,5028,7366
27-May-11,3:45,5032,7352
27-May-11,3:50,5018,7369
27-May-11,3:55,5021,7372
27-May-11,4:00,5069,7377
27-May-11,4:05,5084,7479
27-May-11,4:10,5102,7522
27-May-11,4:15,5106,7591
27-May-11,4:20,5131,7616
27-May-11,4:25,5147,7556
27-May-11,4:30,5170,7561
27-May-11,4:35,5214,7497
27-May-11,4:40,5208,7559
27-May-11,4:45,5253,7554
27-May-11,4:50,5272,7510
27-May-11,4:55,5315,7537
27-May-11,5:00,5331,7370
27-May-11,5:05,5401,7382
27-May-11,5:10,5445,7371
27-May-11,5:15,5493,7365
27-May-11,5:20,5542,7358
27-May-11,5:25,5567,7366
27-May-11,5:30,5588,7356
