Quarterly U.S. coal consumption and exports,,,,
thousand short tons ,,,,
Year,Quarter,Total Exports,Total Imports,Domestic Consumption
2005,1,10129.405,7607.101,278274
2005,2,14803.046,7233.087,263732
2005,3,12619.905,7832.411,303668
2005,4,12389.855,7787.75,280303
2006,1,10659.164,8957.76,272730
2006,2,12590.31,7955.97,261207
2006,3,13539.545,10399.441,300677
2006,4,12858.25,8932.805,277677
2007,1,11139.386,8786.122,278519
2007,2,14701.934,8405.118,267502
2007,3,16197.591,10558.672,304324
2007,4,17124.192,8596.935,278491
2008,1,15801.578,7640.114,284984
2008,2,23068.506,8982.038,267304
2008,3,20320.529,8484.544,299022
2008,4,22328.502,9100.983,269237
2009,1,13334.822,6324.553,254383
2009,2,12950.726,5426.482,231110
2009,3,15158.611,5440.873,259621
2009,4,17652.792,5446.607,252363
2010,1,17806.595,4803.161,265281
2010,2,21964.969,5058.116,248298
2010,3,21074.094,4680.131,287132
2010,4,20870.017,4811.279,250596
2011,1,26617.157,3380.777,254583
2011,2,26986.514,3419.145,241686
2011,3,25975.612,3587.841,279660
2011,4,27679.278,2699.843,227136
