Coal exports by major U.S. seaports,,
(short tons) ,,
"Baltimore, MD",,
,Coking,Steam
2000,501025,5598045
2005,586027,4433960
2010,11839534,2017765
Jan-Aug 2011,10123837,2680151
,,
"Detroit, MI",,
,Coking,Steam
2000,61542,1142280
2005,177414,8456023
2010,160896,6187802
Jan-Aug 2011,9323,1227071
,,
"Mobile, AL",,
,Coking,Steam
2000,5954975,94933
2005,6672165,644676
2010,9374154,352788
Jan-Aug 2011,6299732,474174
,,
"New Orleans, LA",,
,Coking,Steam
2000,337610,939660
2005,1291814,584362
2010,2662821,6692541
Jan-Aug 2011,3911727,9863620
,,
"Seattle, WA",,
,Coking,Steam
2000,0,1913
2005,0,4167
2010,0,3500204
Jan-Aug 2011,,3481451
,,
"Norfolk, VA",,
,Coking,Steam
2000,21781931,214818
2005,14936291,129819
2010,28482491,3537884
Jan-Aug 2011,23259285,4659386
