Top five coal producing nations,,,,,,,,,,,
thousand short tons,,,,,,,,,,,
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
China,1271545.916,1405509.815,1551257.423,1863742.852,2299746.678,2500893.148,2573897.025,2781131.56,3086471.807,3362049.647,3661272.065
United States,1073611.561,1127688.806,1094283.061,1071752.573,1112098.87,1131498.099,1162749.659,1146635.345,1171808.669,1072751.787,1085281.186
India,370018.3656,388674.9854,395625.0585,420525.1698,446683.0184,473266.3591,500192.5187,531521.3098,568447.6381,611444.395,626730.5048
Australia,338103.1448,362855.5464,374673.4265,376619.006,388230.7539,404925.2594,405046.5137,430104.2555,438471.901,440088.9918,448890.7716
Indonesia,84540.66741,102053.088,114109.0673,133152.5984,157170.8606,188176.6745,249699.9784,287227.0663,301586.8764,332372.2281,395522.9514
,,,,,,,,,,,
World,4893712.85,5161782.559,5274655.485,5666886.554,6222845.685,6553212.47,6773332.146,7088001.269,7504524.234,7679787.333,8103200.511
Top 5,3137819.654,3386782.241,3529948.036,3865792.199,4403930.181,4698759.54,4891585.694,5176619.537,5566786.891,5818707.048,6217697.479
Rest of world,1755893.196,1775000.318,1744707.448,1801094.355,1818915.504,1854452.93,1881746.451,1911381.732,1937737.343,1861080.285,1885503.032
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
