Monthly U.S. coal stockpile levels at electric power plants  ,,,,,,,
million  short tons ,,,,,,,
,2006,2007,2008,2009,2010,2011,2012
Jan,105400657,136376784,146972684,156075239,178091097,164840439,181620876
Feb,105985589,133468410,142782006,160600799,171025848,161439209,186958190
Mar,112141358,141388690,146497086,174222814,177741587,166737431,196390968
Apr,125096612,149657373,154029273,185790344,189260269,173998596,
May,133840760,154735171,159408415,195103402,191668986,174618618,
Jun,135733732,154812135,152542197,195655837,181489676,165706526,
Jul,127893696,145450041,142572230,193562749,169504360,147967034,
Aug,123883988,140667746,139351847,191531706,159987344,139224625,
Sep,126871541,142665524,143903317,197208096,163775651,144437733,
Oct,134941311,150075071,155658954,199476596,175686467,156906073,
Nov,140441542,154291963,163390189,203765023,183388507,168353863,
Dec,140964439,151221161,161588607,189466761,174917260,175099527,
