DATE,ERCOT Peak Load (MW),ERCOT 2011 Forecast Peak Load,ERCOT 2010 Peak Load Record
8/31/2011,"64,474.",63531,65776
8/30/2011,"65,396.",,
8/29/2011,"65,166.",,
8/28/2011,"65,159.",,
8/27/2011,"65,101.",,
8/26/2011,"64,842.",,
8/25/2011,"60,861.",,
8/24/2011,"66,552.",,
8/23/2011,"67,136.",,
8/22/2011,"66,390.",,
8/21/2011,"62,432.",,
8/20/2011,"64,149.",,
8/19/2011,"67,486.",,
8/18/2011,"67,776.",,
8/17/2011,"66,876.",,
8/16/2011,"66,337.",,
8/15/2011,"65,437.",,
8/14/2011,"59,003.",,
8/13/2011,"53,595.",,
8/12/2011,"65,282.",,
8/11/2011,"63,434.",,
8/10/2011,"66,805.",,
8/9/2011,"67,606.",,
8/8/2011,"66,844.",,
8/7/2011,"62,715.",,
8/6/2011,"63,167.",,
8/5/2011,"66,661.",,
8/4/2011,"66,849.",,
8/3/2011,"68,294.",,
8/2/2011,"67,929.",,
8/1/2011,"66,867.",,
7/31/2011,"61,632.",,
7/30/2011,"58,940.",,
7/29/2011,"60,563.",,
7/28/2011,"63,788.",,
