Day,Hour,Day,order,Hourly day-ahead price,Daily on-peak price,Weighted Average Monthly Price
8/1/2011,1,1,1,30.21,111,188
8/1/2011,2,1,2,26.92,111,188
8/1/2011,3,1,3,25.16,111,188
8/1/2011,4,1,4,23.93,111,188
8/1/2011,5,1,5,23.44,111,188
8/1/2011,6,1,6,25.66,111,188
8/1/2011,7,1,7,26.43,111,188
8/1/2011,8,1,8,27.61,111,188
8/1/2011,9,1,9,28.73,111,188
8/1/2011,10,1,10,34.59,111,188
8/1/2011,11,1,11,38.52,111,188
8/1/2011,12,1,12,50,111,188
8/1/2011,13,1,13,59.25,111,188
8/1/2011,14,1,14,87.11,111,188
8/1/2011,15,1,15,270.96,111,188
8/1/2011,16,1,16,325,111,188
8/1/2011,17,1,17,319.7,111,188
8/1/2011,18,1,18,247.89,111,188
8/1/2011,19,1,19,105.61,111,188
8/1/2011,20,1,20,56.65,111,188
8/1/2011,21,1,21,51.76,111,188
8/1/2011,22,1,22,45,111,188
8/1/2011,23,1,23,40.17,111,188
8/1/2011,24,1,24,34,111,188
8/2/2011,1,2,25,30.02,127,188
8/2/2011,2,2,26,26.73,127,188
8/2/2011,3,2,27,24.65,127,188
8/2/2011,4,2,28,22.91,127,188
8/2/2011,5,2,29,23,127,188
8/2/2011,6,2,30,25.01,127,188
8/2/2011,7,2,31,27.01,127,188
8/2/2011,8,2,32,28.03,127,188
8/2/2011,9,2,33,30.07,127,188
8/2/2011,10,2,34,36.12,127,188
8/2/2011,11,2,35,41.76,127,188
8/2/2011,12,2,36,55.63,127,188
8/2/2011,13,2,37,68.99,127,188
8/2/2011,14,2,38,120,127,188
8/2/2011,15,2,39,300.19,127,188
8/2/2011,16,2,40,389.81,127,188
8/2/2011,17,2,41,377.33,127,188
8/2/2011,18,2,42,268.58,127,188
8/2/2011,19,2,43,121,127,188
8/2/2011,20,2,44,66.52,127,188
8/2/2011,21,2,45,53.68,127,188
8/2/2011,22,2,46,47.35,127,188
8/2/2011,23,2,47,40.17,127,188
8/2/2011,24,2,48,34,127,188
8/3/2011,1,3,49,30.71,204,188
8/3/2011,2,3,50,26.55,204,188
8/3/2011,3,3,51,25.03,204,188
8/3/2011,4,3,52,23.44,204,188
8/3/2011,5,3,53,23.07,204,188
8/3/2011,6,3,54,25,204,188
8/3/2011,7,3,55,27.01,204,188
8/3/2011,8,3,56,28.63,204,188
8/3/2011,9,3,57,30.14,204,188
8/3/2011,10,3,58,35.03,204,188
8/3/2011,11,3,59,42.94,204,188
8/3/2011,12,3,60,55.02,204,188
8/3/2011,13,3,61,69.98,204,188
8/3/2011,14,3,62,196.35,204,188
8/3/2011,15,3,63,514.88,204,188
8/3/2011,16,3,64,675.23,204,188
8/3/2011,17,3,65,636.11,204,188
8/3/2011,18,3,66,514.78,204,188
8/3/2011,19,3,67,248.67,204,188
8/3/2011,20,3,68,76.29,204,188
8/3/2011,21,3,69,61.22,204,188
8/3/2011,22,3,70,54.07,204,188
8/3/2011,23,3,71,42.59,204,188
8/3/2011,24,3,72,35.29,204,188
8/4/2011,1,4,73,31.83,488,188
8/4/2011,2,4,74,27.43,488,188
8/4/2011,3,4,75,25.72,488,188
8/4/2011,4,4,76,24.34,488,188
8/4/2011,5,4,77,23.76,488,188
8/4/2011,6,4,78,26.45,488,188
8/4/2011,7,4,79,27,488,188
8/4/2011,8,4,80,29.12,488,188
8/4/2011,9,4,81,28.79,488,188
8/4/2011,10,4,82,34.63,488,188
8/4/2011,11,4,83,42,488,188
8/4/2011,12,4,84,58.15,488,188
8/4/2011,13,4,85,65.23,488,188
8/4/2011,14,4,86,305.12,488,188
8/4/2011,15,4,87,1500,488,188
8/4/2011,16,4,88,1789.5,488,188
8/4/2011,17,4,89,1850,488,188
8/4/2011,18,4,90,1425.17,488,188
8/4/2011,19,4,91,450.35,488,188
8/4/2011,20,4,92,93.76,488,188
8/4/2011,21,4,93,60.07,488,188
