"Ethanol share of U.S. motor gasoline, January 2009-August 2011 ",
percent volume,
Jan 2009,7.355%
Feb 2009,6.867%
Mar 2009,7.110%
Apr 2009,7.616%
May 2009,8.054%
Jun 2009,7.999%
Jul 2009,8.220%
Aug 2009,8.215%
Sep 2009,8.198%
Oct 2009,8.646%
Nov 2009,8.894%
Dec 2009,8.715%
Jan 2010,8.987%
Feb 2010,9.272%
Mar 2010,8.972%
Apr 2010,9.017%
May 2010,9.177%
Jun 2010,9.515%
Jul 2010,9.282%
Aug 2010,9.305%
Sep 2010,9.233%
Oct 2010,9.589%
Nov 2010,9.812%
Dec 2010,9.758%
Jan 2011,9.369%
Feb 2011,9.845%
Mar 2011,9.424%
Apr 2011,9.267%
May 2011,9.707%
Jun 2011,9.981%
Jul 2011,9.010%
Aug 2011,10.184%
