, National Avg Retail Gasoline ,,,,, Cost per Mile ,
, Nominal , Real ,, MPG ,, Nominal , Real 
Jan-2000, 1.29 ,1.73,, 20.8 ,, 0.06 ,0.08
Feb-2000, 1.38 ,1.84,, 20.1 ,, 0.07 ,0.09
Mar-2000, 1.52 ,2.02,, 21.9 ,, 0.07 ,0.09
Apr-2000, 1.46 ,1.95,, 22.0 ,, 0.07 ,0.09
May-2000, 1.49 ,1.97,, 21.9 ,, 0.07 ,0.09
Jun-2000, 1.63 ,2.16,, 22.3 ,, 0.07 ,0.10
Jul-2000, 1.55 ,2.05,, 22.2 ,, 0.07 ,0.09
Aug-2000, 1.46 ,1.93,, 21.8 ,, 0.07 ,0.09
Sep-2000, 1.55 ,2.03,, 21.7 ,, 0.07 ,0.09
Oct-2000, 1.53 ,2.01,, 22.0 ,, 0.07 ,0.09
Nov-2000, 1.52 ,1.98,, 21.5 ,, 0.07 ,0.09
Dec-2000, 1.44 ,1.88,, 19.7 ,, 0.07 ,0.10
Jan-2001, 1.45 ,1.88,, 20.4 ,, 0.07 ,0.09
Feb-2001, 1.45 ,1.88,, 21.3 ,, 0.07 ,0.09
Mar-2001, 1.41 ,1.82,, 21.5 ,, 0.07 ,0.08
Apr-2001, 1.55 ,2.00,, 22.1 ,, 0.07 ,0.09
May-2001, 1.70 ,2.19,, 22.3 ,, 0.08 ,0.10
Jun-2001, 1.62 ,2.07,, 22.9 ,, 0.07 ,0.09
Jul-2001, 1.42 ,1.82,, 21.9 ,, 0.06 ,0.08
Aug-2001, 1.42 ,1.82,, 22.3 ,, 0.06 ,0.08
Sep-2001, 1.52 ,1.95,, 21.6 ,, 0.07 ,0.09
Oct-2001, 1.32 ,1.69,, 22.0 ,, 0.06 ,0.08
Nov-2001, 1.17 ,1.50,, 21.7 ,, 0.05 ,0.07
Dec-2001, 1.09 ,1.39,, 21.1 ,, 0.05 ,0.07
Jan-2002, 1.11 ,1.42,, 20.7 ,, 0.05 ,0.07
Feb-2002, 1.11 ,1.42,, 21.2 ,, 0.05 ,0.07
Mar-2002, 1.25 ,1.59,, 21.6 ,, 0.06 ,0.07
Apr-2002, 1.40 ,1.78,, 22.1 ,, 0.06 ,0.08
May-2002, 1.39 ,1.76,, 21.9 ,, 0.06 ,0.08
Jun-2002, 1.38 ,1.75,, 22.1 ,, 0.06 ,0.08
Jul-2002, 1.40 ,1.77,, 22.2 ,, 0.06 ,0.08
Aug-2002, 1.40 ,1.76,, 22.0 ,, 0.06 ,0.08
Sep-2002, 1.40 ,1.76,, 22.0 ,, 0.06 ,0.08
Oct-2002, 1.45 ,1.82,, 22.0 ,, 0.07 ,0.08
Nov-2002, 1.42 ,1.78,, 21.3 ,, 0.07 ,0.08
Dec-2002, 1.39 ,1.73,, 20.8 ,, 0.07 ,0.08
Jan-2003, 1.46 ,1.81,, 20.6 ,, 0.07 ,0.09
