,Consumer Price,Motor Gasoline Price ($/gallon),
Month,Index (1982-84=1),Nominal,Real
January 1976,0.557,0.61,2.47
February 1976,0.559,0.60,2.44
March 1976,0.561,0.59,2.41
April 1976,0.562,0.59,2.40
May 1976,0.564,0.60,2.42
June 1976,0.566,0.62,2.48
July 1976,0.570,0.62,2.49
August 1976,0.573,0.63,2.49
September 1976,0.576,0.63,2.49
October 1976,0.578,0.63,2.48
November 1976,0.581,0.63,2.46
December 1976,0.585,0.63,2.44
January 1977,0.588,0.63,2.43
February 1977,0.592,0.64,2.45
March 1977,0.595,0.64,2.46
April 1977,0.599,0.65,2.47
May 1977,0.602,0.66,2.49
June 1977,0.605,0.67,2.50
July 1977,0.608,0.67,2.50
August 1977,0.611,0.67,2.49
September 1977,0.614,0.67,2.47
October 1977,0.616,0.67,2.46
November 1977,0.620,0.66,2.44
December 1977,0.623,0.67,2.43
January 1978,0.626,0.65,2.36
February 1978,0.630,0.65,2.34
March 1978,0.635,0.65,2.32
April 1978,0.640,0.65,2.31
May 1978,0.645,0.66,2.31
June 1978,0.650,0.66,2.32
July 1978,0.655,0.67,2.34
August 1978,0.660,0.68,2.35
September 1978,0.665,0.69,2.36
October 1978,0.670,0.69,2.35
November 1978,0.675,0.70,2.34
December 1978,0.680,0.71,2.36
January 1979,0.686,0.72,2.38
February 1979,0.692,0.73,2.40
March 1979,0.699,0.76,2.46
April 1979,0.707,0.80,2.58
May 1979,0.714,0.84,2.69
June 1979,0.722,0.90,2.84
July 1979,0.729,0.95,2.96
August 1979,0.737,0.99,3.05
September 1979,0.745,1.02,3.12
October 1979,0.752,1.03,3.11
November 1979,0.760,1.04,3.12
December 1979,0.769,1.07,3.15
January 1980,0.781,1.13,3.30
February 1980,0.790,1.21,3.48
March 1980,0.800,1.25,3.56
April 1980,0.810,1.26,3.55
May 1980,0.817,1.27,3.53
June 1980,0.824,1.27,3.51
July 1980,0.826,1.27,3.50
August 1980,0.832,1.27,3.47
September 1980,0.839,1.26,3.41
October 1980,0.848,1.25,3.36
November 1980,0.856,1.25,3.33
December 1980,0.864,1.26,3.32
January 1981,0.872,1.30,3.39
February 1981,0.880,1.38,3.58
March 1981,0.886,1.42,3.64
April 1981,0.891,1.41,3.61
May 1981,0.897,1.40,3.55
June 1981,0.905,1.39,3.50
July 1981,0.916,1.38,3.43
August 1981,0.923,1.38,3.39
September 1981,0.929,1.38,3.37
October 1981,0.934,1.37,3.34
November 1981,0.938,1.37,3.32
December 1981,0.941,1.37,3.30
January 1982,0.942,1.31,3.17
February 1982,0.946,1.29,3.11
March 1982,0.950,1.25,2.99
April 1982,0.955,1.20,2.85
May 1982,0.960,1.21,2.87
June 1982,0.965,1.28,3.01
July 1982,0.973,1.30,3.03
August 1982,0.977,1.29,3.00
September 1982,0.979,1.27,2.95
October 1982,0.979,1.26,2.92
November 1982,0.979,1.24,2.89
December 1982,0.980,1.21,2.82
January 1983,0.978,1.18,2.76
February 1983,0.980,1.14,2.66
March 1983,0.982,1.12,2.59
April 1983,0.988,1.19,2.74
May 1983,0.991,1.23,2.82
June 1983,0.995,1.24,2.85
July 1983,0.998,1.25,2.86
August 1983,1.001,1.25,2.85
September 1983,1.004,1.24,2.80
October 1983,1.007,1.22,2.75
November 1983,1.011,1.20,2.70
December 1983,1.015,1.18,2.66
January 1984,1.021,1.17,2.61
February 1984,1.026,1.17,2.59
March 1984,1.029,1.17,2.60
April 1984,1.032,1.20,2.65
May 1984,1.035,1.21,2.65
June 1984,1.038,1.20,2.62
July 1984,1.041,1.18,2.57
August 1984,1.044,1.16,2.54
September 1984,1.047,1.17,2.54
October 1984,1.050,1.17,2.54
November 1984,1.053,1.17,2.52
December 1984,1.056,1.15,2.47
January 1985,1.059,1.10,2.37
February 1985,1.063,1.09,2.33
March 1985,1.066,1.12,2.40
April 1985,1.070,1.18,2.51
May 1985,1.072,1.20,2.55
June 1985,1.075,1.21,2.56
July 1985,1.076,1.21,2.55
August 1985,1.079,1.20,2.52
September 1985,1.082,1.18,2.48
October 1985,1.087,1.17,2.44
November 1985,1.090,1.17,2.44
December 1985,1.093,1.16,2.42
January 1986,1.095,1.15,2.39
February 1986,1.096,1.08,2.24
March 1986,1.096,0.94,1.96
April 1986,1.090,0.86,1.79
May 1986,1.090,0.89,1.86
June 1986,1.091,0.92,1.92
July 1986,1.095,0.85,1.78
August 1986,1.097,0.81,1.68
September 1986,1.099,0.82,1.70
October 1986,1.101,0.79,1.64
November 1986,1.104,0.78,1.61
December 1986,1.108,0.78,1.59
January 1987,1.114,0.82,1.67
February 1987,1.118,0.86,1.75
March 1987,1.122,0.87,1.77
April 1987,1.127,0.91,1.83
May 1987,1.131,0.91,1.83
June 1987,1.135,0.92,1.85
July 1987,1.139,0.94,1.87
August 1987,1.143,0.96,1.91
September 1987,1.146,0.95,1.89
October 1987,1.150,0.94,1.86
November 1987,1.153,0.93,1.84
December 1987,1.157,0.91,1.80
January 1988,1.159,0.89,1.74
February 1988,1.162,0.87,1.70
March 1988,1.166,0.87,1.69
April 1988,1.171,0.90,1.75
May 1988,1.176,0.93,1.79
June 1988,1.180,0.92,1.78
July 1988,1.185,0.93,1.79
August 1988,1.190,0.95,1.82
September 1988,1.195,0.94,1.78
October 1988,1.199,0.92,1.75
November 1988,1.203,0.91,1.72
December 1988,1.207,0.88,1.66
January 1989,1.211,0.87,1.64
February 1989,1.216,0.88,1.65
March 1989,1.222,0.90,1.68
April 1989,1.231,1.04,1.92
May 1989,1.237,1.09,2.01
June 1989,1.241,1.08,1.98
July 1989,1.242,1.06,1.94
August 1989,1.246,1.02,1.87
September 1989,1.250,0.99,1.81
October 1989,1.253,0.99,1.80
November 1989,1.258,0.96,1.73
December 1989,1.265,0.93,1.68
January 1990,1.274,1.00,1.78
February 1990,1.281,0.99,1.77
March 1990,1.286,0.99,1.75
April 1990,1.287,1.02,1.80
May 1990,1.293,1.03,1.82
June 1990,1.299,1.06,1.85
July 1990,1.308,1.05,1.83
August 1990,1.315,1.16,2.00
September 1990,1.323,1.26,2.16
October 1990,1.332,1.34,2.29
November 1990,1.338,1.34,2.27
December 1990,1.343,1.31,2.22
January 1991,1.345,1.18,2.00
February 1991,1.348,1.09,1.85
March 1991,1.351,1.04,1.75
April 1991,1.353,1.08,1.81
May 1991,1.356,1.13,1.89
June 1991,1.359,1.13,1.89
July 1991,1.362,1.10,1.83
August 1991,1.366,1.11,1.86
September 1991,1.370,1.11,1.84
October 1991,1.374,1.09,1.80
November 1991,1.377,1.10,1.82
December 1991,1.381,1.08,1.77
January 1992,1.383,1.02,1.68
February 1992,1.387,1.01,1.65
March 1992,1.390,1.01,1.66
April 1992,1.394,1.05,1.72
May 1992,1.397,1.11,1.80
June 1992,1.401,1.14,1.86
July 1992,1.404,1.14,1.84
August 1992,1.408,1.12,1.81
September 1992,1.412,1.12,1.81
October 1992,1.417,1.11,1.79
November 1992,1.420,1.11,1.78
December 1992,1.424,1.08,1.72
January 1993,1.427,1.06,1.69
February 1993,1.431,1.05,1.68
March 1993,1.434,1.05,1.67
April 1993,1.438,1.08,1.71
May 1993,1.441,1.10,1.74
June 1993,1.444,1.10,1.73
July 1993,1.445,1.08,1.70
August 1993,1.447,1.06,1.67
September 1993,1.451,1.05,1.65
October 1993,1.456,1.09,1.71
November 1993,1.460,1.07,1.66
December 1993,1.463,1.01,1.58
January 1994,1.464,1.00,1.55
February 1994,1.467,1.01,1.57
March 1994,1.470,1.01,1.56
April 1994,1.472,1.03,1.59
May 1994,1.475,1.05,1.62
June 1994,1.479,1.08,1.66
July 1994,1.485,1.11,1.69
August 1994,1.489,1.15,1.77
September 1994,1.493,1.14,1.74
October 1994,1.494,1.11,1.70
November 1994,1.498,1.12,1.70
December 1994,1.501,1.09,1.65
January 1995,1.505,1.08,1.64
February 1995,1.509,1.07,1.62
March 1995,1.513,1.07,1.61
April 1995,1.518,1.11,1.67
May 1995,1.521,1.18,1.76
June 1995,1.524,1.19,1.78
July 1995,1.526,1.15,1.72
August 1995,1.529,1.12,1.67
September 1995,1.531,1.11,1.65
October 1995,1.533,1.09,1.61
November 1995,1.537,1.06,1.57
December 1995,1.541,1.07,1.58
January 1996,1.546,1.09,1.61
February 1996,1.551,1.09,1.60
March 1996,1.555,1.14,1.66
April 1996,1.560,1.23,1.80
May 1996,1.564,1.28,1.86
June 1996,1.568,1.26,1.82
July 1996,1.569,1.23,1.78
August 1996,1.573,1.21,1.75
September 1996,1.577,1.20,1.74
October 1996,1.583,1.20,1.73
November 1996,1.587,1.23,1.77
December 1996,1.590,1.24,1.77
January 1997,1.594,1.24,1.77
February 1997,1.597,1.23,1.75
March 1997,1.598,1.21,1.72
April 1997,1.598,1.20,1.71
May 1997,1.600,1.20,1.71
June 1997,1.602,1.20,1.70
July 1997,1.605,1.17,1.67
August 1997,1.608,1.22,1.73
September 1997,1.611,1.23,1.74
October 1997,1.615,1.20,1.69
November 1997,1.617,1.17,1.65
December 1997,1.619,1.13,1.59
January 1998,1.619,1.09,1.53
February 1998,1.620,1.05,1.47
March 1998,1.621,1.02,1.43
April 1998,1.623,1.03,1.44
May 1998,1.625,1.06,1.49
June 1998,1.628,1.06,1.49
July 1998,1.631,1.06,1.47
August 1998,1.634,1.03,1.43
September 1998,1.636,1.01,1.40
October 1998,1.639,1.02,1.41
November 1998,1.641,1.00,1.38
December 1998,1.644,0.95,1.31
January 1999,1.644,0.94,1.30
February 1999,1.647,0.92,1.27
March 1999,1.651,0.98,1.35
April 1999,1.656,1.13,1.55
May 1999,1.660,1.13,1.55
June 1999,1.664,1.11,1.52
July 1999,1.668,1.16,1.58
August 1999,1.672,1.22,1.66
September 1999,1.676,1.26,1.70
October 1999,1.680,1.24,1.69
November 1999,1.684,1.25,1.69
December 1999,1.689,1.27,1.71
January 2000,1.696,1.29,1.73
February 2000,1.701,1.38,1.84
March 2000,1.706,1.52,2.02
April 2000,1.710,1.46,1.95
May 2000,1.714,1.49,1.97
June 2000,1.719,1.63,2.16
July 2000,1.725,1.55,2.05
August 2000,1.730,1.46,1.93
September 2000,1.735,1.55,2.03
October 2000,1.738,1.53,2.01
November 2000,1.742,1.52,1.98
December 2000,1.747,1.44,1.88
January 2001,1.754,1.45,1.88
February 2001,1.759,1.45,1.88
March 2001,1.764,1.41,1.82
April 2001,1.768,1.55,2.00
May 2001,1.772,1.70,2.19
June 2001,1.774,1.62,2.07
July 2001,1.776,1.42,1.82
August 2001,1.777,1.42,1.82
September 2001,1.777,1.52,1.95
October 2001,1.774,1.32,1.69
November 2001,1.775,1.17,1.50
December 2001,1.776,1.09,1.39
January 2002,1.778,1.11,1.42
February 2002,1.780,1.11,1.42
March 2002,1.784,1.25,1.59
April 2002,1.791,1.40,1.78
May 2002,1.795,1.39,1.76
June 2002,1.799,1.38,1.75
July 2002,1.801,1.40,1.77
August 2002,1.804,1.40,1.76
September 2002,1.808,1.40,1.76
October 2002,1.810,1.45,1.82
November 2002,1.815,1.42,1.78
December 2002,1.820,1.39,1.73
January 2003,1.831,1.46,1.81
February 2003,1.834,1.61,2.00
March 2003,1.836,1.69,2.10
April 2003,1.829,1.59,1.98
May 2003,1.830,1.50,1.86
June 2003,1.833,1.49,1.85
July 2003,1.841,1.51,1.87
August 2003,1.845,1.62,2.00
September 2003,1.848,1.68,2.07
October 2003,1.848,1.56,1.93
November 2003,1.851,1.51,1.86
December 2003,1.855,1.48,1.81
January 2004,1.862,1.57,1.92
February 2004,1.867,1.65,2.01
March 2004,1.872,1.74,2.11
April 2004,1.877,1.80,2.18
May 2004,1.882,1.98,2.40
June 2004,1.886,1.97,2.38
July 2004,1.888,1.91,2.30
August 2004,1.893,1.88,2.26
September 2004,1.899,1.87,2.24
October 2004,1.909,2.00,2.38
November 2004,1.914,1.98,2.35
December 2004,1.919,1.84,2.18
January 2005,1.920,1.83,2.17
February 2005,1.924,1.91,2.26
March 2005,1.928,2.08,2.46
April 2005,1.930,2.24,2.64
May 2005,1.936,2.16,2.54
June 2005,1.944,2.16,2.52
July 2005,1.958,2.29,2.66
August 2005,1.966,2.49,2.88
September 2005,1.974,2.90,3.35
October 2005,1.979,2.72,3.12
November 2005,1.985,2.26,2.59
December 2005,1.989,2.19,2.50
January 2006,1.990,2.32,2.65
February 2006,1.994,2.28,2.60
March 2006,2.000,2.42,2.76
April 2006,2.007,2.74,3.11
May 2006,2.013,2.91,3.29
June 2006,2.019,2.88,3.25
July 2006,2.029,2.98,3.34
August 2006,2.033,2.95,3.31
September 2006,2.033,2.56,2.86
October 2006,2.022,2.24,2.53
November 2006,2.022,2.23,2.51
December 2006,2.026,2.31,2.60
January 2007,2.036,2.24,2.50
February 2007,2.043,2.28,2.54
March 2007,2.050,2.56,2.85
April 2007,2.060,2.85,3.14
May 2007,2.067,3.15,3.46
June 2007,2.072,3.06,3.36
July 2007,2.073,2.96,3.25
August 2007,2.079,2.79,3.05
September 2007,2.086,2.80,3.06
October 2007,2.097,2.80,3.04
November 2007,2.105,3.08,3.33
December 2007,2.113,3.02,3.25
January 2008,2.119,3.04,3.27
February 2008,2.128,3.03,3.24
March 2008,2.136,3.24,3.46
April 2008,2.145,3.46,3.67
May 2008,2.155,3.77,3.98
June 2008,2.166,4.05,4.26
July 2008,2.191,4.06,4.22
August 2008,2.192,3.78,3.92
September 2008,2.185,3.70,3.86
October 2008,2.149,3.05,3.23
November 2008,2.136,2.15,2.29
December 2008,2.127,1.69,1.80
January 2009,2.125,1.79,1.92
February 2009,2.124,1.92,2.06
March 2009,2.124,1.96,2.10
April 2009,2.130,2.05,2.19
May 2009,2.134,2.27,2.42
June 2009,2.140,2.63,2.80
July 2009,2.148,2.53,2.68
August 2009,2.154,2.62,2.76
September 2009,2.160,2.55,2.69
October 2009,2.165,2.55,2.68
November 2009,2.169,2.65,2.78
December 2009,2.172,2.61,2.73
January 2010,2.175,2.72,2.84
February 2010,2.176,2.64,2.77
March 2010,2.176,2.77,2.90
April 2010,2.172,2.85,2.98
May 2010,2.172,2.84,2.97
June 2010,2.174,2.73,2.86
July 2010,2.177,2.73,2.85
August 2010,2.180,2.73,2.85
September 2010,2.184,2.71,2.82
October 2010,2.188,2.80,2.91
November 2010,2.194,2.86,2.97
December 2010,2.202,2.99,3.09
January 2011,2.214,3.09,3.18
February 2011,2.223,3.21,3.29
March 2011,2.231,3.56,3.63
April 2011,2.238,3.80,3.86
May 2011,2.245,3.91,3.96
June 2011,2.252,3.68,3.72
July 2011,2.258,3.65,3.68
August 2011,2.263,3.64,3.66
September 2011,2.266,3.61,3.63
October 2011,2.268,3.45,3.46
November 2011,2.270,3.38,3.39
December 2011,2.272,3.27,3.27
January 2012,2.274,3.38,3.38
February 2012,2.276,3.58,3.58
