,DOE,,,,,FERC,
Company,FTA1 Capacity (Bcf/d),Non-FTA2 Capacity (Bcf/d),FTA Status,Non-FTA Status,,Capacity (Bcf/d),Status
"Sabine Pass Liquefaction, LLC",2.2,2.2,Approved,Approved,,2.6,Approved
"Freeport LNG Expansion and FLNG Liquefaction, LLC",1.4,1.4,Approved,Under DOE Review,,1.8,Proposed
"Freeport LNG Expansion and FLNG Liquefaction, LLC",1.4,1.4,Approved,Under DOE Review,,,
"Lake Charles Exports, LLC",2.0,2.0,Approved,Under DOE Review,,2.4,Proposed
Carib Energy (USA) LLC,0.03,0.01,Approved,Under DOE Review,,,
"Dominion Cove Point, LP",1.0,1.0,Approved,Under DOE Review,,,
"Jordan Cove Energy Project, LP",1.2,1.2,Approved,Under DOE Review,,0.9,Proposed
"Cameron LNG, LLC",1.7,1.7,Approved,Under DOE Review,,,
"Gulf Coast LNG Export, LLC",2.8,2.8,Under DOE Review,Under DOE Review,,,
"Cambridge Energy, LLC",0.27,Not Yet Applied,Pending,Not Yet Applied,,,
"Corpus Christi Liquefaction, LLC",,,,,,1.8,Proposed
Total,14.0,13.71,,,,9.5,
