,Residential,Commercial,Industrial,Outdoor,All Sectors
Incandescent,78.8%,4.8%,0.2%,4.5%,55.2%
Halogen,6.4%,3.8%,0.0%,2.2%,5.4%
Compact Fluorescent,8.4%,4.9%,0.1%,1.0%,6.9%
Linear Fluorescent,5.4%,71.8%,46.9%,6.8%,21.2%
High Intensity Discharge,0.1%,14.2%,52.8%,83.0%,10.3%
Other,1.0%,0.5%,0.1%,2.5%,1.0%
,residential,commercial,industrial,outdoor,all sectors
Incandescent,"1,640",180,0,50,"1,870"
Halogen,170,240,0,20,430
Compact Fluorescent,780,880,0,50,"1,710"
Linear Fluorescent,670,"19,180","1,800",750,"22,400"
High Intensity Discharge,10,"3,720","2,680","7,320","13,720"
Other,50,180,0,180,410
