"Monthly U.S. crude oil imports, January 2007 - December 2011",,,,,,
thousand barrels per day ,,,,,,
,Nigeria,Saudi Arabia,Venezuela,Canada,Mexico,other
Jan-2007,1106,1533,955,1901,1435,3281
Feb-2007,1069,1141,1115,1884,1345,2455
Mar-2007,1290,1216,1036,1812,1621,3405
Apr-2007,891,1458,1182,1927,1460,3243
May-2007,882,1574,1232,1858,1461,3321
Jun-2007,893,1501,1135,1905,1392,3189
Jul-2007,890,1434,1167,1818,1469,3161
Aug-2007,1200,1468,1136,1968,1381,3163
Sep-2007,1137,1441,1127,1972,1293,3337
Oct-2007,1184,1370,1221,1898,1322,2789
Nov-2007,1245,1530,1227,1925,1484,2593
Dec-2007,1210,1675,1246,1796,1234,2674
Jan-2008,1163,1479,1117,1997,1198,3128
Feb-2008,982,1595,945,1973,1231,2910
Mar-2008,1154,1535,858,1812,1232,3045
Apr-2008,1115,1453,1019,1993,1276,3123
May-2008,851,1579,1030,1846,1116,3242
Jun-2008,943,1448,1085,1942,1124,3476
Jul-2008,741,1676,1187,1976,1200,3352
Aug-2008,1035,1533,1146,1873,1292,3445
Sep-2008,508,1429,944,1947,890,2729
Oct-2008,919,1435,1027,2057,1256,3392
Nov-2008,775,1487,1080,2028,1296,3278
Dec-2008,869,1394,1028,2033,1126,2969
Jan-2009,504,1337,1172,1931,1245,3590
Feb-2009,457,1098,960,1892,1219,3448
Mar-2009,860,944,949,1836,1092,3697
Apr-2009,673,1057,803,1854,1177,3810
May-2009,578,1018,1028,1746,1088,3339
Jun-2009,769,902,1134,2001,1099,3230
Jul-2009,858,1026,904,2129,985,3192
Aug-2009,877,707,1007,2002,1057,3164
Sep-2009,886,1031,1014,1938,1124,3261
Oct-2009,853,938,879,1858,1015,3023
Nov-2009,948,847,793,2018,951,3183
Dec-2009,1020,870,772,2104,1063,2341
Jan-2010,1030,958,827,1873,1044,2760
Feb-2010,896,881,913,1894,1008,3169
Mar-2010,939,1149,984,2009,1138,3122
Apr-2010,1027,1245,851,1863,1146,3594
May-2010,1004,1093,1011,1998,1301,3248
Jun-2010,1064,1120,850,2174,1076,3643
Jul-2010,1143,1033,1016,2055,1183,3502
Aug-2010,942,1080,974,1935,1168,3444
Sep-2010,1107,1082,919,1937,1108,3076
Oct-2010,812,1125,887,1841,1188,2687
Nov-2010,806,1131,884,1975,1229,2674
Dec-2010,1024,1076,825,2086,1223,2461
Jan-2011,968,1099,951,2149,1216,2686
Feb-2011,948,1114,878,2193,998,1882
Mar-2011,840,1107,957,2151,1186,2792
Apr-2011,856,1089,902,2079,973,2816
May-2011,808,1197,895,2006,1154,2928
Jun-2011,813,1164,1012,2085,1108,3065
Jul-2011,818,1307,877,2188,1119,3001
Aug-2011,854,1075,806,2240,1150,2896
Sep-2011,529,1465,759,2324,1099,2830
Oct-2011,630,1120,862,2271,1084,3062
Nov-2011,655,1203,707,2361,1157,2743
Dec-2011,498,1293,810,2436,945,2734
