Natural gas deliveries,,,
percent change from 2009 to 2010,,,
State code,state,total change,electric change
AK,Alaska              ,-0.660427248,4.343715531
AL,Alabama             ,17.63725015,24.09840759
AR,Arkansas            ,11.11178604,15.95729349
AZ,Arizona             ,-9.616471538,-14.30829617
CA,California          ,-2.721679389,-9.00401519
CO,Colorado            ,-5.828673409,-19.59230783
CT,Connecticut         ,7.518347984,20.15127568
DC,District of Columbia,-0.049734233,0
DE,Delaware            ,9.097256858,121.8653321
FL,Florida             ,8.262591205,7.451032756
GA,Georgia             ,14.38806705,22.89302084
HI,Hawaii              ,0.729086723,#DIV/0!
IA,Iowa                ,-0.427756023,25.36181256
ID,Idaho               ,-3.231671404,-1.590457256
IL,Illinois            ,-1.21374004,38.19473716
IN,Indiana             ,10.52437917,67.43766404
KS,Kansas              ,-0.194498929,-12.89950062
KY,Kentucky            ,12.15281084,129.5987618
LA,Louisiana           ,15.32029291,21.59326879
MA,Massachusetts       ,8.021015762,23.76182897
MD,Maryland            ,5.901446463,70.3420367
ME,Maine               ,9.101243237,9.922168399
MI,Michigan            ,1.446583369,35.1291689
MN,Minnesota           ,6.794683971,52.44453835
MO,Missouri            ,5.127369986,34.92132721
MS,Mississippi         ,20.69333547,28.31071647
MT,Montana             ,-9.148639114,7.469512195
NC,North Carolina      ,23.84803901,83.06443531
ND,North Dakota        ,16.80196931,100
NE,Nebraska            ,3.276609644,18.55298709
NH,New Hampshire       ,0.328848529,2.277383767
NJ,New Jersey          ,4.680656507,21.3123446
NM,New Mexico          ,3.494345221,0.844483752
NV,Nevada              ,-6.019942601,-8.441595634
NY,New York            ,4.679039204,15.51093652
OH,Ohio                ,5.947402401,54.40426888
OK,Oklahoma            ,2.854623589,1.509366361
OR,Oregon              ,-3.271179537,0.112230348
PA,Pennsylvania        ,4.739099423,16.63183593
RI,Rhode Island        ,0.869688416,3.147402445
SC,South Carolina      ,15.03482746,16.86091895
SD,South Dakota        ,4.431120445,74.291939
TN,Tennessee           ,18.9434706,504.0348964
TX,Texas               ,0.227510312,-2.794032958
UT,Utah                ,1.641973884,-3.171014725
VA,Virginia            ,18.06449279,47.37580276
VT,Vermont             ,-2.250580046,-14.0625
WA,Washington          ,-8.172436256,-12.89372235
WI,Wisconsin           ,-4.017884947,3.982344047
WV,West Virginia       ,5.242865093,33.45356177
WY,Wyoming             ,2.282994123,-45.13438369
