"June 24, 2010, time of day",Actual Demand (GW),Day-Ahead Forecast Demand (GW)
12:00 AM,15.01,
12:05 AM,14.838,
12:10 AM,15.008,
12:15 AM,14.875,
12:20 AM,14.776,
12:25 AM,14.686,
12:30 AM,14.605,14.27
12:35 AM,14.494,
12:40 AM,14.446,
12:45 AM,14.353,
12:50 AM,14.264,
12:55 AM,14.18,
1:00 AM,14.409,
1:05 AM,14.311,
1:10 AM,14.294,
1:15 AM,14.201,
1:20 AM,14.145,
1:25 AM,14.1,
1:30 AM,14.02,13.47
1:35 AM,13.986,
1:40 AM,13.924,
1:45 AM,13.862,
1:50 AM,13.834,
1:55 AM,13.747,
2:00 AM,13.701,
2:05 AM,13.645,
2:10 AM,13.617,
2:15 AM,13.543,
2:20 AM,13.526,
2:25 AM,13.484,
2:30 AM,13.455,13.01
2:35 AM,13.427,
2:40 AM,13.414,
2:45 AM,13.36,
2:50 AM,13.333,
2:55 AM,13.295,
3:00 AM,13.246,
3:05 AM,13.309,
3:10 AM,13.288,
3:15 AM,13.249,
3:20 AM,13.238,
3:25 AM,13.219,
3:30 AM,13.207,12.79
3:35 AM,13.201,
3:40 AM,13.19,
3:45 AM,13.178,
3:50 AM,13.156,
3:55 AM,13.166,
4:00 AM,13.18,
4:05 AM,13.237,
4:10 AM,13.233,
4:15 AM,13.226,
4:20 AM,13.263,
4:25 AM,13.274,
4:30 AM,13.334,12.93
4:35 AM,13.33,
4:40 AM,13.348,
4:45 AM,13.388,
4:50 AM,13.438,
4:55 AM,13.477,
5:00 AM,13.516,
5:05 AM,13.592,
5:10 AM,13.669,
5:15 AM,13.697,
5:20 AM,13.745,
5:25 AM,13.745,
5:30 AM,13.86,13.64
5:35 AM,13.928,
5:40 AM,14.043,
5:45 AM,14.144,
5:50 AM,14.243,
5:55 AM,14.373,
6:00 AM,14.534,
6:05 AM,14.806,
6:10 AM,15.016,
6:15 AM,15.199,
6:20 AM,15.336,
6:25 AM,15.437,
6:30 AM,15.582,15.24
6:35 AM,15.761,
6:40 AM,15.919,
6:45 AM,15.788,
6:50 AM,15.932,
6:55 AM,16.085,
7:00 AM,16.311,
7:05 AM,16.61,
7:10 AM,16.506,
7:15 AM,16.698,
7:20 AM,16.825,
7:25 AM,17.019,
7:30 AM,17.173,17.2
7:35 AM,17.324,
7:40 AM,17.423,
7:45 AM,17.526,
7:50 AM,17.676,
7:55 AM,17.801,
8:00 AM,17.941,
8:05 AM,18.133,
8:10 AM,18.237,
8:15 AM,18.366,
8:20 AM,18.462,
8:25 AM,18.579,
8:30 AM,18.64,18.95
8:35 AM,18.792,
8:40 AM,18.881,
8:45 AM,18.986,
8:50 AM,19.038,
8:55 AM,19.171,
9:00 AM,19.256,
9:05 AM,19.342,
9:10 AM,19.436,
9:15 AM,19.552,
9:20 AM,19.663,
9:25 AM,19.782,
9:30 AM,19.873,20.43
9:35 AM,20.029,
9:40 AM,20.162,
9:45 AM,20.21,
9:50 AM,20.299,
9:55 AM,20.388,
10:00 AM,20.53,
10:05 AM,20.639,
10:10 AM,20.761,
10:15 AM,20.82,
10:20 AM,20.949,
10:25 AM,21.039,
10:30 AM,21.112,21.55
10:35 AM,21.228,
10:40 AM,21.287,
10:45 AM,21.353,
10:50 AM,21.454,
10:55 AM,21.535,
11:00 AM,21.642,
11:05 AM,21.691,
11:10 AM,21.792,
11:15 AM,21.867,
11:20 AM,21.958,
11:25 AM,22.065,
11:30 AM,22.084,22.31
11:35 AM,22.142,
11:40 AM,22.187,
11:45 AM,22.269,
11:50 AM,22.297,
11:55 AM,22.342,
12:00 PM,22.406,
12:05 PM,22.465,
12:10 PM,22.516,
12:15 PM,22.538,
12:20 PM,22.607,
