Quarterly OPEC spare crude oil capacity and WTI spot prices ,,,
Year,Quarter,OPEC spare capacity (million barrels per day),WTI price (real 2010 dollars)
2001,01,3.1,35.52
2001,02,4.2,34.16
2001,03,4.0,32.53
2001,04,4.9,24.82
2002,01,5.8,26.25
2002,02,6.3,31.68
2002,03,5.5,34.06
2002,04,4.1,33.72
2003,01,2.1,40.46
2003,02,1.4,34.29
2003,03,2.2,35.55
2003,04,2.0,36.51
2004,01,1.9,40.90
2004,02,1.7,44.14
2004,03,0.7,50.12
2004,04,0.7,54.78
2005,01,1.1,55.88
2005,02,1.0,59.22
2005,03,0.9,69.82
2005,04,1.0,65.74
2006,01,1.1,68.82
2006,02,1.3,75.91
2006,03,1.3,75.35
2006,04,1.9,63.89
2007,01,2.3,61.16
2007,02,2.3,67.96
2007,03,2.1,78.68
2007,04,1.6,94.18
2008,01,1.4,101.01
2008,02,1.2,127.06
2008,03,1.0,120.10
2008,04,1.9,59.28
2009,01,3.5,43.41
2009,02,3.6,60.22
2009,03,4.0,69.03
2009,04,4.5,76.77
2010,01,3.8,79.09
2010,02,3.7,77.95
2010,03,3.1,75.94
2010,04,3.4,84.56
2011,01,3.7,92.35
2011,02,3.3,100.33
2011,03,2.6,87.50
2011,04,2.6,91.57
2012,01,2.4,100.03
