Pennsylvania monthly electric generation from natural gas,
billion kilowatthours ,
Date,
Jan-01,0.103472
Feb-01,0.097925
Mar-01,0.145636
Apr-01,0.131821
May-01,0.164916
Jun-01,0.251067
Jul-01,0.292329
Aug-01,0.408024
Sep-01,0.396761
Oct-01,0.312627
Nov-01,0.369932
Dec-01,0.361785
Jan-02,0.221497
Feb-02,0.452627
Mar-02,0.452197
Apr-02,0.259233
May-02,0.291856
Jun-02,0.825245
Jul-02,1.133496
Aug-02,1.300321
Sep-02,0.703153
Oct-02,0.499461
Nov-02,0.304991
Dec-02,0.27146
Jan-03,0.252426
Feb-03,0.219247
Mar-03,0.357349
Apr-03,0.354743
May-03,0.320412
Jun-03,0.421906
Jul-03,0.850562
Aug-03,1.146012
Sep-03,0.488663
Oct-03,0.443998
Nov-03,0.280451
Dec-03,0.382766
Jan-04,0.540403
Feb-04,0.864127
Mar-04,0.46958
Apr-04,0.389272
May-04,1.451479
Jun-04,0.935246
Jul-04,1.619957
Aug-04,1.366681
Sep-04,1.11928
Oct-04,0.141446
Nov-04,0.395882
Dec-04,0.520293
Jan-05,0.501206
Feb-05,0.277546
Mar-05,0.732015
Apr-05,0.308889
May-05,0.35386
Jun-05,1.362875
Jul-05,2.031837
Aug-05,1.994442
Sep-05,1.417718
Oct-05,0.714058
Nov-05,0.619256
Dec-05,0.494049
Jan-06,0.287214
Feb-06,0.692906
Mar-06,1.208907
Apr-06,0.727011
May-06,0.900622
Jun-06,1.624547
Jul-06,2.882651
Aug-06,2.516839
Sep-06,0.976217
Oct-06,0.772523
Nov-06,0.39624
Dec-06,0.556051
Jan-07,0.594852
Feb-07,0.635401
Mar-07,1.13431
Apr-07,1.181562
May-07,1.35898
Jun-07,1.867235
Jul-07,2.70777
Aug-07,3.503066
Sep-07,1.932328
Oct-07,2.060696
Nov-07,0.982374
Dec-07,1.239026
Jan-08,0.942821
Feb-08,0.930921
Mar-08,1.202518
Apr-08,1.077252
May-08,0.467528
Jun-08,2.12731
Jul-08,2.679838
Aug-08,2.428756
Sep-08,2.241955
Oct-08,1.969365
Nov-08,1.271808
Dec-08,1.390535
Jan-09,1.458818
Feb-09,1.858741
Mar-09,2.553286
Apr-09,2.436207
May-09,2.278376
Jun-09,2.499998
Jul-09,3.157831
Aug-09,3.697591
Sep-09,2.977993
Oct-09,2.213533
Nov-09,2.353563
Dec-09,1.729017
Jan-10,1.448294
Feb-10,1.415768
Mar-10,2.042005
Apr-10,2.241021
May-10,2.103264
Jun-10,3.221317
Jul-10,4.469896
Aug-10,3.807478
Sep-10,3.263021
Oct-10,2.617631
Nov-10,3.195516
Dec-10,3.095601
Jan-11,2.431193
Feb-11,2.734146
Mar-11,3.368649
Apr-11,2.984368
May-11,3.43732
Jun-11,3.663725
Jul-11,4.701195
