,3 mo rolling avg,3 mo rolling avg,3 mo rolling avg
Date,Other Finished Petroleum Products,Finished Motor Gasoline,Distillate
March-00,501.0,106.0,151.7
April-00,551.7,100.7,167.0
May-00,528.7,115.0,172.0
June-00,528.0,112.3,151.3
July-00,506.0,112.0,136.0
August-00,516.7,134.7,178.0
September-00,522.3,162.7,193.0
October-00,572.7,198.3,234.0
November-00,615.0,190.3,213.3
December-00,637.3,192.3,193.7
January-01,624.0,161.7,131.0
February-01,642.3,147.7,93.0
March-01,640.0,132.7,73.0
April-01,638.0,138.7,86.3
May-01,636.0,130.0,109.3
June-01,637.0,124.0,124.3
July-01,603.0,119.3,126.3
August-01,606.3,124.3,124.3
September-01,563.7,120.3,135.0
October-01,595.3,129.3,130.3
November-01,579.7,126.0,127.7
December-01,625.0,154.3,144.3
January-02,602.3,134.3,147.7
February-02,605.0,132.7,196.7
March-02,587.0,100.7,151.7
April-02,595.0,113.3,138.0
May-02,583.0,108.7,69.7
June-02,588.0,117.7,78.3
July-02,575.3,118.3,70.3
August-02,626.7,133.3,85.3
September-02,628.7,127.3,96.7
October-02,637.0,127.0,114.0
November-02,575.7,126.0,112.3
December-02,619.0,150.3,127.0
January-03,676.7,163.7,134.7
February-03,688.7,168.0,140.7
March-03,673.3,140.0,137.3
April-03,656.0,118.7,144.0
May-03,677.3,108.7,154.0
June-03,689.0,111.0,134.0
July-03,687.3,104.0,122.0
August-03,691.0,94.3,94.7
September-03,681.3,101.0,75.3
October-03,667.7,124.0,61.7
November-03,646.7,135.3,62.0
December-03,613.7,149.7,81.0
January-04,561.0,127.7,84.3
February-04,578.3,141.3,86.0
March-04,608.7,132.0,85.7
April-04,707.7,143.3,92.3
May-04,716.0,131.0,97.0
June-04,713.0,108.3,118.3
July-04,683.0,102.3,125.3
August-04,694.0,103.7,132.0
September-04,695.0,104.7,107.0
October-04,714.0,110.3,103.0
November-04,670.7,117.7,97.0
December-04,701.0,152.3,126.3
January-05,648.7,159.0,109.0
February-05,746.0,155.3,109.0
March-05,770.0,141.7,105.3
April-05,848.7,131.0,153.0
May-05,820.3,144.7,185.3
June-05,859.0,146.3,206.0
July-05,835.0,157.7,205.0
August-05,832.7,150.7,193.0
September-05,689.0,133.3,153.3
October-05,621.0,110.7,126.7
November-05,560.3,90.3,103.0
December-05,630.3,119.3,88.7
January-06,677.3,126.3,93.3
February-06,743.0,135.0,114.7
March-06,740.3,129.7,133.0
April-06,791.3,138.3,158.7
May-06,782.0,154.3,183.0
June-06,809.3,149.0,205.3
July-06,803.3,162.0,215.7
August-06,800.0,135.7,203.0
September-06,805.3,131.3,292.7
October-06,828.7,127.0,312.7
November-06,835.3,150.7,333.0
December-06,796.3,157.0,230.7
January-07,807.0,143.3,218.0
February-07,796.3,153.3,201.3
March-07,812.0,159.0,203.3
April-07,817.0,160.3,174.7
May-07,855.3,130.0,183.0
June-07,875.3,101.3,215.0
July-07,888.3,92.3,241.0
August-07,879.3,94.3,270.0
September-07,890.7,92.3,279.0
October-07,830.3,99.7,289.7
November-07,860.0,114.7,330.7
December-07,830.0,156.7,372.0
January-08,865.3,163.7,394.0
February-08,882.0,178.7,384.0
March-08,972.0,171.0,369.3
April-08,963.7,194.3,412.3
May-08,936.3,189.7,441.3
June-08,937.7,197.7,570.3
July-08,953.7,209.0,652.7
August-08,945.3,191.0,771.0
September-08,859.0,160.3,627.0
October-08,843.0,128.7,528.0
November-08,840.7,129.3,426.3
December-08,864.0,158.3,543.0
January-09,867.0,164.3,618.0
February-09,850.0,181.3,616.3
March-09,871.7,161.7,580.3
April-09,867.3,152.7,592.7
May-09,902.3,162.7,629.0
June-09,919.0,183.0,636.7
July-09,1050.0,221.0,616.0
August-09,1094.3,204.7,605.7
September-09,1133.3,198.0,615.3
October-09,1092.3,188.3,593.7
November-09,1070.3,197.3,584.0
December-09,1044.7,238.3,517.0
January-10,991.3,239.7,461.7
February-10,1018.0,260.3,395.3
March-10,1033.3,279.0,411.3
April-10,1062.3,308.0,509.3
May-10,1080.0,285.3,631.7
June-10,1103.7,258.7,693.0
July-10,1111.7,250.3,721.7
August-10,1124.3,260.0,703.3
September-10,1096.0,240.7,745.7
October-10,1068.7,240.7,780.0
November-10,1033.0,307.3,810.0
December-10,1059.7,404.3,767.7
January-11,1111.0,448.0,721.3
February-11,1157.3,445.7,680.0
March-11,1165.7,418.7,684.3
April-11,1135.3,440.3,730.3
May-11,1092.0,454.0,750.7
