PADDs,PADD 1 East Coast,PADD 2 Midwest,PADD 3 Gulf Coast,PADD 4 Rockies,PADD 5 West Coast
2000,1704,3619.404,7552.942,540.755,3094.77
2001,1697.9,3637.38,7586.485,554.476,3119.13
2002,1714.6,3590.623,7779.5,572.37,3128.298
2003,1708.687,3518.4,7807.948,577.7,3144.635
2004,1740.9,3525.61,7882.21,582.15,3163.444
2005,1717,3569.061,8085.614,587.55,3165.645
2006,1713.1,3582.64,8274.086,595.55,3173.438
2007,1717.575,3587.22,8354.809,598.35,3185.538
2008,1721.85,3658.05,8415.829,603.3,3194.818
2009,1722.7,3671.5,8439.502,622.3,3215.548
2010,1397.3,3723.4,8621.142,623.4,3218.548
2011,1617.5,3721.2,8646.219,623.9,3127.551
