"Renewable energy consumption by primary energy source, 2000-2010",,,,,,
billion British thermal units ,,,,,,
,hydroelectric,solar,wind,wood,biofuels,other renewables
2000,2811116,65421,57057,2261715,235712,675164
2001,2241858,64267,69617,2005833,252640,528335
2002,2689017,63006,105334,1995283,303308,573170
2003,2824533,62010,114571,2002040,403744,576466
2004,2690078,62533,141749,2121251,499371,567280
2005,2702942,63446,178088,2136351,576838,583922
2006,2869035,68441,263738,2108923,770889,577739
2007,2446389,75657,340503,2098469,990989,598589
2008,2511108,88548,545548,2044205,1371955,628197
2009,2668824,97766,721129,1880508,1566886,651912
2010,2508824,109404,923753,1985935,1855191,666207
