U.S residual fuel oil deliveries by end use,,,,
thousand of barrels per day ,,,,
Date,Commercial/residential ,Electric utility,Transportation,"Industrial, military and other"
1984,92.5394651,510.4607306,371.0979126,399.0497717
1985,102.8165688,403.390998,345.5142205,350.5795173
1986,125.8130463,589.798304,371.183953,331.6074364
1987,117.7667971,497.8407045,382.8541422,265.9328767
1988,119.2247228,622.366471,393.0535551,246.9305936
1989,107.6593607,639.1367254,431.9047619,191.3457273
1990,98.06268754,550.1297456,407.5730594,173.0590998
1991,93.0630137,467.684214,442.6650359,154.4644488
1992,84.14787997,364.4641226,469.6071755,178.7589693
1993,79.43874755,381.030137,408.9942596,210.7067189
1994,76.41846053,365.9329419,387.7911285,190.6437704
1995,65.75094586,206.4228311,419.5197652,160.1174821
1996,61.62537508,256.0749511,378.6677756,154.3195695
1997,49.24768428,303.7035225,312.4501631,131.297195
1998,38.51193738,440.2311807,302.6844749,105.692955
1999,40.40632746,308.5446836,365.2074364,115.9730594
2000,41.86627528,353.4386823,403.9330724,111.7948467
2001,33.94227006,463.9746249,283.4497065,99.81148076
2002,36.82426614,262.744227,312.0649706,87.97469015
2003,48.3902805,379.1141553,247.9729289,96.6541422
2004,53.14455316,385.1842792,318.7852577,109.9625571
2005,50.21148076,384.7562948,360.9622962,124.0452707
2006,32.59484671,160.3947162,391.417743,104.4393346
2007,33.61898239,159.9998695,441.8754077,87.41265492
2008,32.39171559,96.41846053,406.4575342,88.63633399
2009,34.22674494,72.59086758,365.7705806,49.25296804
